Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.503884,0.533419,0.415138,0.428404,124688,16137400
Mar 30 2018,0.547140,0.559509,0.413953,0.504035,104033,17522700
Mar 29 2018,0.669661,0.670832,0.547119,0.571120,131674,21446600
Mar 28 2018,0.665526,0.703767,0.617591,0.654601,108411,21314100
Mar 27 2018,0.739247,0.741579,0.658314,0.665541,75905,23675100
Mar 26 2018,0.758648,0.842404,0.693390,0.740094,131864,24296500
Mar 25 2018,0.783426,0.791515,0.733428,0.759596,55811,25090000
Mar 24 2018,0.817234,0.882983,0.762416,0.798699,91288,26172700
Mar 23 2018,0.791247,0.801170,0.720103,0.795882,67543,25340500
Mar 22 2018,0.825220,0.889036,0.762908,0.791292,78982,26428500
Mar 21 2018,0.847607,0.925006,0.790812,0.826143,134373,27145500
Mar 20 2018,0.864591,0.898953,0.788286,0.858908,156808,27689400
Mar 19 2018,0.809982,0.872102,0.723614,0.854704,228798,25756600
Mar 18 2018,0.818659,0.901642,0.601121,0.813373,291109,26032600
Mar 17 2018,0.950333,0.950333,0.816049,0.820337,91850,30219700
Mar 16 2018,0.896376,1.04,0.807683,0.962355,390165,28503900
Mar 15 2018,0.996016,1.02,0.827419,0.873240,187107,31672400
Mar 14 2018,1.10,1.16,0.926692,0.991931,123968,35118900
Mar 13 2018,1.22,1.22,1.10,1.10,121491,38736700
Mar 12 2018,1.23,1.33,1.12,1.22,172149,39188500
Mar 11 2018,1.19,1.34,1.09,1.22,208494,37855700
Mar 10 2018,1.34,1.42,1.18,1.19,113961,42576800
Mar 09 2018,1.23,1.34,0.873947,1.34,353555,39087400
Mar 08 2018,1.43,1.48,1.18,1.27,198454,45601300
Mar 07 2018,1.72,1.75,1.31,1.44,374420,54360400
Mar 06 2018,1.78,1.79,1.57,1.72,310718,56293900
Mar 05 2018,1.72,1.82,1.61,1.78,312342,53931000
Mar 04 2018,1.90,1.90,1.58,1.71,445942,59616400
Mar 03 2018,1.53,2.20,1.49,1.88,895106,48187600
Mar 02 2018,1.42,1.55,1.29,1.54,256830,44623700
Mar 01 2018,1.21,1.43,1.20,1.42,186097,37974100
Feb 28 2018,1.20,1.34,1.15,1.20,204753,37651700
Feb 27 2018,1.10,1.22,1.07,1.20,126501,34471500
Feb 26 2018,1.09,1.15,0.977172,1.09,114865,34269200
Feb 25 2018,1.09,1.12,1.02,1.09,78476,34227700
Feb 24 2018,1.20,1.24,1.07,1.12,100890,37606900
Feb 23 2018,1.14,1.25,1.03,1.20,197621,35978700
Feb 22 2018,1.24,1.33,1.10,1.14,203586,39007900
Feb 21 2018,1.33,1.37,1.15,1.24,150032,41929700
Feb 20 2018,1.43,1.53,1.20,1.34,358512,45078500
Feb 19 2018,1.42,1.53,1.30,1.43,217094,44606900
Feb 18 2018,1.64,1.66,1.38,1.42,239267,51451400
Feb 17 2018,1.52,1.64,1.49,1.62,174678,47676900
Feb 16 2018,1.45,1.57,1.39,1.52,213280,45476500
Feb 15 2018,1.45,1.55,1.35,1.45,228467,45447500
Feb 14 2018,1.39,1.49,1.31,1.45,183800,43765600
Feb 13 2018,1.41,1.41,1.29,1.37,156395,44164600
Feb 12 2018,1.32,1.49,1.27,1.39,274501,41388800
Feb 11 2018,1.47,1.48,1.25,1.31,192571,46075600
Feb 10 2018,1.69,1.75,1.37,1.47,178829,53060900
Feb 09 2018,1.49,1.79,1.39,1.69,227191,46630100
Feb 08 2018,1.25,1.63,1.25,1.48,181209,39251400
Feb 07 2018,1.60,1.81,1.24,1.26,324861,50006400
Feb 06 2018,1.22,1.60,0.822254,1.60,414192,38259800
Feb 05 2018,1.29,1.39,0.800976,1.13,504149,40445300
Feb 04 2018,1.72,1.74,1.29,1.29,220141,53900700
Feb 03 2018,1.55,2.01,1.36,1.76,346487,48440600
Feb 02 2018,1.84,1.84,1.12,1.39,555575,57748800
Feb 01 2018,2.12,2.18,1.52,1.79,531557,66443600
Jan 31 2018,2.12,2.35,1.90,2.12,622910,66482100
Jan 30 2018,2.47,2.60,1.82,2.09,569116,77228100
Jan 29 2018,2.58,2.81,2.29,2.47,535254,80650700
Jan 28 2018,2.65,3.08,2.39,2.58,709537,82971800
Jan 27 2018,2.80,2.83,2.51,2.64,266766,87648500
Jan 26 2018,2.95,3.09,2.48,2.75,356186,92388200
Jan 25 2018,2.67,3.16,2.58,2.96,1019520,83707800
Jan 24 2018,2.45,2.72,2.28,2.64,504108,76795100
Jan 23 2018,2.36,2.80,2.13,2.45,570818,73981800
Jan 22 2018,2.74,2.91,2.06,2.24,401327,85914300
Jan 21 2018,2.94,3.28,2.36,2.75,586188,91992800
Jan 20 2018,2.95,3.34,2.63,2.95,699834,92344000
Jan 19 2018,3.02,3.32,2.78,2.94,559994,94481100
Jan 18 2018,3.37,3.58,2.72,3.07,754780,105371000
Jan 17 2018,2.65,3.82,2.07,3.32,1494440,83048000
Jan 16 2018,2.56,5.61,2.31,2.46,3845500,79996400
Jan 15 2018,3.02,3.43,2.55,2.55,588485,94546900
Jan 14 2018,3.05,4.39,2.62,3.04,1473350,95523400
Jan 13 2018,3.49,3.56,2.43,3.08,1072730,109273000
Jan 12 2018,3.40,3.99,3.27,3.49,1257380,106463000
Jan 11 2018,3.86,4.15,3.02,3.31,1294660,120905000
Jan 10 2018,4.71,4.89,3.80,4.19,2049300,147557000
Jan 09 2018,5.21,5.44,4.12,4.58,1879520,163187000
Jan 08 2018,4.11,5.80,3.52,5.25,2979590,128624000
Jan 07 2018,2.63,4.18,2.48,4.11,1923740,82150900
Jan 06 2018,2.17,2.68,2.17,2.68,830794,67736300
Jan 05 2018,1.94,2.92,1.87,2.14,1442860,60561200
Jan 04 2018,1.59,2.03,1.42,1.94,944828,49604000
Jan 03 2018,1.33,1.58,1.21,1.58,644407,41621800
Jan 02 2018,1.24,1.42,1.18,1.29,580804,38632200
Jan 01 2018,1.11,1.31,1.01,1.24,349832,34695200
Dec 31 2017,1.00,1.18,0.968661,1.10,319744,31258800
Dec 30 2017,1.09,1.11,0.937933,1.01,393137,34054900
Dec 29 2017,1.21,1.27,1.00,1.08,483200,37717900
Dec 28 2017,1.21,1.29,0.958310,1.14,351097,37668700
Dec 27 2017,1.41,1.47,1.17,1.21,472569,44159600
Dec 26 2017,1.12,1.47,1.05,1.43,624886,34977000
Dec 25 2017,0.816129,1.47,0.805263,1.31,766441,25489200
Dec 24 2017,0.774349,0.829030,0.716438,0.817865,334848,24184100
Dec 23 2017,0.631910,0.860768,0.629900,0.765624,615576,19704700
Dec 22 2017,0.802294,0.816698,0.554347,0.636572,524574,25017800
Dec 21 2017,0.504192,0.910943,0.504192,0.799492,918230,15722100
Dec 20 2017,0.551431,0.562965,0.468969,0.504067,356993,17195200
Dec 19 2017,0.386743,0.755998,0.375096,0.543810,685473,12059700
Dec 18 2017,0.363368,0.391161,0.293120,0.391161,238518,11330800
Dec 17 2017,0.339792,0.383058,0.301439,0.362644,211488,10595700
Dec 16 2017,0.311788,0.373305,0.294026,0.340246,194632,9722440
Dec 15 2017,0.318051,0.339499,0.308887,0.311504,145905,9917720
Dec 14 2017,0.312040,0.491455,0.240560,0.317605,209679,9730290
Dec 13 2017,0.316012,0.332128,0.275747,0.312804,200735,9854140
Dec 12 2017,0.350328,0.370626,0.304457,0.315761,220169,10924200
Dec 11 2017,0.345451,0.380599,0.311229,0.349678,182193,10772100
Dec 10 2017,0.364131,0.378569,0.311170,0.347697,196458,11354600
Dec 09 2017,0.362341,0.410827,0.327534,0.362710,155437,11298800
Dec 08 2017,0.364067,0.474097,0.302039,0.362516,229022,11352600
Dec 07 2017,0.296394,0.366320,0.273545,0.366157,163454,9242400
Dec 06 2017,0.353601,0.390295,0.275696,0.291262,196238,11026300
Dec 05 2017,0.391562,0.412835,0.336950,0.354295,212249,12210000
Dec 04 2017,0.372897,0.418356,0.363659,0.391171,420285,11628000
Dec 03 2017,0.264337,0.363448,0.247213,0.338182,166717,8242780
Dec 02 2017,0.305753,0.345381,0.233306,0.267186,179590,9534240
Dec 01 2017,0.423972,0.423972,0.268824,0.305828,297701,13220600
Nov 30 2017,0.257453,0.435526,0.257453,0.426453,266014,8028120
Nov 29 2017,0.338900,0.377870,0.226314,0.251656,180594,10567900
Nov 28 2017,0.419281,0.429506,0.329431,0.329431,268614,13074400
Nov 27 2017,0.423790,0.460010,0.362046,0.419145,309594,13215000
Nov 26 2017,0.456665,0.480677,0.395290,0.421542,465061,14103100
Nov 25 2017,0.345190,0.477772,0.321290,0.455754,554364,10660400
Nov 24 2017,0.319781,0.392907,0.319781,0.341692,314288,9875720
Nov 23 2017,0.273154,0.342167,0.254163,0.316990,289224,8435760
Nov 22 2017,0.149521,0.274717,0.148859,0.274717,279860,4614650
Nov 21 2017,0.143273,0.166713,0.124739,0.149318,83210,4421820
Nov 20 2017,0.168344,0.169677,0.135382,0.149287,99474,5195590
Nov 19 2017,0.200163,0.212624,0.124988,0.163014,88422,6177620
Nov 18 2017,0.205205,0.247330,0.191542,0.200681,72224,6333240
Nov 17 2017,0.242911,0.278914,0.206157,0.213824,134155,7496960
Nov 16 2017,0.304207,0.312366,0.214080,0.244363,199456,9388740
Nov 15 2017,0.348108,0.350335,0.192535,0.304445,420267,10743600
Nov 14 2017,0.381092,0.424457,0.318200,0.347918,629681,-
Nov 13 2017,0.295069,0.407836,0.258967,0.381110,804423,-
