Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.019076,0.020080,0.019020,0.019681,2,30521
Mar 30 2018,0.018228,0.019728,0.018122,0.019073,5,29166
Mar 29 2018,0.017868,0.017897,0.016553,0.016671,1,28589
Mar 28 2018,0.017520,0.018221,0.017423,0.017847,1,28033
Mar 27 2018,0.020831,0.020898,0.017502,0.017524,12,33330
Mar 26 2018,0.021522,0.021640,0.020023,0.020863,2,34435
Mar 25 2018,0.021598,0.023706,0.021359,0.021538,4,34557
Mar 24 2018,0.024775,0.024834,0.021847,0.021899,2,39640
Mar 23 2018,0.023420,0.024419,0.023117,0.024419,13,37472
Mar 22 2018,0.023217,0.023679,0.023182,0.023517,202,37148
Mar 21 2018,0.023507,0.024032,0.022931,0.023260,200,37612
Mar 20 2018,0.022248,0.025139,0.021534,0.023465,28,35597
Mar 19 2018,0.020640,0.022393,0.020513,0.022003,5,33023
Mar 18 2018,0.020111,0.020942,0.018591,0.020727,15,32177
Mar 17 2018,0.020309,0.020503,0.019755,0.020160,1,32494
Mar 16 2018,0.019991,0.020633,0.019242,0.020563,2,31985
Mar 15 2018,0.020240,0.021352,0.019338,0.020002,9,32384
Mar 13 2018,0.021722,0.022663,0.021209,0.021680,2,34755
Mar 12 2018,0.022906,0.023742,0.021061,0.021848,8,36650
Mar 11 2018,0.020797,0.023343,0.020241,0.022979,12,33276
Mar 10 2018,0.021945,0.023055,0.020680,0.020869,3,35113
Mar 09 2018,0.020910,0.022053,0.018874,0.021936,125,33456
Mar 08 2018,0.022946,0.024088,0.020391,0.021043,67,36714
Mar 07 2018,0.023689,0.024833,0.021912,0.022979,4,37902
Mar 06 2018,0.037622,0.037622,0.023441,0.023720,62,60196
Mar 05 2018,0.029664,0.038169,0.026620,0.037727,64,47462
Mar 04 2018,0.029515,0.029686,0.026418,0.029686,17,47224
Mar 03 2018,0.028099,0.029651,0.028099,0.029566,58,44959
Mar 02 2018,0.033277,0.059499,0.027835,0.028134,1978,53243
Mar 01 2018,0.031698,0.033190,0.031451,0.032997,2,50716
Feb 28 2018,0.027514,0.032782,0.026872,0.031651,27,44023
Feb 27 2018,0.026398,0.027877,0.026036,0.027547,16,42237
Feb 26 2018,0.029343,0.031764,0.026322,0.026322,11,46949
Feb 25 2018,0.029767,0.030283,0.028608,0.028895,1,47627
Feb 24 2018,0.029954,0.030055,0.028847,0.029812,1,47926
Feb 23 2018,0.030125,0.031335,0.029382,0.031159,31,48201
Feb 22 2018,0.030161,0.031004,0.029833,0.030153,30,48258
Feb 21 2018,0.029499,0.029554,0.027275,0.027607,8,47199
Feb 20 2018,0.029604,0.030916,0.029220,0.029536,16,47367
Feb 19 2018,0.027527,0.029832,0.027442,0.029577,6,44044
Feb 18 2018,0.029398,0.029900,0.027064,0.027654,1,47037
Feb 17 2018,0.028623,0.029481,0.028623,0.029308,2,45797
Feb 16 2018,0.031684,0.032259,0.030611,0.031631,1,50694
Feb 15 2018,0.024824,0.032036,0.024543,0.031820,1,39719
Feb 14 2018,0.022636,0.024873,0.022636,0.024811,163,36218
Feb 13 2018,0.024201,0.024311,0.022155,0.022704,72,38722
Feb 12 2018,0.022292,0.032307,0.022292,0.024157,44,35668
Feb 11 2018,0.032318,0.032318,0.021608,0.022151,1,51709
Feb 10 2018,0.024763,0.032415,0.023383,0.032346,24,39621
Feb 09 2018,0.024022,0.024853,0.022493,0.024745,25,38435
Feb 08 2018,0.024024,0.024601,0.023315,0.023948,24,38439
Feb 06 2018,0.020057,0.021072,0.017160,0.020472,49,32092
Feb 05 2018,0.023734,0.024225,0.019263,0.020032,48,37975
Feb 04 2018,0.027825,0.028238,0.021806,0.023967,100,44521
Feb 03 2018,0.024904,0.028564,0.023046,0.027811,424,39847
Feb 02 2018,0.035327,0.035327,0.022573,0.024820,1636,56523
Feb 01 2018,0.050750,0.052036,0.033618,0.035400,805,81201
Jan 31 2018,0.032254,0.050633,0.025202,0.050633,1037,51607
Jan 30 2018,0.036175,0.048422,0.031669,0.032204,2745,57880
Jan 29 2018,0.037352,0.055711,0.035675,0.036163,3140,59763
Jan 28 2018,0.067361,0.228608,0.022201,0.037387,22131,107778
Jan 27 2018,0.041165,0.068417,0.040405,0.067018,1,65864
Jan 26 2018,0.065846,0.068546,0.038472,0.041192,8,105354
