Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.043077,0.049824,0.040333,0.041022,3980,3123110
Mar 30 2018,0.045320,0.047454,0.037029,0.043117,7830,3285710
Mar 29 2018,0.055402,0.055883,0.038578,0.045452,6146,4016620
Mar 28 2018,0.044566,0.055655,0.039616,0.055303,20210,3231030
Mar 27 2018,0.048824,0.049183,0.040112,0.044551,3348,3539710
Mar 26 2018,0.053405,0.053752,0.042906,0.048854,4786,3871880
Mar 25 2018,0.055109,0.055515,0.043971,0.053524,3737,3995390
Mar 24 2018,0.045228,0.057022,0.042952,0.055777,12519,3279060
Mar 23 2018,0.053500,0.053600,0.042359,0.044815,7506,3878770
Mar 22 2018,0.059347,0.060929,0.044104,0.053509,4589,4302660
Mar 21 2018,0.050158,0.059916,0.048311,0.059202,5976,3636430
Mar 20 2018,0.046777,0.053173,0.043825,0.049851,6081,3391350
Mar 19 2018,0.043334,0.054344,0.041935,0.046407,10268,3141710
Mar 18 2018,0.058421,0.058421,0.039027,0.043508,5597,4235500
Mar 17 2018,0.064950,0.065823,0.052381,0.058473,3310,4708850
Mar 16 2018,0.067007,0.070130,0.053420,0.064908,14798,4858040
Mar 15 2018,0.070861,0.071190,0.051723,0.051933,8322,5137430
Mar 14 2018,0.067582,0.080219,0.053353,0.070811,13586,4899690
Mar 13 2018,0.060949,0.068431,0.057042,0.067556,9897,-
Mar 12 2018,0.066439,0.068147,0.056767,0.063887,19392,-
Mar 11 2018,0.071619,0.071768,0.053932,0.066521,10602,-
Mar 10 2018,0.065557,0.077141,0.058735,0.071833,13931,-
Mar 09 2018,0.076392,0.080217,0.059912,0.065590,5801,-
Mar 08 2018,0.073308,0.090691,0.062405,0.076532,1014,-
Mar 07 2018,0.103348,0.104131,0.050314,0.073423,21450,-
Mar 06 2018,0.097974,0.103811,0.081663,0.103247,11926,-
Mar 05 2018,0.108756,0.111498,0.090514,0.097993,6485,-
Mar 04 2018,0.119167,0.119209,0.094148,0.108724,10934,-
Mar 03 2018,0.106783,0.120615,0.090184,0.119185,64610,-
Mar 02 2018,0.104307,0.107932,0.098130,0.106867,17680,-
Mar 01 2018,0.126544,0.127593,0.087523,0.104337,36496,-
Feb 28 2018,0.130483,0.132558,0.091603,0.126504,62022,-
Feb 27 2018,0.121583,0.134363,0.115390,0.130436,22665,-
Feb 26 2018,0.125793,0.131372,0.117429,0.121250,5579,-
Feb 25 2018,0.128996,0.129622,0.112322,0.125711,35149,-
Feb 24 2018,0.123246,0.139311,0.116147,0.129299,27358,-
Feb 23 2018,0.124877,0.146434,0.117418,0.123351,11273,-
Feb 22 2018,0.121067,0.154455,0.120025,0.125031,31409,-
Feb 21 2018,0.142008,0.153972,0.115878,0.121268,61344,-
Feb 20 2018,0.153665,0.162878,0.141800,0.142185,34769,-
Feb 19 2018,0.162940,0.164981,0.141668,0.153633,22862,-
Feb 18 2018,0.156766,0.170015,0.146944,0.163489,56561,-
Feb 17 2018,0.160478,0.171355,0.154502,0.156702,88560,-
Feb 16 2018,0.152417,0.184706,0.139521,0.160385,76493,-
Feb 15 2018,0.152664,0.152664,0.152525,0.152525,40103,-
