Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.014541,0.034481,0.014489,0.022358,7425,527976
Mar 30 2018,0.015122,0.015475,0.014016,0.014539,468,548536
Mar 29 2018,0.017855,0.017883,0.014726,0.015157,605,647060
Mar 28 2018,0.017241,0.020962,0.017014,0.017167,991,624182
Mar 27 2018,0.019211,0.019231,0.016243,0.017245,1434,694810
Mar 26 2018,0.022893,0.023018,0.018439,0.019240,3680,827173
Mar 25 2018,0.023196,0.027364,0.022454,0.022910,823,837322
Mar 24 2018,0.025810,0.028800,0.023519,0.023520,2910,930762
Mar 23 2018,0.024937,0.025492,0.023685,0.025440,1860,898373
Mar 22 2018,0.025913,0.025913,0.024309,0.024937,1129,932628
Mar 21 2018,0.025812,0.026504,0.025426,0.025960,1510,928074
Mar 20 2018,0.024949,0.026408,0.024252,0.025765,1557,896158
Mar 19 2018,0.023508,0.024800,0.023374,0.024674,216,843551
Mar 18 2018,0.022832,0.023852,0.021070,0.023607,1563,818500
Mar 17 2018,0.022553,0.023350,0.021081,0.022888,945,807677
Mar 16 2018,0.021454,0.023117,0.020691,0.022494,656,767575
Mar 15 2018,0.023159,0.023304,0.020693,0.021450,807,827728
Mar 14 2018,0.024094,0.025009,0.022508,0.023169,341,860322
Mar 13 2018,0.024551,0.026856,0.023921,0.024086,1308,875752
Mar 12 2018,0.025663,0.028658,0.023922,0.024838,2204,914492
Mar 11 2018,0.023933,0.026404,0.023686,0.025745,1708,852007
Mar 10 2018,0.028169,0.029694,0.023579,0.024159,2174,1001760
Mar 09 2018,0.027572,0.028190,0.023284,0.028071,1813,979577
Mar 08 2018,0.029185,0.029957,0.026636,0.027744,1709,1035870
Mar 07 2018,0.031871,0.032334,0.028553,0.029719,4672,1130000
Mar 06 2018,0.034388,0.034388,0.031533,0.031912,900,1218010
Mar 05 2018,0.034399,0.045132,0.033943,0.034483,13530,1217180
Mar 04 2018,0.028508,0.034425,0.027758,0.034425,5015,1007690
Mar 03 2018,0.027934,0.029076,0.027934,0.028557,766,986400
Mar 02 2018,0.029404,0.030748,0.027592,0.027968,1400,1037260
Mar 01 2018,0.028544,0.030050,0.026769,0.029480,2706,1005940
Feb 28 2018,0.029293,0.030211,0.025893,0.028502,2964,1031270
Feb 27 2018,0.028396,0.030048,0.023854,0.029328,3769,998672
Feb 26 2018,0.026922,0.028695,0.026159,0.028314,1831,945882
Feb 25 2018,0.026565,0.028003,0.025567,0.026888,2086,932400
Feb 24 2018,0.031309,0.032341,0.026183,0.026602,3803,1097780
Feb 23 2018,0.029989,0.037875,0.026626,0.036018,5729,1050420
Feb 22 2018,0.032437,0.050830,0.029318,0.030017,25148,1135010
Feb 21 2018,0.025346,0.044286,0.023834,0.032470,14008,885952
Feb 20 2018,0.027930,0.029100,0.025106,0.025378,1529,975284
Feb 19 2018,0.024302,0.028300,0.024227,0.027905,1729,847736
Feb 18 2018,0.030583,0.031722,0.023606,0.024415,1027,1065750
Feb 17 2018,0.028587,0.030984,0.028220,0.030492,1342,995180
Feb 16 2018,0.027852,0.030081,0.026929,0.028594,1197,968583
Feb 15 2018,0.025137,0.028134,0.024817,0.027972,866,873280
Feb 14 2018,0.025195,0.026606,0.023404,0.025123,1132,874412
Feb 13 2018,0.024591,0.026502,0.023027,0.025271,1114,852539
