Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000342,0.000357,0.000274,0.000277,13,1992
Mar 30 2018,0.000283,0.000347,0.000264,0.000342,3,1651
Mar 29 2018,0.000397,0.000398,0.000276,0.000284,43,2313
Mar 28 2018,0.000389,0.000405,0.000387,0.000397,16,2268
Mar 27 2018,0.000490,0.000492,0.000314,0.000389,17,2856
Mar 26 2018,0.000422,0.000506,0.000419,0.000491,32,2459
Mar 25 2018,0.000425,0.000434,0.000419,0.000422,13,2477
Mar 24 2018,0.000446,0.000540,0.000354,0.000431,48,2596
Mar 23 2018,0.000435,0.000439,0.000416,0.000439,23,2535
Mar 22 2018,0.000445,0.000454,0.000426,0.000435,492,2591
Mar 21 2018,0.000445,0.000458,0.000439,0.000446,8,2594
Mar 20 2018,0.000517,0.000519,0.000417,0.000444,281,3015
Mar 19 2018,0.000328,0.000517,0.000326,0.000512,51,1909
Mar 18 2018,0.000473,0.000473,0.000295,0.000329,30,2757
Mar 17 2018,0.000498,0.000499,0.000465,0.000474,8,2902
Mar 16 2018,0.000330,0.000515,0.000318,0.000497,39,1925
Mar 15 2018,0.000410,0.000420,0.000327,0.000331,10,2391
Mar 14 2018,0.000457,0.000468,0.000330,0.000411,3,2665
Mar 13 2018,0.000364,0.000468,0.000359,0.000457,23,2118
Mar 12 2018,0.000477,0.000495,0.000352,0.000366,7,2780
Mar 11 2018,0.000439,0.000486,0.000424,0.000479,48,2556
Mar 10 2018,0.000463,0.000474,0.000436,0.000440,26,2698
Mar 09 2018,0.000465,0.000730,0.000347,0.000463,587,2707
Mar 08 2018,0.000593,0.000601,0.000453,0.000468,31,3458
Mar 07 2018,0.000537,0.000604,0.000378,0.000594,71,3131
Mar 05 2018,0.000460,0.000460,0.000457,0.000458,41,2680
Mar 04 2018,0.000458,0.000460,0.000444,0.000460,41,2666
Mar 03 2018,0.000661,0.000690,0.000453,0.000458,43,3852
Mar 02 2018,0.000545,0.000667,0.000542,0.000662,422,3176
Mar 01 2018,0.000516,0.000553,0.000512,0.000547,403,3008
Feb 28 2018,0.000640,0.000640,0.000515,0.000515,15,3728
Feb 27 2018,0.000722,0.000728,0.000610,0.000641,6,4206
Feb 26 2018,0.000575,0.000729,0.000565,0.000720,9,3351
Feb 25 2018,0.000776,0.000789,0.000559,0.000574,58,4519
Feb 24 2018,0.000812,0.000840,0.000752,0.000777,7,4729
Feb 23 2018,0.000492,0.000817,0.000480,0.000813,68,2868
Feb 22 2018,0.000511,0.000515,0.000487,0.000493,11,2978
Feb 21 2018,0.000561,0.000562,0.000514,0.000520,21,3268
Feb 20 2018,0.000670,0.000703,0.000556,0.000562,376,3905
Feb 19 2018,0.000623,0.000675,0.000621,0.000670,10,3631
Feb 18 2018,0.000998,0.001015,0.000613,0.000626,124,5817
Feb 17 2018,0.000917,0.001001,0.000906,0.000995,57,5345
Feb 16 2018,0.000505,0.000921,0.000489,0.000918,321,2940
Feb 15 2018,0.000663,0.000684,0.000476,0.000507,2,3864
Feb 14 2018,0.000511,0.000665,0.000511,0.000663,28,2975
Feb 13 2018,0.000445,0.000699,0.000434,0.000512,80,2592
Feb 12 2018,0.000486,0.000534,0.000437,0.000444,80,2834
Feb 11 2018,0.000769,0.000769,0.000471,0.000483,76,4483
Feb 10 2018,0.000434,0.000772,0.000429,0.000770,103,2531
Feb 09 2018,0.000413,0.000503,0.000389,0.000434,59,2405
Feb 08 2018,0.000420,0.000423,0.000403,0.000411,50,2447
Feb 06 2018,0.000416,0.000437,0.000356,0.000425,80,2426
Feb 05 2018,0.000575,0.000587,0.000400,0.000416,78,3349
Feb 04 2018,0.000462,0.000589,0.000410,0.000581,97,2693
Feb 03 2018,0.000443,0.000474,0.000410,0.000462,32,2582
Feb 02 2018,0.000636,0.000636,0.000402,0.000442,148,3704
Feb 01 2018,0.000610,0.000675,0.000476,0.000637,55,3555
Jan 31 2018,0.000801,0.000806,0.000578,0.000609,48,4669
Jan 30 2018,0.000560,0.000870,0.000544,0.000800,27,3263
Jan 29 2018,0.000928,0.000940,0.000552,0.000560,126,5407
Jan 28 2018,0.000571,0.001054,0.000570,0.000929,677,3326
Jan 27 2018,0.000668,0.000675,0.000544,0.000568,4,3889
Jan 26 2018,0.000446,0.001031,0.000446,0.000668,1287,2601
Jan 25 2018,0.000571,0.000679,0.000437,0.000448,131,3325
Jan 24 2018,0.000759,0.000801,0.000548,0.000561,134,4421
Jan 23 2018,0.000785,0.000796,0.000759,0.000759,120,4571
Jan 22 2018,0.001045,0.001073,0.001018,0.001063,406,6087
Jan 21 2018,0.001151,0.001151,0.001009,0.001031,393,6708
Jan 20 2018,0.000929,0.001166,0.000929,0.001149,423,5414
Jan 19 2018,0.001128,0.001160,0.000882,0.000919,1655,6570
Jan 18 2018,0.000446,0.001142,0.000321,0.001140,947,2596
