Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.003555,0.003685,0.003494,0.003604,904,1498
Mar 30 2018,0.003684,0.004104,0.003434,0.003555,13,1552
Mar 29 2018,0.004050,0.004314,0.003693,0.003693,1670,1706
Mar 28 2018,0.003816,0.004147,0.003733,0.004045,1455,1607
Mar 27 2018,0.004493,0.004507,0.003726,0.003816,433,1893
Mar 26 2018,0.004220,0.004525,0.003611,0.004500,4468,1778
Mar 25 2018,0.005442,0.005741,0.004188,0.004223,6079,2293
Mar 24 2018,0.006692,0.008707,0.004387,0.005518,4100,2819
Mar 23 2018,0.003306,0.007924,0.002847,0.006596,2400,1393
Mar 22 2018,0.003469,0.003884,0.002983,0.003307,364,1462
Mar 21 2018,0.002760,0.003755,0.002756,0.003476,2542,1163
Mar 20 2018,0.002932,0.003169,0.002623,0.002755,2723,1235
Mar 19 2018,0.002867,0.002951,0.002410,0.002900,744,1208
Mar 18 2018,0.002760,0.003119,0.002211,0.002714,767,1163
Mar 17 2018,0.002989,0.003150,0.002712,0.002767,2617,1259
Mar 16 2018,0.002230,0.003064,0.002067,0.002984,1681,940
Mar 15 2018,0.002380,0.002385,0.001783,0.002232,1610,1003
Mar 14 2018,0.002745,0.002808,0.001818,0.002381,2245,1156
Mar 13 2018,0.001727,0.002785,0.001384,0.002561,2923,728
Mar 12 2018,0.002768,0.003264,0.000681,0.001737,3961,1166
Mar 11 2018,0.002896,0.003112,0.002429,0.002777,475,1220
Mar 10 2018,0.003333,0.003376,0.002566,0.002906,358,1404
Mar 09 2018,0.002695,0.003350,0.002349,0.003332,2245,1135
Mar 08 2018,0.002769,0.003532,0.002686,0.002712,550,1167
Mar 07 2018,0.003430,0.003808,0.002710,0.002773,175,1445
Mar 06 2018,0.003221,0.003892,0.002931,0.003864,729,1357
Mar 05 2018,0.003679,0.003722,0.003206,0.003230,333,1550
Mar 04 2018,0.003318,0.003682,0.003002,0.003682,433,1398
Mar 03 2018,0.003967,0.004125,0.003273,0.003323,455,1671
Mar 02 2018,0.003271,0.004014,0.003271,0.003972,947,1378
Mar 01 2018,0.002891,0.003976,0.002868,0.003280,1329,1218
Feb 28 2018,0.003733,0.004277,0.002711,0.002887,2119,1573
Feb 27 2018,0.004228,0.004399,0.003737,0.003737,358,1781
Feb 26 2018,0.004122,0.004630,0.003463,0.004010,3977,1737
Feb 25 2018,0.004169,0.004714,0.003671,0.004117,657,1757
Feb 24 2018,0.004566,0.004724,0.003801,0.004176,571,1924
Feb 23 2018,0.004627,0.004971,0.003875,0.004572,1206,1949
