Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000479,0.000542,0.000439,0.000441,1416,732627
Mar 30 2018,0.000496,0.000501,0.000406,0.000479,1202,758745
Mar 29 2018,0.000495,0.000563,0.000423,0.000497,2073,756860
Mar 28 2018,0.000620,0.000646,0.000492,0.000495,3469,946941
Mar 27 2018,0.000572,0.000649,0.000543,0.000619,3464,873389
Mar 26 2018,0.000671,0.000759,0.000551,0.000573,713,1023420
Mar 25 2018,0.000680,0.000768,0.000586,0.000667,1540,1037350
Mar 24 2018,0.000602,0.000774,0.000602,0.000690,2414,917916
Mar 23 2018,0.000774,0.000780,0.000594,0.000594,3592,1177870
Mar 22 2018,0.000633,0.000801,0.000542,0.000696,8195,962790
Mar 21 2018,0.000551,0.000702,0.000544,0.000634,4951,836962
Mar 20 2018,0.000659,0.000705,0.000549,0.000550,5213,1001350
Mar 19 2018,0.000655,0.000716,0.000583,0.000652,3418,994745
Mar 18 2018,0.000692,0.000701,0.000506,0.000684,1909,1050830
Mar 17 2018,0.000645,0.000725,0.000553,0.000691,1092,979374
Mar 16 2018,0.000592,0.000733,0.000556,0.000644,3740,898102
Mar 15 2018,0.000657,0.000668,0.000476,0.000592,3611,996783
Mar 14 2018,0.000830,0.000838,0.000567,0.000660,5647,1259690
Mar 13 2018,0.000781,0.000855,0.000710,0.000830,2868,1183540
Mar 12 2018,0.000818,0.000922,0.000705,0.000786,4055,1238550
Mar 11 2018,0.000719,0.000901,0.000646,0.000820,6538,1088480
Mar 10 2018,0.000860,0.000945,0.000664,0.000722,6421,1300430
Mar 09 2018,0.000846,0.000943,0.000649,0.000860,5186,1278880
Mar 08 2018,0.000989,0.001001,0.000715,0.000852,2741,1493150
Mar 07 2018,0.000975,0.001062,0.000759,0.000990,3502,1470820
Mar 06 2018,0.001185,0.001243,0.000686,0.000976,9299,1785630
Mar 05 2018,0.001278,0.001293,0.000930,0.001189,4920,1923990
Mar 04 2018,0.001240,0.001364,0.001133,0.001282,2190,1866090
Mar 03 2018,0.001423,0.001463,0.001023,0.001242,4615,2138980
Mar 02 2018,0.001308,0.001483,0.001189,0.001425,4126,1965350
Mar 01 2018,0.001431,0.001608,0.001172,0.001312,7417,2148240
Feb 28 2018,0.001629,0.001710,0.001357,0.001429,8082,2442610
Feb 27 2018,0.001734,0.001821,0.001557,0.001631,4218,2598510
Feb 26 2018,0.001507,0.001795,0.001499,0.001651,6383,2256360
Feb 25 2018,0.001870,0.001904,0.001459,0.001459,3632,2796750
Feb 24 2018,0.001947,0.002217,0.001713,0.001814,8244,2911090
Feb 23 2018,0.002064,0.002146,0.001884,0.001947,8700,3085460
Feb 22 2018,0.001961,0.002587,0.001939,0.002063,27562,2931640
Feb 21 2018,0.001682,0.002063,0.001512,0.001967,10630,2515270
Feb 20 2018,0.001899,0.002076,0.001675,0.001837,6026,2839200
Feb 19 2018,0.001904,0.002021,0.001771,0.001956,14196,2845730
Feb 18 2018,0.001922,0.002130,0.001778,0.001905,14335,2873890
Feb 17 2018,0.001937,0.002148,0.001839,0.001917,14862,2892820
Feb 16 2018,0.001816,0.002703,0.001816,0.001937,26245,2710440
Feb 15 2018,0.001860,0.002214,0.001786,0.001824,30225,2772540
