Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,1.57,2.02,1.57,2.01,14249,8087240
Mar 30 2018,1.77,1.78,1.47,1.57,36591,9118530
Mar 29 2018,2.13,2.14,1.73,1.78,32330,10978700
Mar 28 2018,1.95,2.15,1.94,2.13,21478,10022700
Mar 27 2018,2.07,2.19,1.95,1.95,18158,10652100
Mar 26 2018,2.18,2.19,2.00,2.07,33550,11188400
Mar 25 2018,2.23,2.25,2.13,2.18,11982,11459400
Mar 24 2018,2.37,2.43,2.23,2.26,18480,12166600
Mar 23 2018,2.36,2.48,2.13,2.33,22042,12128400
Mar 22 2018,2.51,2.60,2.34,2.36,5765,12896000
Mar 21 2018,2.55,2.65,2.32,2.46,31503,13096100
Mar 20 2018,2.64,2.87,2.46,2.54,58446,13600700
Mar 19 2018,2.18,2.69,2.16,2.62,60504,11210600
Mar 18 2018,2.15,2.37,1.84,2.19,50161,11057700
Mar 17 2018,2.27,2.49,2.00,2.16,82601,11680700
Mar 16 2018,2.45,2.46,2.12,2.27,52887,12592800
Mar 15 2018,2.50,2.64,2.15,2.45,114321,12857400
Mar 14 2018,2.98,3.08,2.36,2.50,86866,15347100
Mar 13 2018,3.02,3.19,2.92,2.98,98139,15516200
Mar 12 2018,3.37,3.40,2.93,3.03,84305,17342000
Mar 11 2018,2.89,3.44,2.79,3.38,60450,14874900
Mar 10 2018,3.04,3.43,2.86,2.90,57732,15660300
Mar 09 2018,3.16,3.26,2.66,3.04,138365,16252700
Mar 08 2018,3.07,3.27,2.86,3.18,193415,15769200
Mar 07 2018,3.37,3.40,2.80,3.02,75733,17321900
Mar 06 2018,3.45,3.61,3.05,3.37,82382,17724000
Mar 05 2018,3.70,3.78,3.11,3.46,115108,19048000
Mar 04 2018,4.00,4.02,3.56,3.71,183368,20564400
Mar 03 2018,3.46,4.01,3.38,3.93,223169,17778800
Mar 02 2018,2.88,3.85,2.88,3.40,179460,14804500
Mar 01 2018,2.66,3.13,2.47,2.89,260003,13656600
Feb 28 2018,2.43,2.82,2.43,2.65,29960,12477200
Feb 27 2018,2.44,2.72,2.36,2.43,46216,12564000
Feb 26 2018,2.26,2.69,2.02,2.44,57779,11647500
Feb 25 2018,2.21,2.31,2.09,2.26,13415,11346200
Feb 24 2018,2.44,2.62,2.07,2.21,45848,12546200
Feb 23 2018,2.44,2.62,2.25,2.44,30401,12551300
Feb 22 2018,2.32,2.56,2.15,2.44,25877,11952700
Feb 21 2018,2.68,2.87,2.10,2.25,45863,13787100
Feb 20 2018,2.79,2.96,2.62,2.68,34183,14343600
Feb 19 2018,2.57,2.97,2.57,2.79,37296,13224600
Feb 18 2018,2.73,2.78,2.49,2.58,30125,14035300
Feb 17 2018,2.53,2.76,2.39,2.72,30181,13023000
Feb 16 2018,2.71,2.88,2.51,2.53,30073,13923000
Feb 15 2018,2.35,2.75,2.32,2.72,41156,12085000
Feb 14 2018,2.40,2.74,2.28,2.40,58781,12344200
Feb 13 2018,2.60,2.64,2.30,2.41,49171,13388000
Feb 12 2018,2.57,2.86,2.50,2.60,59652,13230600
Feb 11 2018,2.36,2.73,2.23,2.56,66054,12145800
