Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001709,0.002159,0.001445,0.002079,419,31704
Mar 30 2018,0.002125,0.002160,0.001410,0.001709,944,39417
Mar 29 2018,0.001588,0.002114,0.001267,0.001846,854,29459
Mar 28 2018,0.001402,0.001782,0.001333,0.001586,271,25997
Mar 27 2018,0.001552,0.001835,0.001400,0.001402,232,28789
Mar 26 2018,0.001688,0.001920,0.001421,0.001554,251,31308
Mar 25 2018,0.001446,0.002314,0.001438,0.002027,1807,26811
Mar 24 2018,0.001426,0.001799,0.001415,0.001466,145,26447
Mar 23 2018,0.001827,0.001859,0.001497,0.001581,182,33892
Mar 22 2018,0.001690,0.001829,0.001534,0.001827,170,31349
Mar 21 2018,0.001781,0.002003,0.001669,0.001693,240,33031
Mar 20 2018,0.002070,0.002334,0.001600,0.001778,1984,38386
Mar 19 2018,0.001720,0.002170,0.001469,0.002047,219,31902
Mar 18 2018,0.001656,0.001949,0.001536,0.001727,474,30719
Mar 17 2018,0.001660,0.002529,0.001554,0.001660,796,30795
Mar 16 2018,0.002313,0.002327,0.001309,0.001658,2009,42901
Mar 15 2018,0.003529,0.005926,0.001608,0.001901,6692,65456
Mar 14 2018,0.001464,0.004637,0.001307,0.003531,3315,27152
Mar 13 2018,0.001727,0.002167,0.001464,0.001464,335,32030
Mar 12 2018,0.001909,0.002124,0.001599,0.001737,316,35405
Mar 11 2018,0.002194,0.002194,0.001702,0.001915,182,40691
Mar 10 2018,0.001945,0.002267,0.001807,0.002201,325,36067
Mar 09 2018,0.001952,0.002031,0.001762,0.001944,249,36198
Mar 08 2018,0.002572,0.002604,0.001935,0.001964,271,47697
Mar 07 2018,0.003537,0.003589,0.002172,0.002575,642,65608
Mar 06 2018,0.004602,0.004602,0.002387,0.003542,1791,85359
Mar 05 2018,0.005749,0.005749,0.003571,0.004615,467,106628
Mar 04 2018,0.003203,0.005753,0.002338,0.005753,1560,59412
Mar 03 2018,0.002865,0.004113,0.002865,0.003209,651,53140
Mar 02 2018,0.003162,0.003576,0.002379,0.002869,636,58649
Mar 01 2018,0.002994,0.003208,0.002884,0.003170,330,55537
Feb 28 2018,0.002986,0.004912,0.002968,0.002990,800,55385
Feb 27 2018,0.003918,0.004868,0.002856,0.002990,562,72678
Feb 26 2018,0.003164,0.003958,0.002497,0.003907,565,58677
Feb 25 2018,0.003006,0.003188,0.002957,0.003160,454,55751
Feb 24 2018,0.003754,0.004251,0.002713,0.003010,405,69634
Feb 23 2018,0.004430,0.004813,0.003649,0.003759,626,82171
Feb 22 2018,0.005443,0.005524,0.004387,0.004434,763,100948
Feb 21 2018,0.005608,0.005619,0.005137,0.005448,503,104021
