Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000479,0.000648,0.000477,0.000624,3,-
Mar 30 2018,0.000496,0.000648,0.000467,0.000479,105,-
Mar 29 2018,0.000715,0.000716,0.000483,0.000497,1,-
Mar 28 2018,0.000701,0.000729,0.000697,0.000714,8,-
Mar 27 2018,0.000735,0.000738,0.000698,0.000701,23,-
Mar 26 2018,0.000760,0.000764,0.000553,0.000736,248,-
Mar 25 2018,0.000595,0.000781,0.000586,0.000760,42,-
Mar 24 2018,0.000624,0.000719,0.000602,0.000604,63,-
Mar 23 2018,0.000696,0.000696,0.000582,0.000615,99,-
Mar 22 2018,0.000445,0.000699,0.000427,0.000696,101,-
Mar 21 2018,0.000445,0.000458,0.000439,0.000446,21,-
Mar 20 2018,0.000604,0.000716,0.000444,0.000444,64,-
Mar 19 2018,0.000737,0.000759,0.000577,0.000597,41,-
Mar 18 2018,0.000946,0.000946,0.000297,0.000740,951,-
Mar 17 2018,0.000913,0.000965,0.000775,0.000949,97,-
Mar 16 2018,0.000991,0.001113,0.000912,0.000912,120,-
Mar 15 2018,0.000657,0.001002,0.000616,0.000992,129,-
Mar 14 2018,0.000732,0.000922,0.000640,0.000657,22,-
Mar 13 2018,0.000818,0.000853,0.000732,0.000732,376,-
Mar 12 2018,0.000859,0.001088,0.000793,0.000823,36,-
Mar 11 2018,0.000790,0.001144,0.000763,0.000862,63,-
Mar 10 2018,0.000741,0.001221,0.000733,0.000793,567,-
Mar 09 2018,0.000743,0.000923,0.000671,0.000740,18,-
Mar 08 2018,0.000890,0.001110,0.000742,0.000748,85,-
Mar 07 2018,0.001179,0.001196,0.000837,0.000891,46,-
Mar 06 2018,0.001035,0.001209,0.000868,0.001181,103,-
Mar 05 2018,0.001035,0.001269,0.000918,0.001038,588,-
Mar 04 2018,0.001030,0.001264,0.001023,0.001036,162,-
Mar 03 2018,0.000992,0.001137,0.000992,0.001031,402,-
Mar 02 2018,0.001199,0.001227,0.000980,0.000993,208,-
Mar 01 2018,0.000929,0.001217,0.000824,0.001202,538,-
Feb 28 2018,0.001066,0.001103,0.000927,0.000928,48,-
Feb 27 2018,0.000928,0.001300,0.000928,0.001068,157,-
Feb 26 2018,0.001055,0.001341,0.000925,0.000925,997,-
Feb 25 2018,0.001164,0.001175,0.001025,0.001053,2,-
Feb 24 2018,0.000812,0.001260,0.000811,0.001165,392,-
Feb 23 2018,0.000984,0.001139,0.000802,0.000813,129,-
Feb 22 2018,0.001256,0.001309,0.000975,0.000985,100,-
Feb 21 2018,0.001346,0.001348,0.000830,0.001257,1434,-
Feb 20 2018,0.001341,0.001505,0.001124,0.001348,94,-
Feb 19 2018,0.001350,0.001544,0.001094,0.001339,254,-
Feb 18 2018,0.001331,0.001467,0.001054,0.001357,702,-
Feb 17 2018,0.000917,0.001335,0.000840,0.001327,552,-
Feb 16 2018,0.000807,0.001014,0.000803,0.000918,41,-
Feb 15 2018,0.001137,0.001482,0.000792,0.000811,2343,-
Feb 14 2018,0.000851,0.001139,0.000851,0.001136,186,-
Feb 13 2018,0.000890,0.001026,0.000845,0.000854,577,-
Feb 12 2018,0.000892,0.000975,0.000602,0.000888,835,-
Feb 11 2018,0.000855,0.000933,0.000720,0.000886,22,-
Feb 10 2018,0.000956,0.001086,0.000857,0.001027,107,-
Feb 09 2018,0.000743,0.000959,0.000706,0.000955,152,-
Feb 08 2018,0.000833,0.000886,0.000631,0.000741,172,-
Feb 07 2018,0.000617,0.000942,0.000600,0.000837,332,-
Feb 06 2018,0.000694,0.000694,0.000499,0.000623,430,-
Feb 05 2018,0.000739,0.001006,0.000610,0.000693,548,-
Feb 04 2018,0.000740,0.001066,0.000713,0.000746,253,-
Feb 03 2018,0.000709,0.000940,0.000656,0.000739,63,-
Feb 02 2018,0.001181,0.001181,0.000617,0.000707,157,-
Feb 01 2018,0.001220,0.001226,0.000830,0.001183,128,-
Jan 31 2018,0.001202,0.001232,0.000793,0.001218,58,-
Jan 30 2018,0.001344,0.001347,0.000721,0.001200,309,-
Jan 29 2018,0.001160,0.001464,0.001027,0.001344,711,-
Jan 28 2018,0.001028,0.001175,0.000911,0.001161,413,-
Jan 27 2018,0.001113,0.001276,0.000890,0.001022,843,-
Jan 26 2018,0.001451,0.001510,0.000980,0.001113,117,-
Jan 25 2018,0.001712,0.001712,0.001003,0.001455,332,-
Jan 24 2018,0.001084,0.001695,0.001054,0.001684,553,-
Jan 23 2018,0.001624,0.001738,0.001000,0.001085,1689,-
Jan 22 2018,0.001857,0.001895,0.001119,0.001629,1958,-
Jan 21 2018,0.001547,0.001850,0.001244,0.001832,3518,-
Jan 20 2018,0.001278,0.001408,0.001277,0.001400,1473,-
Jan 19 2018,0.001353,0.001683,0.001220,0.001264,1329,-
Jan 18 2018,0.001559,0.001695,0.001312,0.001368,704,-
Jan 17 2018,0.001371,0.001640,0.001117,0.001553,369,-
Jan 16 2018,0.001913,0.001913,0.001219,0.001378,1158,-
Jan 15 2018,0.002327,0.002514,0.001643,0.001911,6384,-
Jan 14 2018,0.002298,0.003290,0.001906,0.002344,14130,-
Jan 13 2018,0.002226,0.002335,0.001854,0.002296,3389,-
Jan 12 2018,0.001619,0.002238,0.001091,0.002229,5523,-
Jan 11 2018,0.001498,0.002354,0.001245,0.001609,6483,-
Jan 10 2018,0.001022,0.001616,0.000958,0.001500,4698,-
Jan 09 2018,0.001054,0.001541,0.000864,0.001021,1604,-
Jan 08 2018,0.001303,0.001604,0.000746,0.001359,6854,-
Jan 07 2018,0.000516,0.001321,0.000513,0.001305,8046,-
Jan 06 2018,0.000510,0.000863,0.000503,0.000516,599,-
Jan 05 2018,0.000455,0.000846,0.000451,0.000509,874,-
Jan 04 2018,0.000761,0.000773,0.000433,0.000455,186,-
Jan 03 2018,0.000742,0.000764,0.000441,0.000756,788,-
Jan 02 2018,0.000810,0.000836,0.000534,0.000744,384,-
Jan 01 2018,0.000699,0.000829,0.000674,0.000810,148,-
