Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.030723,0.044440,0.030405,0.037138,3051270,7677560
Mar 30 2018,0.032586,0.033964,0.029657,0.030896,2502220,8143200
Mar 29 2018,0.043259,0.045286,0.031392,0.032577,2798140,10810300
Mar 28 2018,0.032284,0.051516,0.031726,0.043287,4817660,8067740
Mar 27 2018,0.033943,0.034323,0.032181,0.032322,1877100,8482220
Mar 26 2018,0.037058,0.040747,0.033247,0.034110,2580050,9260580
Mar 25 2018,0.035232,0.041793,0.034279,0.036781,2585560,8804270
Mar 24 2018,0.035345,0.038943,0.034706,0.035635,2560700,8832610
Mar 23 2018,0.035687,0.035687,0.031332,0.034844,2533670,8918030
Mar 22 2018,0.036751,0.038652,0.033787,0.035628,2443670,9183950
Mar 21 2018,0.037539,0.040424,0.034955,0.036707,2541350,9380860
Mar 20 2018,0.032366,0.038563,0.030736,0.037314,2550200,8088210
Mar 19 2018,0.029046,0.032124,0.029046,0.032124,2374830,7258440
Mar 18 2018,0.032843,0.032843,0.023787,0.029291,2778340,8207450
Mar 17 2018,0.037488,0.038234,0.032025,0.032899,2451740,9368080
Mar 16 2018,0.032606,0.040098,0.030554,0.037475,2759710,8148060
Mar 15 2018,0.034514,0.036386,0.029207,0.032643,2738820,8624840
Mar 14 2018,0.032130,0.043657,0.030413,0.034493,2498760,8029100
Mar 13 2018,0.032537,0.033285,0.030681,0.032314,823161,8130920
Mar 12 2018,0.034202,0.035921,0.031465,0.032660,939804,8546980
Mar 11 2018,0.032244,0.035857,0.030992,0.034086,566887,8057580
Mar 10 2018,0.033295,0.036467,0.031140,0.032346,815742,8320350
Mar 09 2018,0.031401,0.034427,0.028604,0.033298,749600,7847080
Mar 08 2018,0.035471,0.041547,0.029507,0.031524,1218740,8864110
Mar 07 2018,0.053466,0.053855,0.026330,0.035498,931072,13360800
Mar 06 2018,0.060363,0.061115,0.051302,0.053526,946563,15084400
Mar 05 2018,0.062068,0.062613,0.058685,0.060467,942929,8581950
Mar 04 2018,0.058783,0.062193,0.057551,0.062193,917377,8127780
Mar 03 2018,0.059447,0.060187,0.057734,0.058815,820329,8219610
Mar 02 2018,0.060294,0.063478,0.057864,0.059511,967926,8336620
Mar 01 2018,0.060386,0.062519,0.057896,0.060379,927358,8349350
Feb 28 2018,0.060706,0.070124,0.058298,0.060328,1021510,8393680
Feb 27 2018,0.061574,0.081773,0.054424,0.060705,1668850,-
Feb 26 2018,0.059798,0.062265,0.055858,0.061374,873680,-
Feb 25 2018,0.063246,0.068393,0.059000,0.059674,1013640,-
Feb 24 2018,0.062444,0.080707,0.061478,0.063325,1783120,-
Feb 23 2018,0.060449,0.064839,0.058911,0.063040,948770,-
Feb 22 2018,0.066350,0.070029,0.059395,0.060591,980000,-
Feb 21 2018,0.077570,0.079180,0.060719,0.066419,1260600,-
Feb 20 2018,0.088059,0.088969,0.076671,0.078062,1195020,-
Feb 19 2018,0.087747,0.088853,0.083227,0.088038,1319180,-
Feb 18 2018,0.089593,0.090381,0.080246,0.087573,1506480,-
Feb 17 2018,0.084829,0.090112,0.083595,0.089411,1548860,-
Feb 16 2018,0.087436,0.088226,0.082602,0.084468,1263830,-
Feb 15 2018,0.082043,0.090298,0.082043,0.087557,1444730,-
Feb 14 2018,0.073076,0.087070,0.073076,0.081970,1788160,-
Feb 13 2018,0.081877,0.083666,0.069307,0.073319,1331690,-
Feb 12 2018,0.083960,0.087726,0.079792,0.081771,1335440,-
Feb 11 2018,0.090667,0.090667,0.078817,0.083860,1337490,-
Feb 10 2018,0.097136,0.099107,0.083871,0.090747,1598730,-
Feb 09 2018,0.077443,0.102254,0.070603,0.098187,3467720,-
Feb 08 2018,0.074016,0.087382,0.074016,0.077352,2732770,-
Feb 07 2018,0.070338,0.087772,0.063452,0.074001,2721410,-
Feb 06 2018,0.059418,0.071022,0.051754,0.070570,2330980,-
Feb 05 2018,0.086032,0.087859,0.052605,0.059274,2048170,-
Feb 04 2018,0.103780,0.103780,0.081878,0.087032,3194320,-
Feb 03 2018,0.099004,0.108904,0.087275,0.103754,3871480,-
Feb 02 2018,0.115816,0.116208,0.075221,0.098655,2273650,-
Feb 01 2018,0.135276,0.143053,0.101945,0.115349,9068230,-
Jan 31 2018,0.161562,0.161562,0.131344,0.134772,12412900,-
Jan 30 2018,0.164846,0.178268,0.139198,0.160597,2999400,-
Jan 29 2018,0.198797,0.202470,0.157754,0.165391,3246430,-
Jan 28 2018,0.194247,0.206751,0.187748,0.200780,3392200,-
Jan 27 2018,0.199582,0.214030,0.176488,0.193643,3212900,-
Jan 26 2018,0.202512,0.207278,0.165370,0.198476,4378040,-
Jan 25 2018,0.190108,0.236521,0.190108,0.201955,6631200,-
Jan 24 2018,0.154148,0.226769,0.138193,0.189274,5694980,-
Jan 23 2018,0.181369,0.230314,0.144949,0.154124,5674380,-
Jan 22 2018,0.153603,0.223346,0.142854,0.186430,2894710,-
Jan 21 2018,0.177672,0.177672,0.143805,0.152162,502081,-
Jan 20 2018,0.175092,0.190464,0.158209,0.177269,1047600,-
Jan 19 2018,0.170762,0.209587,0.139661,0.172377,1598670,-
Jan 18 2018,0.153223,0.218349,0.122079,0.177571,2440490,-
Jan 17 2018,0.172029,0.191881,0.082954,0.155768,2039280,-
Jan 16 2018,0.309483,0.324865,0.139599,0.172387,2687180,-
Jan 15 2018,0.939407,1.03,0.239080,0.329461,13369700,-
Jan 14 2018,0.444059,1.36,0.444059,0.963741,14911900,-
