Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.158098,0.164632,0.151907,0.160089,959784,34261100
Mar 30 2018,0.164108,0.166468,0.145236,0.158094,1439200,35562700
Mar 29 2018,0.181523,0.182100,0.163719,0.163719,1265970,39335500
Mar 28 2018,0.177626,0.187746,0.176142,0.180862,2183020,38490200
Mar 27 2018,0.195259,0.195372,0.171391,0.179978,2545730,42310100
Mar 26 2018,0.212883,0.213339,0.185811,0.194544,2028720,46127900
Mar 25 2018,0.224936,0.224936,0.203980,0.213519,5689370,48738500
Mar 24 2018,0.197252,0.247644,0.195223,0.215945,14040300,42738900
Mar 23 2018,0.224067,0.224067,0.191692,0.199914,3269560,48547700
Mar 22 2018,0.238333,0.238806,0.213632,0.225359,2854240,51637500
Mar 21 2018,0.241580,0.251763,0.227596,0.231137,4176360,52339700
Mar 20 2018,0.229598,0.251825,0.215740,0.239790,13281700,49742400
Mar 19 2018,0.214532,0.234044,0.197049,0.234044,10471800,46477200
Mar 18 2018,0.224388,0.224388,0.169859,0.212097,9567560,48611300
Mar 17 2018,0.291357,0.291357,0.223201,0.226603,5855870,63117900
Mar 16 2018,0.320298,0.320298,0.267241,0.289257,20542100,69385800
Mar 15 2018,0.361755,0.361755,0.271241,0.317254,42427700,78364600
Mar 14 2018,0.319593,0.395059,0.314950,0.385098,107142000,69229600
Mar 13 2018,0.211843,0.292174,0.207784,0.288612,9215620,45888000
Mar 12 2018,0.211435,0.233029,0.205310,0.212922,1820970,45798500
Mar 11 2018,0.205707,0.214879,0.192941,0.211498,675267,44556500
Mar 10 2018,0.215844,0.221980,0.201074,0.206334,721755,46751300
Mar 09 2018,0.222858,0.227348,0.190806,0.214009,1220640,48269200
Mar 08 2018,0.242330,0.248731,0.223549,0.223948,1150890,52485500
Mar 07 2018,0.286271,0.290110,0.232912,0.241796,1460410,62000900
Mar 06 2018,0.303788,0.317553,0.285185,0.286355,1908860,65793100
Mar 05 2018,0.302090,0.310747,0.293735,0.304780,1648700,65423900
Mar 04 2018,0.309103,0.314241,0.293417,0.301502,1110240,66940900
Mar 03 2018,0.294590,0.320455,0.291094,0.310416,2367710,63796300
Mar 02 2018,0.303369,0.307899,0.285071,0.296866,1569610,65696000
Mar 01 2018,0.307361,0.311852,0.286945,0.303327,1366190,66558800
Feb 28 2018,0.307173,0.322435,0.293072,0.306355,1582260,66516500
Feb 27 2018,0.316151,0.321153,0.305100,0.309017,999198,68458800
Feb 26 2018,0.314602,0.322483,0.299059,0.315432,766131,68121800
Feb 25 2018,0.311699,0.320414,0.299979,0.311158,856279,67491400
Feb 24 2018,0.331607,0.339502,0.303006,0.311170,1171880,71800400
Feb 23 2018,0.322268,0.338907,0.301354,0.332833,1709050,69776500
Feb 22 2018,0.361582,0.365941,0.314676,0.323524,2042360,78286600
Feb 21 2018,0.379731,0.384315,0.356423,0.364835,2030680,82214100
Feb 20 2018,0.411313,0.412831,0.382033,0.382744,3394310,89049500
Feb 19 2018,0.405749,0.416030,0.398745,0.414560,3141800,87842800
Feb 18 2018,0.437627,0.437815,0.388818,0.406021,3478550,94741500
Feb 17 2018,0.437157,0.444977,0.418969,0.442126,6612640,94637800
Feb 16 2018,0.431055,0.442788,0.416337,0.439960,5197330,93314400
Feb 15 2018,0.418666,0.434916,0.411466,0.433526,7949910,90630400
Feb 14 2018,0.409050,0.424247,0.399988,0.424183,7647910,88546600
Feb 13 2018,0.411929,0.421820,0.383815,0.410191,15098600,89167600
Feb 12 2018,0.395101,0.417569,0.387144,0.416540,16827200,85522800
Feb 11 2018,0.396629,0.442950,0.376499,0.397236,52891200,85851300
Feb 10 2018,0.391291,0.427268,0.353407,0.388038,16261300,84694000
Feb 09 2018,0.335614,0.374786,0.324475,0.374397,8880680,72641000
Feb 08 2018,0.317579,0.362285,0.307014,0.337340,19516100,68735700
Feb 07 2018,0.315361,0.332667,0.284881,0.305289,6632610,68254000
Feb 06 2018,0.284940,0.323463,0.227948,0.321431,8368720,61668500
Feb 05 2018,0.346100,0.372675,0.280549,0.291010,7097740,74903100
Feb 04 2018,0.393483,0.427840,0.329978,0.347692,5677260,85155600
Feb 03 2018,0.403817,0.431445,0.328831,0.410028,11473600,87389800
Feb 02 2018,0.403331,0.434001,0.261583,0.407658,16828700,87282600
Feb 01 2018,0.490244,0.532096,0.394792,0.401647,6174470,106088000
Jan 31 2018,0.487962,0.516367,0.424475,0.496310,6162460,105592000
Jan 30 2018,0.629151,0.631863,0.484003,0.485181,4200890,136141000
Jan 29 2018,0.670258,0.670258,0.623898,0.630804,4007930,145032000
Jan 28 2018,0.633819,0.680182,0.620672,0.675308,8325700,137144000
Jan 27 2018,0.617033,0.640304,0.581511,0.625710,5877850,133509000
Jan 26 2018,0.637818,0.650542,0.543473,0.615503,9742740,138003000
Jan 25 2018,0.673477,0.674116,0.618018,0.647863,25338500,145714000
Jan 24 2018,0.626770,0.670764,0.590980,0.640234,20933800,135605000
Jan 23 2018,0.596414,0.661505,0.551755,0.640958,45458000,129034000
Jan 22 2018,0.635762,0.656249,0.530673,0.568419,16222800,137544000
Jan 21 2018,0.745733,0.769699,0.601792,0.621071,27298400,161332000
Jan 20 2018,0.698662,0.784449,0.679853,0.751577,97787700,151144000
Jan 19 2018,0.557528,0.723918,0.551526,0.666651,88148500,120609000
Jan 18 2018,0.514320,0.600596,0.505022,0.557923,16616900,111259000
Jan 17 2018,0.525200,0.589351,0.393140,0.516755,20995100,113610000
Jan 16 2018,0.761793,0.761793,0.417893,0.517709,20278200,164785000
Jan 15 2018,0.812862,0.833103,0.757951,0.757951,22365900,175828000
Jan 14 2018,0.963982,0.963982,0.775414,0.816785,6231160,208511000
Jan 13 2018,0.771965,1.01,0.768367,0.971490,21810800,166973000
Jan 12 2018,0.652517,0.818238,0.612701,0.774507,12302600,141133000
Jan 11 2018,0.771031,0.773298,0.536846,0.638839,9575650,166763000
Jan 10 2018,0.823953,0.823953,0.706229,0.771926,6887980,178205000
Jan 09 2018,0.803662,0.915863,0.797906,0.824177,10361300,173812000
Jan 08 2018,0.887481,0.887481,0.705514,0.797002,7537620,191935000
Jan 07 2018,0.928106,0.928106,0.869734,0.888276,8731990,200716000
Jan 06 2018,0.940459,0.962391,0.796606,0.920016,14222700,203382000
Jan 05 2018,1.09,1.17,0.886678,0.928015,14489700,235710000
Jan 04 2018,0.992124,1.30,0.931292,1.09,46930000,214544000
Jan 03 2018,0.979728,1.02,0.860720,0.986992,10657200,211858000
Jan 02 2018,0.893247,1.05,0.888811,0.974600,18820900,193153000
Jan 01 2018,0.779531,1.01,0.742542,0.898079,30151600,168559000
Dec 31 2017,0.726750,0.796020,0.711292,0.781581,5044670,157142000
Dec 30 2017,0.892228,0.892228,0.704244,0.734572,5988330,192918000
Dec 29 2017,0.851304,0.920979,0.788348,0.902579,10839500,184065000
Dec 28 2017,0.929659,1.02,0.779157,0.842906,11769400,201001000
Dec 27 2017,0.957912,0.957912,0.848778,0.886725,7249230,207104000
Dec 26 2017,0.973554,1.01,0.888453,0.957641,12440300,210481000
Dec 25 2017,0.985426,1.02,0.902883,0.969193,11621600,213042000
Dec 24 2017,1.05,1.05,0.845977,0.978060,11408000,226537000
Dec 23 2017,0.931767,1.15,0.931767,1.04,24293800,201432000
Dec 22 2017,1.32,1.33,0.651557,0.910386,31564600,285722000
Dec 21 2017,1.48,1.48,1.23,1.31,45493300,320277000
Dec 20 2017,1.86,1.86,1.42,1.47,75943000,401026000
Dec 19 2017,2.52,2.83,1.51,1.89,220966000,544153000
Dec 18 2017,2.34,2.76,2.19,2.56,104608000,505823000
Dec 17 2017,1.95,2.43,1.90,2.40,67461700,420516000
Dec 16 2017,1.91,2.06,1.85,1.98,42057500,412039000
Dec 15 2017,1.64,2.07,1.46,1.93,86424100,354556000
Dec 14 2017,1.71,1.73,1.56,1.63,34325800,369086000
Dec 13 2017,1.57,1.78,1.40,1.75,53864500,338860000
Dec 12 2017,1.72,1.72,1.47,1.62,40426800,370778000
Dec 11 2017,1.73,1.79,1.63,1.67,53080800,373396000
Dec 10 2017,1.99,2.26,1.20,1.72,146522000,429249000
Dec 09 2017,2.13,2.24,1.71,2.00,48541800,460659000
Dec 08 2017,2.08,2.53,1.69,2.29,156202000,449991000
Dec 07 2017,2.27,2.88,1.65,1.79,256139000,489574000
Dec 06 2017,1.12,2.54,1.08,2.26,440473000,242242000
Dec 05 2017,0.887610,1.14,0.841754,1.09,66728600,191799000
Dec 04 2017,0.861459,0.913906,0.822973,0.898808,21522700,186144000
Dec 03 2017,0.912061,0.937219,0.826097,0.860904,37564600,197073000
Dec 02 2017,0.666901,0.978633,0.645118,0.889466,123020000,144096000
Dec 01 2017,0.426379,0.672051,0.412319,0.669087,83803200,92124900
Nov 30 2017,0.363327,0.450333,0.355796,0.430083,19095700,78499700
Nov 29 2017,0.437225,0.489262,0.355778,0.355778,19140800,94463800
Nov 28 2017,0.456180,0.511202,0.429013,0.440084,26285000,98556500
Nov 27 2017,0.541176,0.556358,0.435588,0.453855,34075600,116917000
Nov 26 2017,0.220474,0.607233,0.220474,0.549802,155757000,47630500
Nov 25 2017,0.185662,0.238929,0.179164,0.220855,21752600,40108800
Nov 24 2017,0.144417,0.200529,0.139934,0.187464,8928450,31197900
Nov 23 2017,0.143371,0.153137,0.134762,0.144707,3588790,30971000
Nov 22 2017,0.143276,0.150424,0.140021,0.143423,2566260,30949800
Nov 21 2017,0.142454,0.144831,0.128244,0.142193,3399160,30771400
Nov 20 2017,0.123042,0.155775,0.122557,0.143053,9230120,26577700
Nov 19 2017,0.118835,0.129585,0.116516,0.123227,2290880,25668300
Nov 18 2017,0.114644,0.124081,0.112488,0.120297,1773190,24762400
Nov 17 2017,0.123027,0.123454,0.110921,0.114910,2947460,26572300
Nov 16 2017,0.111767,0.133466,0.111767,0.122359,8667810,24139900
Nov 15 2017,0.120638,0.126430,0.099243,0.110469,12056900,26055200
Nov 14 2017,0.066265,0.128226,0.066265,0.118761,14577200,14311500
Nov 13 2017,0.058500,0.070314,0.058500,0.065771,623498,12602700
Nov 12 2017,0.067940,0.069177,0.055332,0.058395,667207,14636200
Nov 11 2017,0.067742,0.073715,0.066030,0.068118,652648,14593200
Nov 10 2017,0.082482,0.082642,0.065107,0.068653,1202100,17768100
Nov 09 2017,0.067716,0.084615,0.066686,0.082403,2004840,14587000
Nov 08 2017,0.063681,0.070201,0.060812,0.067658,1088370,13717400
