Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.185898,0.207244,0.185898,0.198406,67392,16873500
Mar 30 2018,0.196365,0.205279,0.176001,0.185858,133537,17823600
Mar 29 2018,0.260475,0.264683,0.191139,0.197493,223991,23642800
Mar 28 2018,0.260211,0.275468,0.252759,0.260488,88696,23618800
Mar 27 2018,0.291795,0.296050,0.255690,0.260272,148947,26485500
Mar 26 2018,0.298359,0.343346,0.261899,0.292183,1165440,27081300
Mar 25 2018,0.256051,0.329973,0.248266,0.298662,2188840,23241100
Mar 24 2018,0.237841,0.271728,0.231570,0.259600,300407,21588300
Mar 23 2018,0.227524,0.242802,0.215377,0.228684,118034,20651800
Mar 22 2018,0.223345,0.233746,0.211087,0.227529,112931,20272500
Mar 21 2018,0.228452,0.237449,0.215418,0.223753,73583,20462500
Mar 20 2018,0.218944,0.227958,0.198947,0.227958,152070,19610800
Mar 19 2018,0.181988,0.223423,0.174894,0.216528,218986,16300700
Mar 18 2018,0.175348,0.181854,0.146279,0.181854,102664,15705900
Mar 17 2018,0.191731,0.193213,0.173745,0.175757,63338,17173400
Mar 16 2018,0.182807,0.218699,0.182807,0.193391,1015570,16374100
Mar 15 2018,0.195739,0.201630,0.164081,0.182910,141684,17532400
Mar 14 2018,0.223538,0.231233,0.191366,0.195885,111173,20022300
Mar 13 2018,0.226738,0.243660,0.216214,0.227421,99249,20308900
Mar 12 2018,0.239774,0.256846,0.211344,0.228047,107936,21476600
Mar 11 2018,0.223287,0.244125,0.204608,0.240532,188308,19999800
Mar 10 2018,0.244733,0.271433,0.217514,0.224060,186462,21920800
Mar 09 2018,0.260773,0.267465,0.210131,0.244628,213146,23357500
Mar 08 2018,0.270507,0.290891,0.253132,0.262435,365274,24229400
Mar 07 2018,0.325748,0.327191,0.262301,0.277923,511202,29177300
Mar 06 2018,0.350352,0.352425,0.317296,0.326386,426078,31381100
Mar 05 2018,0.335209,0.371592,0.321303,0.351785,2049380,30024700
Mar 04 2018,0.334678,0.342285,0.308878,0.336436,899356,29977200
Mar 03 2018,0.354163,0.366911,0.329217,0.329929,499657,31722400
Mar 02 2018,0.333532,0.364682,0.319894,0.354385,1238060,29874500
Mar 01 2018,0.272063,0.348101,0.269669,0.339154,1059800,24368700
Feb 28 2018,0.277062,0.313121,0.269901,0.271663,426632,24816400
Feb 27 2018,0.283708,0.297872,0.263311,0.277389,188029,25411800
Feb 26 2018,0.288171,0.291373,0.273680,0.288053,137330,25811500
Feb 25 2018,0.277832,0.291091,0.267120,0.287802,91449,24885400
Feb 24 2018,0.279033,0.305129,0.268763,0.278253,168135,24993000
Feb 23 2018,0.261138,0.288854,0.251186,0.279387,136690,23390100
Feb 22 2018,0.277256,0.283276,0.242702,0.261378,154916,24833900
Feb 21 2018,0.266229,0.297752,0.247948,0.277328,412831,23846200
Feb 20 2018,0.294848,0.313840,0.263578,0.266561,298143,26356800
Feb 19 2018,0.299788,0.316722,0.290492,0.294581,269414,26798400
Feb 18 2018,0.332046,0.339247,0.301572,0.301879,104865,29681900
Feb 17 2018,0.317496,0.333802,0.311501,0.331108,212310,28381200
Feb 16 2018,0.301386,0.334307,0.299017,0.317567,600706,26941200
Feb 15 2018,0.312882,0.315658,0.293701,0.300060,294504,27968800
Feb 14 2018,0.284611,0.314716,0.284611,0.312707,230743,25441600
Feb 13 2018,0.298976,0.313959,0.269855,0.285449,307251,26725700
Feb 12 2018,0.283409,0.308737,0.273038,0.298681,233916,25334200
Feb 11 2018,0.281713,0.286418,0.250947,0.280556,126466,25182600
Feb 10 2018,0.300003,0.309984,0.267784,0.282126,287487,26817600
Feb 09 2018,0.269278,0.304636,0.253520,0.295901,225917,24071000
Feb 08 2018,0.239310,0.283049,0.237849,0.267852,496929,21392100
Feb 07 2018,0.244867,0.325781,0.228978,0.238385,669438,21888900
Feb 06 2018,0.218195,0.255115,0.173115,0.252642,204052,19504700
Feb 05 2018,0.303045,0.310953,0.206989,0.217919,185714,27089500
Feb 04 2018,0.340596,0.346380,0.267619,0.306012,181140,30446200
Feb 03 2018,0.311838,0.367789,0.275797,0.339057,566172,27875500
Feb 02 2018,0.313310,0.323385,0.225984,0.315471,363946,28007100
Feb 01 2018,0.378588,0.405279,0.277918,0.313959,603142,33842400
Jan 31 2018,0.376632,0.400965,0.354819,0.377711,405149,33667500
Jan 30 2018,0.500517,0.500517,0.377141,0.377141,689649,44741700
Jan 29 2018,0.534665,0.549635,0.481995,0.500352,720782,47794200
Jan 28 2018,0.525076,0.572499,0.521978,0.534219,1509390,46937100
Jan 27 2018,0.473667,0.560528,0.471799,0.518087,1465930,42341500
Jan 26 2018,0.493400,0.511194,0.431508,0.485225,379578,44105500
Jan 25 2018,0.531909,0.543144,0.465733,0.488672,354515,47547800
Jan 24 2018,0.487745,0.526449,0.463668,0.523830,648598,43600000
Jan 23 2018,0.497926,0.520051,0.437922,0.484706,491642,44510100
Jan 22 2018,0.535147,0.563283,0.460919,0.494250,792488,47837300
