Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.038067,0.044138,0.036597,0.038680,80,-
Mar 30 2018,0.043940,0.046833,0.037591,0.038062,131,-
Mar 29 2018,0.049393,0.050953,0.042185,0.044050,485,-
Mar 28 2018,0.043633,0.061029,0.043605,0.049335,8001,-
Mar 27 2018,0.052372,0.052576,0.043474,0.043643,2293,-
Mar 26 2018,0.083438,0.097035,0.050480,0.052452,8472,-
Mar 25 2018,0.064077,0.091893,0.052613,0.083503,23856,-
Mar 24 2018,0.066616,0.087703,0.051225,0.064971,9207,-
Mar 23 2018,0.047810,0.085315,0.045316,0.065660,9574,-
Mar 22 2018,0.054201,0.055300,0.047044,0.047811,555,-
Mar 21 2018,0.063123,0.064970,0.052870,0.054290,191,-
Mar 20 2018,0.052753,0.063535,0.050945,0.062856,65,-
Mar 19 2018,0.052187,0.076047,0.044761,0.052171,26721,-
Mar 18 2018,0.052736,0.052977,0.044808,0.052407,2679,-
Mar 17 2018,0.050251,0.056061,0.049067,0.052842,877,-
Mar 16 2018,0.056494,0.057879,0.050500,0.050739,580,-
Mar 15 2018,0.053674,0.057079,0.047479,0.056527,634,-
Mar 14 2018,0.065435,0.066934,0.052136,0.053698,434,-
Mar 13 2018,0.061815,0.067830,0.061465,0.065426,156,-
Mar 12 2018,0.065476,0.071825,0.059259,0.062172,488,-
Mar 11 2018,0.057586,0.066723,0.055625,0.065683,443,-
Mar 10 2018,0.088756,0.090594,0.047088,0.057785,3575,-
Mar 09 2018,0.077270,0.091033,0.072290,0.088768,30,-
Mar 08 2018,0.078640,0.082443,0.075352,0.077762,345,-
Mar 07 2018,0.089181,0.091478,0.051044,0.078752,3813,-
Mar 06 2018,0.099091,0.099091,0.087960,0.089297,162,-
Mar 05 2018,0.106039,0.110638,0.099269,0.099293,103,-
Mar 04 2018,0.097012,0.112325,0.092892,0.106101,186,-
Mar 03 2018,0.090882,0.112314,0.090882,0.097179,953,-
Mar 02 2018,0.093312,0.095238,0.089541,0.090988,233,-
Mar 01 2018,0.089480,0.094804,0.088210,0.093552,107,-
Feb 28 2018,0.089630,0.092729,0.087524,0.089348,287,-
Feb 27 2018,0.102216,0.119039,0.089540,0.089736,1999,-
Feb 26 2018,0.081747,0.103276,0.080176,0.101921,648,-
Feb 25 2018,0.078415,0.082569,0.076001,0.081643,913,-
Feb 24 2018,0.082627,0.085080,0.073459,0.078534,155,-
Feb 23 2018,0.081885,0.091088,0.079864,0.082732,220,-
Feb 22 2018,0.088825,0.094040,0.081469,0.081961,189,-
Feb 21 2018,0.086081,0.093672,0.081143,0.088915,392,-
Feb 20 2018,0.094139,0.097381,0.085267,0.086188,585,-
Feb 19 2018,0.078656,0.096438,0.078415,0.094054,374,-
Feb 18 2018,0.089497,0.104537,0.066436,0.079018,5564,-
Feb 17 2018,0.085739,0.093123,0.077307,0.089226,2926,-
Feb 16 2018,0.093833,0.097796,0.083747,0.085758,567,-
Feb 15 2018,0.083962,0.094334,0.081824,0.094231,411,-
Feb 14 2018,0.069112,0.084872,0.069112,0.083917,167,-
Feb 13 2018,0.086210,0.086602,0.068889,0.069318,3771,-
Feb 12 2018,0.072919,0.090420,0.072919,0.086053,672,-
Feb 11 2018,0.085204,0.092191,0.072458,0.072458,727,-
Feb 10 2018,0.096605,0.098669,0.071571,0.085285,2316,-
Feb 09 2018,0.077509,0.097218,0.072651,0.096534,633,-
Feb 08 2018,0.066760,0.083037,0.066760,0.077279,562,-
Feb 07 2018,0.065652,0.083241,0.060686,0.067025,1181,-
