Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.012726,0.013610,0.011825,0.011919,33174,-
Mar 30 2018,0.012334,0.013165,0.010696,0.012737,26824,-
Mar 29 2018,0.012865,0.013899,0.011912,0.012370,27642,-
Mar 28 2018,0.012917,0.013033,0.012402,0.012842,22416,-
Feb 10 2018,0.041322,0.042808,0.038902,0.039509,84,-
Feb 09 2018,0.038354,0.041421,0.036981,0.041337,88,-
Feb 08 2018,0.034163,0.040902,0.033346,0.038307,59944,-
Feb 07 2018,0.039939,0.046626,0.033797,0.033869,80596,-
Feb 06 2018,0.029999,0.041446,0.024618,0.040487,93642,-
Feb 05 2018,0.039195,0.042325,0.028697,0.029893,54354,-
Feb 04 2018,0.046143,0.047399,0.036504,0.039578,11347,-
Feb 03 2018,0.045288,0.047356,0.040765,0.046157,44906,-
Feb 02 2018,0.051177,0.051177,0.033744,0.045069,64227,-
Feb 01 2018,0.063681,0.067539,0.047631,0.051332,66484,-
Jan 31 2018,0.051959,0.065856,0.049753,0.063559,106405,-
Jan 30 2018,0.054622,0.062660,0.049137,0.051780,44914,-
Jan 29 2018,0.066980,0.068842,0.049670,0.056178,91270,-
Jan 28 2018,0.070316,0.073795,0.060805,0.067079,122963,-
Jan 27 2018,0.065477,0.075618,0.064464,0.069825,189705,-
Jan 26 2018,0.068008,0.068670,0.059100,0.065473,439547,-
Jan 25 2018,0.076777,0.077852,0.062479,0.068245,268806,-
Jan 24 2018,0.084529,0.087503,0.061656,0.076217,390723,-
Jan 23 2018,0.089922,0.092388,0.076456,0.084504,174414,-
Jan 22 2018,0.114758,0.116070,0.081453,0.090086,179262,-
Jan 21 2018,0.167977,0.168799,0.103351,0.114219,623876,-
Jan 20 2018,0.072533,0.167063,0.072533,0.166778,603054,-
Jan 19 2018,0.071685,0.075285,0.069030,0.072068,206940,-
Jan 18 2018,0.070170,0.077179,0.066209,0.072221,509892,-
Jan 17 2018,0.073146,0.076958,0.051654,0.069388,616106,-
Jan 16 2018,0.087183,0.087183,0.060624,0.074291,512422,-
