Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.129671,0.137584,0.125451,0.133619,1186,194506
Mar 30 2018,0.128442,0.135406,0.119321,0.129654,2037,192662
Mar 29 2018,0.152085,0.152448,0.124255,0.128794,2135,228127
Mar 28 2018,0.157300,0.158223,0.142634,0.151901,2653,235950
Mar 27 2018,0.161549,0.163874,0.150318,0.157379,3089,242324
Mar 26 2018,0.170611,0.174448,0.146090,0.161788,4233,255917
Mar 25 2018,0.170782,0.183064,0.166774,0.170748,4443,256173
Mar 24 2018,0.169146,0.200233,0.158379,0.173162,14548,253720
Mar 23 2018,0.162048,0.166740,0.153224,0.166740,2157,243072
Mar 22 2018,0.172108,0.172108,0.157588,0.168553,1048,258162
Mar 21 2018,0.179245,0.182626,0.169072,0.172387,9232,268867
Mar 20 2018,0.172133,0.185183,0.165149,0.178932,5288,258199
Mar 19 2018,0.170542,0.176072,0.165746,0.170237,8669,255813
Mar 18 2018,0.163222,0.171261,0.151849,0.171261,7680,244832
Mar 17 2018,0.175909,0.183144,0.161274,0.163618,2476,263864
Mar 16 2018,0.189836,0.191064,0.170546,0.175620,9178,284754
Mar 15 2018,0.170197,0.197106,0.159577,0.189943,21519,255295
Mar 14 2018,0.178495,0.196214,0.166081,0.170271,4872,267742
Mar 13 2018,0.192168,0.202756,0.167755,0.178470,6377,288252
Mar 12 2018,0.218558,0.231368,0.184169,0.193256,11768,327837
Mar 11 2018,0.192038,0.231100,0.184380,0.219247,60665,288057
Mar 10 2018,0.196507,0.221405,0.188521,0.192699,6003,294760
Mar 09 2018,0.208872,0.211227,0.171312,0.196423,22969,313308
Mar 08 2018,0.199801,0.214980,0.192035,0.210100,5267,299702
Mar 07 2018,0.210477,0.223474,0.181471,0.200088,4285,315716
Mar 06 2018,0.242139,0.242139,0.201420,0.210320,8154,363208
Mar 05 2018,0.249040,0.254765,0.233379,0.242805,6374,373560
Mar 04 2018,0.241982,0.256197,0.234258,0.249218,4752,362973
Mar 03 2018,0.238888,0.263545,0.232128,0.242389,5589,358333
Mar 02 2018,0.245511,0.265328,0.230095,0.239401,11756,368267
Mar 01 2018,0.216700,0.267821,0.203910,0.245731,15764,325050
Feb 28 2018,0.286956,0.294024,0.216279,0.216377,21196,430434
Feb 27 2018,0.281179,0.309842,0.269139,0.287294,15191,421769
Feb 26 2018,0.246913,0.314542,0.243569,0.280372,9969,370369
Feb 25 2018,0.276735,0.276735,0.229784,0.246586,17562,415102
Feb 24 2018,0.294437,0.321527,0.254438,0.277251,14547,441656
Feb 23 2018,0.270966,0.316141,0.240548,0.301118,11141,406449
Feb 22 2018,0.308280,0.323252,0.253187,0.271233,16096,462420
Feb 21 2018,0.321295,0.331567,0.242945,0.308665,30648,481943
Feb 20 2018,0.342021,0.356292,0.317374,0.321707,19063,513032
Feb 19 2018,0.334210,0.364453,0.320073,0.341868,24158,501315
Feb 18 2018,0.369666,0.392744,0.335239,0.336244,21177,554499
Feb 17 2018,0.368783,0.394922,0.356812,0.368750,16839,553174
Feb 16 2018,0.357120,0.383565,0.329013,0.360794,12873,535680
Feb 15 2018,0.334102,0.364646,0.301976,0.358649,19510,501153
Feb 14 2018,0.309205,0.334671,0.302453,0.324774,27792,463808
Feb 13 2018,0.378744,0.378837,0.285875,0.310129,23905,568116
Feb 12 2018,0.314267,0.368561,0.304093,0.359948,20980,471401
Feb 11 2018,0.346791,0.349856,0.301734,0.301734,16664,520187
Feb 10 2018,0.354395,0.383617,0.330004,0.347016,19585,531592
Feb 09 2018,0.340001,0.381887,0.317535,0.354183,25435,510002
Feb 08 2018,0.349305,0.375962,0.316292,0.339029,21004,523957
