Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.998806,1.09,0.998806,1.03,2107680,16480300
Mar 30 2018,1.04,1.05,0.964929,0.999848,2449350,17170200
Mar 29 2018,1.23,1.23,1.02,1.05,2528920,20310800
Mar 28 2018,1.23,1.29,1.23,1.23,3009340,20371200
Mar 27 2018,1.32,1.33,1.23,1.24,2584650,21807900
Mar 26 2018,1.25,1.46,1.24,1.33,7850060,20678500
Mar 25 2018,1.25,1.36,1.23,1.26,3114030,20596000
Mar 24 2018,1.25,1.33,1.24,1.26,3291560,20694100
Mar 23 2018,1.30,1.35,1.21,1.24,3419420,21530100
Mar 22 2018,1.35,1.41,1.26,1.31,2669490,22277500
Mar 21 2018,1.31,1.42,1.31,1.35,3203070,21558300
Mar 20 2018,1.34,1.37,1.26,1.31,3826600,22045500
Mar 19 2018,1.24,1.39,1.23,1.32,2862500,20531900
Mar 18 2018,1.23,1.26,1.11,1.25,3472220,20332100
Mar 17 2018,1.35,1.35,1.21,1.23,2372370,22211900
Mar 16 2018,1.31,1.40,1.28,1.35,2618440,21597100
Mar 15 2018,1.38,1.41,1.30,1.31,3078950,22813800
Mar 14 2018,1.59,1.63,1.34,1.37,3172210,26221200
Mar 13 2018,1.61,1.75,1.56,1.58,2910580,26541700
Mar 12 2018,1.71,1.74,1.56,1.60,2491700,28275900
Mar 11 2018,1.60,1.73,1.55,1.72,1703000,26375500
Mar 10 2018,1.66,1.80,1.58,1.60,1805560,27464000
Mar 09 2018,1.66,1.68,1.45,1.67,2044210,27369700
Mar 08 2018,1.73,1.87,1.65,1.66,1841520,28516100
Mar 07 2018,1.93,1.99,1.61,1.73,1989160,31836700
Mar 06 2018,2.12,2.12,1.92,1.93,2446320,35006100
Mar 05 2018,2.18,2.23,2.12,2.12,2602370,36030000
Mar 04 2018,2.24,2.29,2.17,2.17,3018990,36939500
Mar 03 2018,2.32,2.35,2.21,2.24,2233430,38240000
Mar 02 2018,2.27,2.34,2.24,2.32,2540060,37519700
Mar 01 2018,2.25,2.42,2.22,2.28,3083130,37070200
Feb 28 2018,2.54,2.63,2.25,2.25,3491980,41837800
Feb 27 2018,2.40,2.69,2.37,2.54,5932080,39628700
Feb 26 2018,2.27,2.50,2.16,2.39,6554040,37426900
Feb 25 2018,2.13,2.52,2.11,2.27,6664720,35218100
Feb 24 2018,2.22,2.27,2.03,2.13,2754480,36660600
Feb 23 2018,2.13,2.29,2.01,2.23,3235910,35147900
Feb 22 2018,2.19,2.38,1.98,2.15,3983580,36085500
Feb 21 2018,2.41,2.51,2.15,2.19,4800470,39824800
Feb 20 2018,2.88,3.17,2.35,2.44,19171200,47581900
Feb 19 2018,2.20,2.92,2.18,2.86,18891300,36348400
Feb 18 2018,2.07,2.48,1.90,2.21,8998550,34150100
Feb 17 2018,2.05,2.09,2.02,2.07,2340540,33779300
Feb 16 2018,1.95,2.05,1.89,2.04,2351990,32151200
Feb 15 2018,1.93,2.05,1.92,1.96,2515840,31850200
Feb 14 2018,1.73,2.06,1.73,1.93,3328260,28620600
Feb 13 2018,1.75,1.96,1.68,1.73,3499270,28940700
Feb 12 2018,1.65,1.80,1.65,1.75,2643110,27250200
Feb 11 2018,1.76,1.76,1.60,1.64,2995090,29070500
Feb 10 2018,1.97,2.05,1.66,1.77,4337240,32548900
Feb 09 2018,1.78,2.03,1.69,1.97,3568520,29295700
Feb 08 2018,1.68,1.94,1.68,1.78,4256640,27790300
Feb 07 2018,1.85,2.02,1.62,1.69,4555220,30604900
Feb 06 2018,1.57,1.85,1.22,1.85,4038510,25930000
Feb 05 2018,2.08,2.11,1.50,1.57,3317000,34303600
Feb 04 2018,2.50,2.51,2.00,2.10,4213350,41279500
Feb 03 2018,2.25,2.60,2.10,2.51,5256040,37086600
Feb 02 2018,2.44,2.44,1.80,2.24,3563960,40240000
Feb 01 2018,2.93,3.07,2.26,2.42,7692980,48397300
Jan 31 2018,3.06,3.11,2.78,2.93,8986570,50478900
Jan 30 2018,3.72,3.73,3.01,3.09,3304570,61371700
Jan 29 2018,3.89,3.95,3.64,3.71,3328140,64202200
Jan 28 2018,3.78,4.05,3.75,3.90,5587700,62378200
Jan 27 2018,3.75,3.89,3.57,3.73,3874110,61829200
Jan 26 2018,3.68,3.89,3.33,3.73,3819530,60750500
Jan 25 2018,3.82,3.96,3.57,3.67,4597530,63068300
Jan 24 2018,3.84,4.05,3.73,3.79,5678260,63437800
Jan 23 2018,3.49,4.17,3.44,3.85,8575060,57617000
Jan 22 2018,3.82,3.98,3.27,3.50,4216200,62968500
Jan 21 2018,4.42,4.48,3.71,3.80,3896710,72915200
Jan 20 2018,4.44,4.53,4.31,4.43,4652250,73277000
Jan 19 2018,4.32,5.11,4.16,4.46,12323800,71211500
Jan 18 2018,3.44,5.00,3.35,4.31,13061100,56768700
Jan 17 2018,3.22,3.45,2.25,3.39,4280690,53200000
Jan 16 2018,4.32,4.32,2.87,3.25,5018670,71240000
Jan 15 2018,4.72,4.99,4.26,4.29,4042500,77868300
Jan 14 2018,5.26,5.54,4.55,4.78,7992870,86836900
Jan 13 2018,4.16,5.98,4.13,5.25,20617800,68627800
Jan 12 2018,4.15,4.48,3.97,4.19,2969290,68516800
Jan 11 2018,4.90,5.03,3.76,4.14,6105560,80916400
Jan 10 2018,5.22,5.34,4.61,4.95,7062690,86162600
Jan 09 2018,5.40,5.80,5.19,5.24,10479800,89097600
Jan 08 2018,5.98,6.42,4.38,5.42,12978100,98664500
Jan 07 2018,5.46,7.36,4.89,6.06,27633100,90112400
Jan 06 2018,3.25,6.09,3.25,5.55,28722900,53674900
Jan 05 2018,3.81,4.13,3.10,3.23,8898010,62797800
Jan 04 2018,3.38,4.48,3.09,3.80,22252300,55810900
Jan 03 2018,2.06,3.23,2.03,3.21,11317900,34060100
Jan 02 2018,2.08,2.18,1.96,2.05,3676560,34366900
Jan 01 2018,1.99,2.09,1.80,2.06,2497130,32851800
Dec 31 2017,1.72,2.07,1.72,1.98,3172530,28398800
Dec 30 2017,2.00,2.05,1.63,1.75,2630110,32942400
Dec 29 2017,1.82,2.21,1.74,2.01,3605820,30044500
Dec 28 2017,1.92,2.04,1.69,1.82,2310100,31735400
Dec 27 2017,1.91,2.07,1.80,1.92,1951190,31528900
Dec 26 2017,1.88,2.15,1.84,1.89,2918600,31078300
Dec 25 2017,2.15,2.17,1.88,1.89,3172130,35523900
Dec 24 2017,2.15,2.55,1.83,2.15,9056070,35417000
Dec 23 2017,1.45,2.91,1.45,2.15,8382950,23900100
Dec 22 2017,1.75,1.78,1.17,1.43,1827950,28954500
Dec 21 2017,1.55,1.92,1.55,1.75,3210950,25566000
Dec 20 2017,1.67,1.70,1.49,1.55,2474980,27629100
Dec 19 2017,1.79,1.99,1.63,1.67,4855270,29562700
Dec 18 2017,1.61,1.79,1.54,1.78,4876570,26487700
Dec 17 2017,1.45,1.73,1.42,1.61,5045800,23892700
Dec 16 2017,1.49,1.55,1.35,1.44,3255260,24580100
Dec 15 2017,1.29,1.79,1.22,1.47,6952120,21324800
Dec 14 2017,1.20,1.33,1.16,1.29,3003890,19726200
Dec 13 2017,1.20,1.23,1.14,1.20,1580240,19767800
Dec 12 2017,1.27,1.28,1.16,1.20,2103080,20975200
Dec 11 2017,1.15,1.33,1.06,1.28,3121760,18930800
Dec 10 2017,1.18,1.20,0.997290,1.14,2216230,19410200
Dec 09 2017,1.23,1.25,1.07,1.18,3087640,20373100
Dec 08 2017,1.16,1.31,1.07,1.24,2549170,19087900
Dec 07 2017,1.19,1.21,1.10,1.15,2841610,19612100
Dec 06 2017,1.34,1.37,1.14,1.18,3251570,22069300
Dec 05 2017,1.35,1.37,1.23,1.33,3907990,22296600
Dec 04 2017,1.32,1.39,1.25,1.35,2569170,21792400
Dec 03 2017,1.45,1.45,1.13,1.34,2701580,23846800
Dec 02 2017,1.49,1.49,1.36,1.44,2365240,24585700
Dec 01 2017,1.29,1.52,1.28,1.49,3192080,21285200
Nov 30 2017,1.32,1.41,1.20,1.30,2100190,21796500
Nov 29 2017,1.46,1.58,1.23,1.31,3044710,24063000
Nov 28 2017,1.43,1.51,1.36,1.46,3165550,23589600
