Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.036212,0.040792,0.035270,0.039432,218,118270
Mar 30 2018,0.035548,0.039455,0.034325,0.036206,21,116082
Mar 29 2018,0.039726,0.043065,0.034561,0.035637,52,129699
Mar 28 2018,0.038936,0.042439,0.038720,0.039679,16,127096
Mar 27 2018,0.042296,0.042431,0.038895,0.038945,636,138034
Mar 26 2018,0.045511,0.045761,0.040148,0.042360,133,148498
Mar 25 2018,0.045930,0.046852,0.045212,0.045546,16,149827
Mar 24 2018,0.049110,0.049652,0.046571,0.046571,175,160167
Mar 23 2018,0.046531,0.048406,0.044905,0.048406,133,151725
Mar 22 2018,0.045010,0.046748,0.043457,0.046532,52,146732
Mar 21 2018,0.045859,0.047254,0.044457,0.045092,1978,149335
Mar 20 2018,0.044965,0.046876,0.042457,0.045776,387,146423
Mar 19 2018,0.042034,0.046253,0.041776,0.044469,133,136880
Mar 18 2018,0.040143,0.042571,0.037202,0.042212,163,130720
Mar 17 2018,0.043232,0.043232,0.039443,0.040240,62,140780
Mar 16 2018,0.045930,0.046212,0.042104,0.043161,88,149565
Mar 15 2018,0.042685,0.047552,0.041766,0.045956,301,138998
Mar 14 2018,0.051983,0.053951,0.041604,0.042704,411,169276
Mar 13 2018,0.053349,0.054130,0.048017,0.051976,299,173722
Mar 12 2018,0.066446,0.067645,0.051649,0.053657,449,216362
Mar 11 2018,0.051873,0.097469,0.050097,0.066656,8132,168896
Mar 10 2018,0.051415,0.060541,0.050945,0.052052,441,167387
Mar 09 2018,0.059243,0.059941,0.049731,0.051393,89,192845
Mar 08 2018,0.053149,0.064183,0.051388,0.059620,56,172989
Mar 07 2018,0.064268,0.068072,0.050271,0.053225,105,209137
Mar 06 2018,0.067401,0.068647,0.063596,0.064351,47,219307
Mar 05 2018,0.070448,0.075642,0.067486,0.067588,60,229199
Mar 04 2018,0.068935,0.078933,0.067746,0.070499,49,224239
Mar 03 2018,0.067315,0.074027,0.066529,0.069054,110,218907
Mar 02 2018,0.063059,0.068242,0.063059,0.067397,61,205051
Mar 01 2018,0.058236,0.068361,0.057185,0.063221,1338,189337
Feb 28 2018,0.071797,0.075466,0.057771,0.058424,651,233407
Feb 27 2018,0.066049,0.084741,0.065153,0.071882,738,214668
Feb 26 2018,0.060871,0.070681,0.058330,0.065859,408,197798
Feb 25 2018,0.063218,0.065399,0.059248,0.060793,236,205400
Feb 24 2018,0.065524,0.070720,0.061265,0.063314,338,212830
Feb 23 2018,0.061172,0.067320,0.059662,0.065769,248,198670
Feb 22 2018,0.069348,0.070885,0.046685,0.061198,3243,225204
Feb 21 2018,0.077030,0.077456,0.068894,0.069418,464,250129
Feb 20 2018,0.080602,0.086070,0.076301,0.077126,801,259550
Feb 19 2018,0.109658,0.111545,0.072622,0.080529,3940,353105
Feb 18 2018,0.071992,0.220676,0.066938,0.110165,4368,231797
Feb 17 2018,0.068560,0.075415,0.067678,0.071772,806,220732
Feb 16 2018,0.067142,0.074138,0.064410,0.068575,170,216158
Feb 15 2018,0.065817,0.069637,0.062104,0.067430,1248,211870
Feb 14 2018,0.065704,0.066904,0.053252,0.065781,2356,211482
Feb 13 2018,0.067821,0.068787,0.052441,0.065901,2047,218263
Feb 12 2018,0.058609,0.095772,0.058609,0.067698,2279,188597
Feb 11 2018,0.069807,0.069807,0.057249,0.058238,266,224601
Feb 10 2018,0.072657,0.074985,0.067226,0.070137,140,233742
Feb 09 2018,0.070828,0.088654,0.066589,0.072604,275,227820
Feb 08 2018,0.067949,0.082427,0.060940,0.070611,383,218527
Feb 07 2018,0.084791,0.088853,0.060476,0.068221,1325,272656
Feb 06 2018,0.046261,0.086438,0.038925,0.085648,4295,148746
Feb 05 2018,0.058806,0.060520,0.044333,0.046203,152,189053
Feb 04 2018,0.067058,0.071796,0.056742,0.059382,1128,215551
Feb 03 2018,0.075075,0.075075,0.060067,0.067023,1178,241290
Feb 02 2018,0.074093,0.104850,0.059789,0.074819,3724,238102
Feb 01 2018,0.089987,0.090405,0.058548,0.074246,2548,289144
Jan 31 2018,0.093221,0.104045,0.088814,0.089778,1768,299492
Jan 30 2018,0.110992,0.111250,0.091158,0.093078,4577,356541
Jan 29 2018,0.108429,0.204656,0.102691,0.109400,2061,348271
Jan 28 2018,0.114509,0.128302,0.104228,0.108532,5255,367778
Jan 27 2018,0.116344,0.127250,0.109583,0.113927,1425,373633
Jan 26 2018,0.114807,0.125234,0.102032,0.116421,2635,368694
Jan 25 2018,0.120261,0.123052,0.104938,0.115113,3681,386176
Jan 24 2018,0.121809,0.141180,0.105295,0.118315,15019,391095
Jan 23 2018,0.178668,0.179684,0.112148,0.121877,9022,573592
Jan 22 2018,0.278551,0.285153,0.107162,0.173714,23908,894188
Jan 21 2018,0.191739,0.288506,0.127001,0.274795,82784,615417
Jan 20 2018,0.243631,0.270572,0.141884,0.191291,28604,781861
Jan 19 2018,0.243784,0.345818,0.217548,0.218544,69790,782235
Jan 18 2018,0.116407,0.531559,0.100440,0.246362,157393,373449
Jan 17 2018,0.143568,0.147234,0.087951,0.115959,1658,460524
Jan 16 2018,0.201360,0.201360,0.130358,0.144166,1668,645815
Jan 15 2018,0.174913,0.207265,0.164994,0.201873,9753,557882
Jan 14 2018,0.232798,0.246993,0.153210,0.176191,17456,742427
Jan 13 2018,0.175424,0.289949,0.169363,0.232462,15576,559384
Jan 12 2018,0.148800,0.176607,0.132978,0.169305,5223,474433
Jan 11 2018,0.153207,0.177777,0.129975,0.147824,6778,488403
Jan 10 2018,0.138773,0.153398,0.130100,0.153398,3313,442317
Jan 09 2018,0.149940,0.154655,0.136241,0.138606,3641,477845
Jan 08 2018,0.152172,0.153202,0.127546,0.150349,2996,484890
Jan 07 2018,0.112307,0.155223,0.101273,0.152385,2633,357800
Jan 06 2018,0.097805,0.128919,0.093479,0.112389,365,311549
Jan 05 2018,0.104265,0.125972,0.095304,0.097727,1138,332092
Jan 04 2018,0.085964,0.110741,0.085679,0.104244,1033,273759
Jan 03 2018,0.099232,0.104994,0.075514,0.085560,375,315971
Jan 02 2018,0.072314,0.100145,0.072314,0.099585,618,230221
Jan 01 2018,0.065140,0.083409,0.055911,0.072359,121,207343
Dec 31 2017,0.060380,0.081262,0.059780,0.065054,151,192145
Dec 30 2017,0.067037,0.082464,0.058694,0.061037,70,213296
Dec 29 2017,0.088166,0.091128,0.057331,0.067204,229,280471
Dec 28 2017,0.065033,0.090996,0.059385,0.087446,409,206849
Dec 27 2017,0.069003,0.078475,0.062114,0.065170,70,219425
Dec 26 2017,0.066505,0.093434,0.054964,0.068910,168,211439
Dec 25 2017,0.079227,0.079536,0.065163,0.066560,56,251840
Dec 24 2017,0.068694,0.100475,0.066570,0.078992,146,218321
Dec 23 2017,0.020542,0.101299,0.020542,0.067953,407,65273
Dec 22 2017,0.093718,0.098930,0.020343,0.020343,306,297768
Dec 21 2017,0.108115,0.108200,0.076566,0.093401,591,343463
Dec 20 2017,0.105695,0.111893,0.075087,0.107848,818,335725
Dec 19 2017,0.110531,0.163007,0.093591,0.105792,1136,351023
Dec 18 2017,0.095941,0.121077,0.091652,0.110499,933,304626
Dec 17 2017,0.128945,0.128945,0.086934,0.095656,411,409339
Dec 16 2017,0.123347,0.129925,0.089356,0.127344,362,391504
Dec 15 2017,0.123167,0.132661,0.100382,0.123178,769,390870
Dec 14 2017,0.099530,0.123192,0.087940,0.122982,374,315819
Dec 13 2017,0.100684,0.131560,0.099142,0.099847,1768,319431
Dec 12 2017,0.151554,0.153164,0.100221,0.100553,386,480704
Dec 11 2017,0.081204,0.157072,0.080900,0.151064,1969,257521
Dec 10 2017,0.102844,0.107528,0.075340,0.081878,146,326093
Dec 09 2017,0.089414,0.113229,0.074178,0.102429,377,283461
Dec 08 2017,0.087416,0.119137,0.071941,0.089381,1080,277072
Dec 07 2017,0.092021,0.187562,0.078112,0.087216,1163,291612
Dec 06 2017,0.079331,0.092303,0.079331,0.092179,74,251356
