Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,5.44,5.88,5.29,5.60,311348,10877700
Mar 30 2018,5.32,5.98,5.18,5.44,380262,10637500
Mar 29 2018,5.77,5.90,5.36,5.36,527120,11532800
Mar 28 2018,5.84,6.13,5.65,5.77,289086,11678800
Mar 27 2018,5.90,6.20,5.79,5.84,400891,11799500
Mar 26 2018,6.25,6.42,5.83,5.90,405654,12499300
Mar 25 2018,6.34,6.47,6.11,6.25,254729,12683700
Mar 24 2018,6.34,6.60,6.33,6.36,276333,12678900
Mar 23 2018,6.01,6.53,6.00,6.33,276387,12020200
Mar 22 2018,6.51,6.83,6.01,6.01,239994,13018700
Mar 21 2018,6.33,7.52,6.31,6.51,919696,12650400
Mar 20 2018,5.93,6.62,5.91,6.33,511145,11861000
Mar 19 2018,5.49,6.42,5.49,5.92,752793,10979400
Mar 18 2018,5.56,5.89,5.37,5.51,379398,11113000
Mar 17 2018,5.61,6.10,5.53,5.56,216513,11225000
Mar 16 2018,5.96,6.11,5.61,5.61,280178,11925900
Mar 15 2018,5.83,6.28,5.48,5.96,396297,11667100
Mar 14 2018,6.21,6.37,5.83,5.84,323357,12428300
Mar 13 2018,6.33,6.49,6.18,6.21,199581,12668700
Mar 12 2018,6.32,6.93,6.32,6.34,430470,12648900
Mar 11 2018,6.14,6.54,6.09,6.32,284994,12280700
Mar 10 2018,6.50,6.87,6.13,6.15,185511,13001700
Mar 09 2018,6.47,6.52,5.92,6.50,1378930,12944900
Mar 08 2018,6.86,6.99,6.30,6.47,401012,13710900
Mar 07 2018,7.37,7.56,6.64,6.86,556115,14732200
Mar 06 2018,7.22,7.87,7.21,7.37,1437400,14449700
Mar 05 2018,7.09,7.70,6.96,7.23,599988,14173800
Mar 04 2018,6.46,8.96,6.41,7.09,3729640,12910600
Mar 03 2018,6.48,6.99,6.32,6.46,356996,12963200
Mar 02 2018,6.70,6.93,6.37,6.37,344437,13407100
Mar 01 2018,6.79,7.13,6.37,6.71,439445,13570600
Feb 28 2018,7.13,7.33,6.78,6.78,475110,14262500
Feb 27 2018,6.37,7.72,6.37,7.01,1349950,12733200
Feb 26 2018,6.19,7.20,6.19,6.36,1315750,12377900
Feb 25 2018,6.21,6.70,6.09,6.19,461855,12417500
Feb 24 2018,7.18,7.21,6.21,6.21,1303530,14356100
Feb 23 2018,6.25,9.05,6.11,7.15,2947970,12493400
Feb 22 2018,6.25,6.52,6.06,6.25,598153,12504700
Feb 21 2018,6.30,6.69,6.17,6.25,765590,12591800
Feb 20 2018,6.54,6.94,6.32,6.32,387575,13088400
Feb 19 2018,6.62,7.07,6.54,6.54,665572,13246200
Feb 18 2018,6.75,6.98,6.44,6.63,535024,13498400
Feb 17 2018,6.82,7.11,6.67,6.75,450797,13635800
Feb 16 2018,7.20,7.51,6.82,6.82,639246,14399700
Feb 15 2018,7.39,7.59,7.15,7.21,633694,14788100
Feb 14 2018,7.02,7.47,6.88,7.39,1265030,14041800
Feb 13 2018,7.03,7.18,6.64,7.03,677484,14054200
Feb 12 2018,7.03,7.38,6.85,7.02,624070,14059800
Feb 11 2018,6.71,7.45,6.62,7.02,706453,13424200
Feb 10 2018,6.90,7.21,6.52,6.71,443663,13793900
Feb 09 2018,6.58,7.11,6.32,6.95,422533,13150200
Feb 08 2018,6.38,7.15,6.34,6.57,783834,12763900
Feb 07 2018,6.90,7.53,6.39,6.39,466969,13802100
Feb 06 2018,6.92,7.40,6.07,6.93,734147,13849500
Feb 05 2018,8.40,8.93,6.81,6.81,748843,16800100
Feb 04 2018,8.69,10.11,8.44,8.44,2005290,17379000
Feb 03 2018,7.20,8.49,7.15,8.49,741082,14403700
Feb 02 2018,7.20,7.99,6.65,7.19,831587,14390800
Feb 01 2018,7.43,7.91,6.97,7.20,542395,14861200
Jan 31 2018,7.66,8.12,7.39,7.43,206062,15322400
Jan 30 2018,8.78,8.79,7.64,7.66,327963,17558500
Jan 29 2018,9.10,9.17,8.53,8.78,307852,18198200
Jan 28 2018,8.31,9.25,8.14,9.10,492029,16610400
Jan 27 2018,8.18,8.37,8.18,8.30,511106,16369300
Jan 26 2018,8.62,8.80,8.09,8.19,266106,17238100
Jan 25 2018,9.22,9.22,8.56,8.63,567214,18438300
Jan 24 2018,8.22,9.54,8.16,9.20,1118950,16445200
Jan 23 2018,8.23,8.52,8.03,8.22,466804,16454000
Jan 22 2018,8.62,8.66,7.93,8.23,526369,17237500
Jan 21 2018,9.40,9.54,8.36,8.55,829487,18806400
Jan 20 2018,8.30,9.67,8.30,9.41,1289340,16593500
Jan 19 2018,6.62,8.99,6.03,8.27,1540420,13248000
Jan 18 2018,6.93,7.49,6.34,6.65,1315890,13869900
Jan 17 2018,7.34,7.86,6.31,6.93,875759,14676600
Jan 16 2018,9.42,9.42,6.66,7.21,628945,18842500
Jan 15 2018,10.37,10.64,9.47,9.47,508292,20732400
Jan 14 2018,10.29,10.49,10.08,10.39,750542,20581300
