Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.791607,0.854945,0.777967,0.851833,16928,3576430
Mar 30 2018,0.811003,0.821307,0.746310,0.791487,23398,3662950
Mar 29 2018,0.938237,0.940637,0.790141,0.813025,34788,4236340
Mar 28 2018,0.957191,1.01,0.932584,0.937140,51663,4320630
Mar 27 2018,0.983637,1.04,0.924746,0.979024,115859,4438660
Mar 26 2018,1.05,1.08,0.950606,0.985128,70704,4742770
Mar 25 2018,1.06,1.14,1.01,1.05,412940,4766880
Mar 24 2018,1.07,1.11,1.04,1.07,84179,4824220
Mar 23 2018,1.09,1.11,1.03,1.05,47820,4932270
Mar 22 2018,1.15,1.21,1.07,1.09,124054,5189520
Mar 21 2018,1.10,1.21,1.10,1.15,200003,4953230
Mar 20 2018,1.08,1.13,1.01,1.10,59043,4876130
Mar 19 2018,1.05,1.13,1.00,1.07,198592,4730280
Mar 18 2018,1.05,1.07,0.864080,1.06,138380,4723720
Mar 17 2018,1.11,1.13,1.03,1.05,50962,5012250
Mar 16 2018,1.14,1.19,1.09,1.11,102258,5133070
Mar 15 2018,1.15,1.17,0.954167,1.16,163333,5190170
Mar 14 2018,1.27,1.43,1.12,1.15,811020,5705680
Mar 13 2018,1.27,1.35,1.20,1.26,203682,5697930
Mar 12 2018,1.33,1.35,1.21,1.27,200096,5967880
Mar 11 2018,1.23,1.37,1.18,1.35,350352,5527280
Mar 10 2018,1.37,1.38,1.22,1.24,603780,6131740
Mar 09 2018,1.27,1.58,1.12,1.36,4980630,5691560
Mar 08 2018,1.32,1.40,1.23,1.36,449719,5923340
Mar 07 2018,1.43,1.63,1.23,1.32,2903900,6393220
Mar 06 2018,1.57,1.57,1.38,1.40,183978,7029320
Mar 05 2018,1.55,1.59,1.48,1.57,331194,6932100
Mar 04 2018,1.60,1.60,1.43,1.59,524988,7153120
Mar 03 2018,1.56,1.66,1.44,1.53,1100000,6982300
Mar 02 2018,1.45,1.62,1.29,1.56,3949610,6482490
Mar 01 2018,1.15,2.10,1.13,1.48,21402200,5131570
Feb 28 2018,1.19,1.37,1.14,1.14,376962,5316850
Feb 27 2018,1.20,1.27,1.17,1.20,76470,5367380
Feb 26 2018,1.20,1.28,1.17,1.20,89247,5379260
Feb 25 2018,1.22,1.25,1.16,1.20,37024,5471370
Feb 24 2018,1.26,1.38,1.19,1.23,46817,5624010
Feb 23 2018,1.24,1.30,1.20,1.26,25658,5533340
Feb 22 2018,1.34,1.44,1.21,1.24,101749,5983320
Feb 21 2018,1.31,1.41,1.26,1.34,98499,5835950
Feb 20 2018,1.41,1.56,1.29,1.34,229102,6315320
Feb 19 2018,1.37,1.50,1.31,1.41,261785,6116580
Feb 18 2018,1.55,1.76,1.32,1.38,2640530,6934420
Feb 17 2018,1.34,1.46,1.34,1.41,106414,5973240
Feb 16 2018,1.49,1.49,1.29,1.34,290555,6638080
Feb 15 2018,1.45,1.50,1.39,1.48,80489,6480940
Feb 14 2018,1.29,1.49,1.29,1.45,94593,5745700
Feb 13 2018,1.34,1.43,1.25,1.29,338161,5965180
Feb 12 2018,1.18,1.53,1.18,1.35,2025830,5235950
Feb 11 2018,1.25,1.32,1.12,1.17,300103,5560100
Feb 10 2018,1.30,1.38,1.20,1.25,72363,5772350
Feb 09 2018,1.27,1.35,1.14,1.35,211010,5634540
Feb 08 2018,1.07,1.40,1.07,1.26,771094,4747040
Feb 07 2018,1.03,1.40,1.01,1.09,1486930,4594510
Feb 06 2018,0.871993,1.05,0.696112,1.04,62740,3876470
Feb 05 2018,1.20,1.38,0.858611,0.870851,327983,5315250
Feb 04 2018,1.42,1.44,1.13,1.21,63858,6330330
Feb 03 2018,1.36,1.52,1.18,1.42,165572,6047120
Feb 02 2018,1.50,1.50,1.03,1.36,138197,6674420
Feb 01 2018,1.76,1.77,1.33,1.51,86769,7832620
Jan 31 2018,1.80,1.81,1.67,1.76,70163,7995270
Jan 30 2018,2.12,2.14,1.79,1.80,68716,9390200
Jan 29 2018,2.20,2.25,2.03,2.12,288524,9776430
Jan 28 2018,2.22,2.26,2.14,2.19,217867,9834790
Jan 27 2018,2.21,2.32,2.02,2.23,452226,9790440
Jan 26 2018,2.07,2.49,1.93,2.21,2696110,9167610
Jan 25 2018,2.09,2.25,1.99,2.07,456587,9255900
