Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.661952,0.685507,0.601428,0.621177,1023380,7612450
Mar 30 2018,0.571327,0.677843,0.547569,0.664907,1153560,6570260
Mar 29 2018,0.676760,0.964024,0.557020,0.563541,598491,7782740
Mar 28 2018,0.634517,0.716533,0.629958,0.675784,587298,7296940
Mar 27 2018,0.756646,0.759138,0.633339,0.634463,858834,8701430
Mar 26 2018,0.842754,0.848893,0.690171,0.758366,1331220,9691680
Mar 25 2018,0.843355,0.879260,0.808477,0.844772,754595,9698580
Mar 24 2018,0.856741,0.919965,0.849420,0.855423,1297030,9852520
Mar 23 2018,0.920193,0.933814,0.819599,0.838804,997849,10582200
Mar 22 2018,0.986154,0.995591,0.887874,0.920352,698223,11340800
Mar 21 2018,1.00,1.09,0.953324,0.985655,872493,11524900
Mar 20 2018,1.09,1.11,0.929797,1.00,267042,12588100
Mar 19 2018,0.998432,1.17,0.920362,1.08,433727,11482000
Mar 18 2018,1.02,1.22,0.905837,1.02,984169,11689300
Mar 17 2018,1.14,1.14,1.00,1.04,1237060,13147700
Mar 16 2018,1.33,1.33,1.09,1.14,1241870,15332300
Mar 15 2018,1.03,1.34,0.950167,1.33,874447,11858000
Mar 14 2018,1.12,1.15,0.938946,1.04,1660790,12908400
Mar 13 2018,1.13,1.16,1.11,1.12,1663980,12957100
Mar 12 2018,1.21,1.29,1.10,1.13,1952390,-
Mar 11 2018,1.12,1.23,1.09,1.22,1900890,-
Mar 10 2018,1.18,1.26,1.10,1.12,1574810,-
Mar 09 2018,1.23,1.24,1.05,1.12,1795330,-
Mar 08 2018,1.20,1.38,1.05,1.24,1294480,-
Mar 07 2018,1.53,1.54,1.18,1.32,90581,-
Mar 06 2018,1.62,1.68,1.39,1.53,235359,-
