Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000752,0.000785,0.000603,0.000719,27,-
Mar 30 2018,0.000779,0.000864,0.000686,0.000752,101,-
Mar 29 2018,0.000874,0.000949,0.000689,0.000781,124,-
Mar 28 2018,0.000678,0.001132,0.000672,0.000873,1098,-
Mar 27 2018,0.001406,0.001415,0.000676,0.000678,3,-
Mar 26 2018,0.001350,0.001475,0.001264,0.001407,108,-
Mar 25 2018,0.001360,0.001813,0.001340,0.001351,75,-
Mar 24 2018,0.001684,0.001791,0.001379,0.001379,74,-
Mar 23 2018,0.001190,0.001661,0.001138,0.001661,29,-
Mar 22 2018,0.001372,0.001399,0.000834,0.001190,260,-
Mar 21 2018,0.001158,0.002114,0.000802,0.001374,547,-
Mar 20 2018,0.001552,0.001622,0.001153,0.001155,51,-
Mar 19 2018,0.002123,0.002195,0.001496,0.001535,653,-
Mar 18 2018,0.002366,0.002366,0.001803,0.002132,1,-
Mar 17 2018,0.001407,0.002412,0.001354,0.002372,188,-
Mar 16 2018,0.001404,0.001451,0.001267,0.001405,39,-
Mar 15 2018,0.001424,0.001490,0.001343,0.001405,7,-
Mar 14 2018,0.001667,0.001688,0.001378,0.001424,125,-
Mar 13 2018,0.001726,0.001779,0.001688,0.001743,179,-
Mar 12 2018,0.002314,0.002498,0.001713,0.001733,271,-
Mar 11 2018,0.002713,0.002713,0.002150,0.002321,26,-
Mar 10 2018,0.002900,0.003032,0.002324,0.002723,419,-
Mar 09 2018,0.002773,0.002907,0.002164,0.002899,220,-
Mar 08 2018,0.003099,0.003170,0.002764,0.002790,48,-
Mar 07 2018,0.003655,0.003696,0.003022,0.003104,810,-
Mar 06 2018,0.003672,0.003703,0.003472,0.003655,52,-
Mar 05 2018,0.003636,0.003722,0.003557,0.003682,250,-
Mar 04 2018,0.003383,0.003930,0.003188,0.003639,59,-
Mar 03 2018,0.003636,0.003906,0.003352,0.003387,289,-
Mar 02 2018,0.003627,0.003702,0.003566,0.003641,61,-
Mar 01 2018,0.003358,0.003826,0.003340,0.003636,199,-
Feb 28 2018,0.003626,0.003862,0.003354,0.003355,146,-
Feb 27 2018,0.003567,0.003766,0.003476,0.003630,43,-
