Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,7.63,8.60,7.63,8.06,92615,-
Mar 30 2018,6.90,8.07,6.71,7.67,134812,-
Mar 29 2018,7.11,7.95,6.84,6.90,166044,-
Mar 28 2018,7.19,7.36,6.84,7.28,134194,-
Mar 27 2018,7.93,8.05,6.59,7.19,129906,-
Mar 26 2018,7.93,8.25,7.68,7.92,229705,-
Mar 25 2018,8.14,8.16,7.59,7.92,193779,-
Mar 24 2018,8.61,8.72,8.07,8.19,196402,-
Mar 23 2018,8.74,8.82,8.01,8.53,193794,-
Mar 22 2018,9.03,9.65,8.48,8.80,405941,-
Mar 21 2018,8.59,10.20,8.29,9.06,789603,-
Mar 20 2018,7.87,8.83,7.83,8.48,270524,-
Mar 19 2018,8.23,9.04,7.39,7.91,188614,-
Mar 18 2018,9.28,9.28,5.97,8.20,218818,-
Mar 17 2018,9.33,9.98,6.72,9.24,160743,-
Mar 16 2018,10.42,10.91,9.15,9.32,208912,-
Mar 15 2018,10.74,10.98,9.20,10.28,187292,-
Mar 14 2018,10.69,11.99,9.67,10.85,190096,-
Mar 13 2018,11.64,12.26,9.96,10.67,186641,-
Mar 12 2018,12.85,13.20,10.08,11.74,209049,-
Mar 11 2018,11.52,13.08,11.25,12.90,233449,-
Mar 10 2018,12.42,12.57,11.37,11.47,200042,-
Mar 09 2018,12.02,12.47,11.07,12.41,236672,-
Mar 08 2018,14.17,14.30,11.88,12.17,297900,-
Mar 07 2018,15.25,16.23,13.09,14.08,144726,-
Mar 06 2018,16.80,17.45,15.25,15.25,207534,-
Mar 05 2018,16.76,18.24,16.01,17.39,143576,-
Mar 04 2018,17.11,17.86,16.06,16.90,125499,-
Mar 03 2018,17.66,18.67,16.32,17.12,164336,-
Mar 02 2018,18.78,19.63,16.84,17.66,183704,-
Mar 01 2018,18.43,19.15,17.71,18.79,122097,-
Feb 28 2018,18.54,19.26,17.69,18.43,164316,-
Feb 27 2018,18.20,19.21,17.72,18.71,119078,-
Feb 26 2018,17.36,18.91,16.50,18.20,175004,-
Feb 25 2018,17.81,17.98,15.24,17.10,83800,-
Feb 24 2018,19.20,19.42,16.63,17.92,120255,-
Feb 23 2018,19.29,19.54,18.23,19.15,141560,-
Feb 22 2018,19.35,20.46,17.79,19.29,158618,-
Feb 21 2018,21.11,21.11,19.20,19.39,119649,-
Feb 20 2018,22.70,22.81,21.09,21.11,139994,-
Feb 19 2018,21.72,22.74,21.09,22.69,143937,-
Feb 18 2018,22.04,22.98,20.63,21.74,127354,-
Feb 17 2018,21.25,22.15,20.88,22.02,102256,-
Feb 16 2018,21.73,22.11,19.68,21.26,74712,-
Feb 15 2018,20.93,22.05,20.65,21.78,126013,-
Feb 14 2018,20.74,21.32,19.81,21.32,97219,-
Feb 13 2018,19.89,20.75,19.57,20.74,77523,-
Feb 12 2018,19.77,20.33,17.87,19.89,52374,-
Feb 11 2018,20.47,20.47,19.39,19.73,88335,-
Feb 10 2018,20.34,21.51,20.14,20.47,220993,-
Feb 09 2018,20.51,20.95,19.50,20.35,177169,-
Feb 08 2018,18.78,20.96,18.78,20.51,193999,-
Feb 07 2018,22.39,22.48,18.73,18.78,239155,-
Feb 06 2018,19.84,22.51,15.42,22.39,193838,-
Feb 05 2018,22.06,22.06,18.28,19.84,247221,-
Feb 04 2018,23.41,23.63,21.40,22.07,331358,-
Feb 03 2018,24.68,25.17,23.09,23.42,215691,-
Feb 02 2018,23.43,24.68,20.40,24.68,187564,-
Feb 01 2018,24.60,25.21,22.37,23.42,252563,-
Jan 31 2018,24.18,25.22,23.31,24.60,235030,-
Jan 30 2018,24.60,25.40,23.57,24.23,271424,-
