Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.051390,0.055558,0.050692,0.052277,496631,3965340
Mar 30 2018,0.054619,0.056314,0.049005,0.051312,664628,4214460
Mar 29 2018,0.055853,0.057442,0.048680,0.054741,520231,4309730
Mar 28 2018,0.051938,0.057599,0.051318,0.055460,542081,4007650
Mar 27 2018,0.061666,0.061986,0.051904,0.051994,372754,4758250
Mar 26 2018,0.066413,0.068263,0.058581,0.061783,456406,5124560
Mar 25 2018,0.066076,0.068096,0.065292,0.066455,470856,5098580
Mar 24 2018,0.063371,0.069423,0.062239,0.067120,504139,4889850
Mar 23 2018,0.061413,0.062572,0.058631,0.062572,545926,4738750
Mar 22 2018,0.063265,0.065225,0.058136,0.061409,312176,4881650
Mar 21 2018,0.074973,0.075288,0.062297,0.063267,350336,5785040
Mar 20 2018,0.075149,0.079023,0.058215,0.074653,122371,5798630
Mar 19 2018,0.074221,0.076668,0.070618,0.074427,137702,5586010
Mar 18 2018,0.065504,0.076337,0.059361,0.074453,371580,4929950
Mar 17 2018,0.076650,0.076911,0.064603,0.065706,402525,5768810
Mar 16 2018,0.079616,0.080451,0.075528,0.076500,472580,5992020
Mar 15 2018,0.079911,0.080469,0.074466,0.079655,354551,6014240
Mar 14 2018,0.092769,0.094339,0.077384,0.079963,427820,6981930
Mar 13 2018,0.088399,0.093007,0.087450,0.092516,443242,6653060
Mar 12 2018,0.095048,0.096798,0.085727,0.088988,492216,7152670
Mar 11 2018,0.090607,0.099421,0.088634,0.095223,560040,6818490
Mar 10 2018,0.097995,0.101217,0.089050,0.090653,364280,7374430
Mar 09 2018,0.103768,0.105226,0.092575,0.097852,370598,7808900
Mar 08 2018,0.119184,0.121189,0.099559,0.103945,436281,8968970
Mar 07 2018,0.132827,0.133600,0.116183,0.119452,490730,9995690
Mar 06 2018,0.139603,0.145348,0.131540,0.132729,360160,10505600
Mar 05 2018,0.142564,0.153984,0.136125,0.141367,1219560,10728400
Mar 04 2018,0.137436,0.144788,0.130352,0.142314,2362450,10342500
Mar 03 2018,0.115861,0.158026,0.115456,0.137675,1753030,8718950
Mar 02 2018,0.115096,0.121235,0.107711,0.116021,608305,8661380
Mar 01 2018,0.113203,0.120588,0.108543,0.115260,18123,8518900
Feb 28 2018,0.124105,0.128215,0.106447,0.113057,19337,9245550
Feb 27 2018,0.122644,0.139939,0.122438,0.124169,25559,9136730
Feb 26 2018,0.128583,0.134003,0.119858,0.125530,19856,9579120
Feb 25 2018,0.126891,0.168578,0.118588,0.128461,31198,9453120
Feb 24 2018,0.128010,0.140185,0.112137,0.127143,45341,9536490
Feb 23 2018,0.120665,0.141888,0.117267,0.128150,25571,8989260
Feb 22 2018,0.134540,0.145120,0.116870,0.121977,38827,10022900
Feb 21 2018,0.148711,0.154018,0.126971,0.134698,25834,11078700
Feb 20 2018,0.167196,0.174707,0.146386,0.147593,43868,12455700
Feb 19 2018,0.158666,0.171355,0.154546,0.167063,30477,11820300
Feb 18 2018,0.178367,0.180044,0.154906,0.159442,30592,13288000
Feb 17 2018,0.163518,0.190282,0.162943,0.176312,83456,12181700
Feb 16 2018,0.165054,0.172765,0.155614,0.163214,24609,12296200
Feb 15 2018,0.156142,0.177119,0.150880,0.165516,54235,11632200
Feb 14 2018,0.137168,0.161622,0.135720,0.156058,62830,10218700
Feb 13 2018,0.143232,0.155080,0.134594,0.137529,25010,10670400
Feb 12 2018,0.146787,0.156404,0.137118,0.142999,41098,10935300
Feb 11 2018,0.137340,0.148370,0.127310,0.144438,40873,10231500
Feb 10 2018,0.163579,0.170382,0.126738,0.142105,40288,12186300
Feb 09 2018,0.160190,0.169638,0.143791,0.163527,36920,11933800
Feb 08 2018,0.151573,0.197357,0.149173,0.159841,69660,11291800
Feb 07 2018,0.158042,0.201342,0.139633,0.152120,82228,11773800
Feb 06 2018,0.114021,0.160288,0.080686,0.159144,97927,8494320
Feb 05 2018,0.148187,0.161627,0.096849,0.113761,61980,10978600
Feb 04 2018,0.169730,0.185756,0.136714,0.149637,36966,12574600
Feb 03 2018,0.166341,0.186018,0.155155,0.163930,53406,12323500
Feb 02 2018,0.151309,0.174257,0.118931,0.165683,77567,11209800
Feb 01 2018,0.190173,0.196024,0.144908,0.151805,119976,14089100
Jan 31 2018,0.185061,0.201305,0.177607,0.189755,56383,13710400
Jan 30 2018,0.210200,0.217878,0.177242,0.184661,87726,15572800
Jan 29 2018,0.230835,0.234600,0.203006,0.213937,138461,17101600
Jan 28 2018,0.271415,0.283434,0.226618,0.230252,205202,20108000
Jan 27 2018,0.225197,0.295994,0.217851,0.274441,134566,16683900
Jan 26 2018,0.254311,0.276718,0.215782,0.229105,142309,18840800
Jan 25 2018,0.275846,0.296639,0.246030,0.254467,72889,20436300
Jan 24 2018,0.262092,0.296126,0.250190,0.270259,182450,19417300
Jan 23 2018,0.249302,0.271395,0.220024,0.262180,128473,18194900
Jan 22 2018,0.295637,0.303975,0.213252,0.248783,158044,21576600
Jan 21 2018,0.338104,0.342983,0.274892,0.291296,140263,24675900
Jan 20 2018,0.314822,0.351521,0.261729,0.340825,360974,22976700
Jan 19 2018,0.343765,0.364003,0.290764,0.315211,195838,25089100
Jan 18 2018,0.326817,0.416014,0.299869,0.344450,262827,23852200
Jan 17 2018,0.304684,0.394837,0.250644,0.334699,271876,22110000
Jan 16 2018,0.374876,0.434083,0.218456,0.306145,577989,27203600
Jan 15 2018,0.505552,0.520942,0.374968,0.386337,461943,36428900
Jan 14 2018,0.503472,0.662905,0.422676,0.520437,874666,36279100
Jan 13 2018,0.621967,0.634472,0.430227,0.478042,953351,44817600
Jan 12 2018,0.607247,0.666323,0.512179,0.625231,611614,43756900
Jan 11 2018,0.759548,0.795770,0.443310,0.566557,747942,54731300
Jan 10 2018,0.941895,0.984984,0.664725,0.777674,1833000,67870900
Jan 09 2018,0.771017,0.924913,0.675713,0.924913,2139760,55557800
Jan 08 2018,0.808490,0.842955,0.621917,0.773235,882358,58258000
Jan 07 2018,0.826130,0.954533,0.700617,0.836621,1427560,59529100
Jan 06 2018,0.394879,0.871077,0.358076,0.815257,966751,28425000
Jan 05 2018,0.384238,0.492316,0.337443,0.403485,753702,27659100
Jan 04 2018,0.301446,0.467022,0.216506,0.384760,578647,21699300
Jan 03 2018,0.253858,0.308458,0.209986,0.299843,379130,18273800
Jan 02 2018,0.300750,0.324123,0.242820,0.261606,296895,21649200
Jan 01 2018,0.228541,0.317930,0.216873,0.311789,321189,16451300
Dec 31 2017,0.149915,0.408172,0.145976,0.230766,243763,10791500
Dec 30 2017,0.147416,0.173829,0.122740,0.151396,140141,10611600
Dec 29 2017,0.134850,0.197061,0.106324,0.147608,149578,9707060
Dec 28 2017,0.100994,0.130026,0.089980,0.124271,169516,7269970
Dec 27 2017,0.103383,0.138376,0.075075,0.101196,223668,7441930
Dec 26 2017,0.104405,0.107582,0.086306,0.104046,106548,7515470
Dec 25 2017,0.089610,0.125731,0.085018,0.104760,201711,6450500
Dec 24 2017,0.095848,0.095848,0.080607,0.088712,170367,6899560
Dec 23 2017,0.084220,0.106119,0.061081,0.093803,253360,6062490
Dec 22 2017,0.101861,0.110100,0.066325,0.088063,220278,7332380
Dec 21 2017,0.089098,0.111037,0.083933,0.101992,143626,6413670
Dec 20 2017,0.117496,0.117496,0.077537,0.088253,149826,8457850
Dec 19 2017,0.097982,0.121118,0.080633,0.117613,202630,7053130
Dec 18 2017,0.087940,0.104732,0.082508,0.082508,163378,6330270
Dec 17 2017,0.062454,0.109781,0.060409,0.095517,151821,4495660
