Date,Open,High,Low,Close,Volume,Market Cap
Mar 14 2018,0.006313,0.006458,0.005668,0.005731,71,641955
Mar 13 2018,0.006180,0.006827,0.006102,0.006312,79,628461
Mar 12 2018,0.006872,0.006923,0.005992,0.006216,188,698785
Mar 11 2018,0.006055,0.007100,0.005848,0.006511,950,615705
Mar 10 2018,0.006389,0.006727,0.006021,0.006076,78,649691
Mar 09 2018,0.006412,0.006488,0.005788,0.006386,201,652057
Mar 08 2018,0.006923,0.007097,0.006253,0.006453,89,704012
Mar 07 2018,0.007825,0.007910,0.006611,0.006933,52,795671
Mar 06 2018,0.007939,0.007939,0.007319,0.007835,63,807243
Mar 05 2018,0.007933,0.008054,0.007879,0.007961,25,806702
Mar 04 2018,0.008351,0.008398,0.007859,0.007939,355,849174
Mar 03 2018,0.008705,0.008773,0.008035,0.008365,88,885187
Mar 02 2018,0.008178,0.008781,0.007673,0.008716,839,831536
Mar 01 2018,0.008260,0.008885,0.007956,0.008199,1370,839899
Feb 28 2018,0.008745,0.009134,0.008221,0.008248,1065,889198
Feb 27 2018,0.008971,0.009441,0.008246,0.008755,1866,912209
Feb 26 2018,0.007669,0.009054,0.007565,0.008945,2735,779825
Feb 25 2018,0.008048,0.008638,0.007443,0.007659,1546,818309
Feb 24 2018,0.007813,0.009036,0.007561,0.008060,1364,794436
Feb 23 2018,0.008762,0.009114,0.007640,0.007823,636,890933
Feb 22 2018,0.010467,0.010467,0.008325,0.008770,2943,1064240
Feb 21 2018,0.010095,0.012641,0.009617,0.010477,936,1026450
Feb 20 2018,0.010613,0.016057,0.009999,0.010107,5160,1079130
Feb 19 2018,0.010076,0.011203,0.008979,0.010603,2118,1024540
Feb 18 2018,0.010761,0.011935,0.008772,0.010123,3689,1094160
Feb 17 2018,0.011213,0.012183,0.010536,0.010728,2275,1140130
Feb 16 2018,0.011301,0.014595,0.007794,0.011215,11991,1149120
Feb 15 2018,0.010517,0.011718,0.010023,0.011350,1365,1069390
Feb 14 2018,0.009957,0.012517,0.009848,0.010512,14606,1012370
Feb 13 2018,0.008186,0.010052,0.008136,0.009986,4600,832322
Feb 12 2018,0.008350,0.009356,0.007123,0.008171,12619,848977
Feb 11 2018,0.007866,0.008817,0.006880,0.008297,2497,799780
Feb 10 2018,0.008341,0.009360,0.007800,0.008129,1177,848135
Feb 09 2018,0.008750,0.009140,0.007875,0.008335,1110,889718
Feb 08 2018,0.007575,0.009289,0.007575,0.008723,747,770226
Feb 07 2018,0.007785,0.009521,0.007218,0.007606,1832,791602
Feb 06 2018,0.005899,0.009471,0.005859,0.007397,7416,599828
Feb 05 2018,0.010512,0.010705,0.005388,0.005892,16603,1068850
Feb 04 2018,0.012387,0.012623,0.009238,0.010615,951,1259500
Feb 03 2018,0.011787,0.012700,0.010381,0.012381,885,1198490
Feb 02 2018,0.012532,0.013100,0.009846,0.011747,3074,1274230
Feb 01 2018,0.014035,0.014475,0.011926,0.012558,785,1427010
Jan 31 2018,0.014324,0.015464,0.013436,0.014003,2262,1456360
Jan 30 2018,0.015680,0.016722,0.013671,0.014302,3151,1594180
Jan 29 2018,0.016008,0.016615,0.015178,0.015675,2429,1627520
Jan 28 2018,0.015756,0.017802,0.015445,0.016023,4151,1601870
Jan 27 2018,0.015131,0.016769,0.012639,0.016471,5280,1538340
Jan 26 2018,0.016182,0.017939,0.014141,0.015141,3288,1645240
Jan 25 2018,0.015748,0.018303,0.015281,0.015778,6433,1601090
Jan 24 2018,0.017777,0.019088,0.015128,0.015494,6539,1807350
Jan 23 2018,0.016243,0.025504,0.015420,0.017787,6759,1651310
Jan 22 2018,0.016251,0.018060,0.013698,0.016286,8990,1652170
Jan 21 2018,0.021746,0.028771,0.014068,0.016032,23989,2210740
Jan 20 2018,0.019861,0.023457,0.019290,0.021695,3004,2019170
Jan 19 2018,0.019847,0.022835,0.017659,0.019648,3861,2017730
Jan 18 2018,0.021944,0.024812,0.019420,0.020058,10061,2230900
Jan 17 2018,0.022045,0.024399,0.017382,0.021860,5997,2241100
Jan 16 2018,0.028970,0.028970,0.019598,0.022157,8266,2945130
