Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,5.97,6.45,5.95,6.31,4033,7161580
Mar 30 2018,6.18,6.28,5.76,5.97,386,7420220
Mar 29 2018,7.11,7.15,6.02,6.20,710,8532310
Mar 28 2018,6.59,7.84,6.56,7.10,12157,7915230
Mar 27 2018,7.00,7.02,6.59,6.60,1199,8402040
Mar 26 2018,7.52,7.56,6.70,7.01,1864,9029570
Mar 25 2018,7.41,7.78,7.40,7.53,1018,8894280
Mar 24 2018,8.02,8.09,7.42,7.51,43791,9628130
Mar 23 2018,9.13,9.28,7.62,7.91,12405,10954500
Mar 22 2018,9.18,9.33,8.59,8.74,5016,11022900
Mar 21 2018,8.37,9.26,8.36,9.20,16854,10046200
Mar 20 2018,7.84,8.44,7.55,8.35,7322,9415660
Mar 19 2018,7.83,8.26,7.42,7.87,7584,9392980
Mar 18 2018,7.41,8.15,6.65,7.86,6844,8897170
Mar 17 2018,7.88,7.93,7.05,7.43,16728,9455550
Mar 16 2018,7.43,8.08,7.25,7.86,4304,8923520
Mar 15 2018,7.67,7.85,7.19,7.44,8842,9200730
Mar 14 2018,9.15,9.36,7.47,7.82,3363,10985600
Mar 13 2018,8.68,9.87,8.67,9.15,6676,10418600
Mar 12 2018,9.24,9.66,8.71,8.89,1218,11091000
Mar 11 2018,9.13,9.57,8.22,9.27,10662,10956700
Mar 10 2018,9.09,10.08,8.81,9.16,35649,10908000
Mar 09 2018,9.61,9.72,8.09,9.08,49952,11534100
Mar 08 2018,11.12,11.44,9.43,9.67,61528,13341600
Mar 07 2018,12.54,13.15,10.97,11.13,33378,15053000
Mar 06 2018,14.51,14.61,12.46,12.56,27419,17415800
Mar 05 2018,15.85,15.85,13.33,14.10,67415,19026900
Mar 04 2018,13.78,19.19,12.60,15.85,187472,16535100
Mar 03 2018,14.33,14.79,13.54,13.80,6559,17194900
Mar 02 2018,13.83,14.60,13.74,14.34,24173,16597800
Mar 01 2018,14.60,14.68,13.00,13.86,44585,17527200
Feb 28 2018,14.39,15.54,13.92,14.58,10707,17271700
Feb 27 2018,13.68,15.33,13.50,14.41,7151,16424100
Feb 26 2018,12.59,13.81,12.23,13.64,6373,15109500
Feb 25 2018,12.74,12.95,12.24,12.57,5556,15287000
Feb 24 2018,13.33,14.06,12.34,12.76,25184,15994000
Feb 23 2018,12.80,13.92,12.48,13.34,5750,15361700
Feb 22 2018,14.08,14.58,12.67,12.81,9018,16896500
Feb 21 2018,14.72,15.13,13.38,14.09,37257,17666900
Feb 20 2018,15.08,16.62,14.58,14.74,48692,18101200
Feb 19 2018,14.03,15.70,13.99,15.07,20111,16844400
Feb 18 2018,15.06,15.53,14.07,14.10,4612,18077100
Feb 17 2018,14.40,15.43,14.06,15.01,136981,17280500
Feb 16 2018,16.40,16.83,14.26,14.26,24660,19680400
Feb 15 2018,13.18,16.86,13.09,16.47,40829,15820300
Feb 14 2018,11.71,13.34,11.71,13.17,6176,14057700
Feb 13 2018,12.06,13.00,11.60,11.75,14120,14470800
Feb 12 2018,11.88,13.07,11.62,12.48,2659,14258300
Feb 11 2018,13.12,13.12,11.01,11.80,15932,15742800
Feb 10 2018,14.62,15.65,12.29,13.13,16595,17553100
Feb 09 2018,13.31,15.09,12.66,14.61,20057,15977100
Feb 08 2018,11.05,13.87,11.05,13.27,13888,13268700
Feb 07 2018,11.18,13.83,10.65,11.10,27640,13416800
