Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.009230,0.009716,0.009203,0.009355,11,-
Mar 30 2018,0.009563,0.009720,0.008915,0.009229,11,-
Mar 29 2018,0.011172,0.011173,0.009308,0.009587,20,-
Mar 25 2018,0.011309,0.011428,0.011140,0.011353,55,-
Mar 24 2018,0.011853,0.011961,0.011440,0.011467,56,-
Mar 23 2018,0.011573,0.011683,0.011059,0.011683,57,-
Mar 22 2018,0.011593,0.011627,0.011334,0.011573,21,-
Mar 20 2018,0.011469,0.011497,0.011101,0.011353,1,-
Mar 19 2018,0.011303,0.011637,0.011052,0.011342,1,-
Mar 18 2018,0.011830,0.011830,0.010019,0.011350,25,-
Mar 17 2018,0.011723,0.012061,0.011621,0.011859,10,-
Mar 16 2018,0.011069,0.011473,0.010655,0.011452,1,-
Mar 15 2018,0.011080,0.011265,0.010316,0.011075,2,-
Mar 14 2018,0.012535,0.012822,0.010794,0.011085,5,-
Mar 13 2018,0.012452,0.012991,0.012157,0.012533,1,-
Mar 12 2018,0.012503,0.012959,0.012319,0.012523,8,-
Mar 11 2018,0.012549,0.012742,0.011339,0.012543,3,-
Mar 10 2018,0.013558,0.013739,0.012478,0.012592,3,-
Mar 05 2018,0.014947,0.015174,0.014844,0.015132,6,-
Mar 04 2018,0.014986,0.014998,0.014538,0.014958,15,-
Mar 03 2018,0.014435,0.015055,0.014435,0.015012,21,-
Mar 02 2018,0.018100,0.018908,0.014286,0.014453,42,-
Mar 01 2018,0.018069,0.018919,0.017817,0.018147,1,-
Feb 28 2018,0.012904,0.018687,0.012603,0.018042,16,-
Feb 27 2018,0.012888,0.013074,0.012631,0.012919,48,-
Feb 26 2018,0.016968,0.018212,0.016655,0.018128,1,-
Feb 25 2018,0.016692,0.017139,0.016494,0.016946,1,-
Feb 24 2018,0.017858,0.018477,0.016860,0.017181,5,-
Feb 23 2018,0.018115,0.018374,0.012737,0.017881,10,-
Feb 22 2018,0.015386,0.018643,0.015210,0.018131,4,-
Feb 21 2018,0.020647,0.020647,0.015104,0.015401,3,-
Feb 18 2018,0.014422,0.014668,0.013277,0.014036,2,-
Feb 17 2018,0.013252,0.014462,0.013081,0.014377,2,-
Feb 16 2018,0.013057,0.013356,0.012673,0.013255,1,-
Feb 11 2018,0.010773,0.010773,0.009900,0.010627,1,-
Feb 10 2018,0.015187,0.017100,0.010307,0.010782,4,-
Feb 06 2018,0.013256,0.013927,0.011341,0.013530,64,-
Feb 05 2018,0.014372,0.015322,0.012731,0.013239,62,-
Feb 04 2018,0.016055,0.016324,0.013870,0.014513,8,-
Feb 03 2018,0.015510,0.016449,0.014352,0.016164,2,-
Feb 02 2018,0.015711,0.015930,0.013341,0.015457,3,-
Feb 01 2018,0.017697,0.017773,0.014951,0.015743,6,-
Jan 31 2018,0.017329,0.018002,0.016671,0.017656,7,-
Jan 30 2018,0.012432,0.018318,0.011628,0.017302,7,-
Jan 29 2018,0.012448,0.012500,0.012260,0.012428,2,-
Jan 28 2018,0.011760,0.012300,0.011724,0.011999,2,-
Jan 27 2018,0.019025,0.020409,0.011671,0.011700,17,-
Jan 26 2018,0.014397,0.019258,0.013413,0.019038,13,-
Jan 25 2018,0.015178,0.015539,0.014356,0.014435,9,-
Jan 24 2018,0.010840,0.015233,0.010605,0.014932,4,-
Jan 23 2018,0.011096,0.011374,0.010846,0.010846,137,-
Jan 22 2018,0.011492,0.011799,0.011203,0.011693,186,-
Jan 21 2018,0.019315,0.022230,0.011096,0.011337,180,-
Jan 20 2018,0.011499,0.019307,0.011493,0.019270,92,-
Jan 19 2018,0.007330,0.011778,0.007169,0.011375,145,-
Jan 18 2018,0.007352,0.014861,0.007229,0.007408,10,-
Jan 17 2018,0.015877,0.016282,0.006143,0.013981,45,-
Jan 16 2018,0.007106,0.016586,0.005906,0.015958,31,-
Jan 15 2018,0.020534,0.021089,0.007094,0.007097,265,-
Jan 14 2018,0.020823,0.021040,0.010746,0.020684,192,-
Jan 13 2018,0.012522,0.021181,0.012522,0.020810,31,-
Jan 12 2018,0.014575,0.015375,0.006782,0.012537,147,-
Jan 11 2018,0.016180,0.020781,0.014403,0.014479,109,-
Jan 10 2018,0.016795,0.017138,0.014784,0.016198,28,-
Jan 09 2018,0.017168,0.017588,0.016411,0.016773,36,-
Jan 08 2018,0.017588,0.017654,0.015382,0.017215,37,-
Jan 07 2018,0.012730,0.017837,0.012331,0.017612,221,-
Jan 06 2018,0.012568,0.012773,0.012108,0.012739,37,-
Jan 05 2018,0.009109,0.012665,0.006571,0.012558,22,-
Jan 04 2018,0.009126,0.009273,0.008620,0.009107,16,-
Jan 03 2018,0.009050,0.009094,0.008877,0.009077,40,-
Dec 28 2017,0.009310,0.009349,0.008269,0.008633,1,-
Dec 27 2017,0.009026,0.009340,0.008833,0.009329,2,-
Dec 22 2017,0.009428,0.009521,0.007659,0.008421,8,-
Dec 21 2017,0.015275,0.015434,0.009088,0.009395,12,-
Dec 20 2017,0.016033,0.016230,0.014597,0.015080,14,-
