Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.007731,0.008360,0.007511,0.007722,6034,4096320
Mar 30 2018,0.007879,0.008030,0.007242,0.007732,19596,4174650
Mar 29 2018,0.008152,0.008816,0.007402,0.007900,27785,4319510
Mar 28 2018,0.008978,0.009248,0.008027,0.008141,21737,4757230
Mar 27 2018,0.009534,0.009819,0.008441,0.008978,9977,5051610
Mar 26 2018,0.010148,0.010204,0.008249,0.009547,14633,5376900
Mar 25 2018,0.009493,0.010566,0.008788,0.010158,8437,5030140
Mar 24 2018,0.009635,0.010583,0.009066,0.009620,11987,5105200
Mar 23 2018,0.009070,0.009525,0.008647,0.009525,17714,4805880
Mar 22 2018,0.009803,0.010057,0.008822,0.009071,7471,5194410
Mar 21 2018,0.009634,0.010155,0.009460,0.009797,21353,5104640
Mar 20 2018,0.009187,0.009745,0.008521,0.009593,18034,4867830
Mar 19 2018,0.008559,0.009694,0.008298,0.009106,13537,4535120
Mar 18 2018,0.008833,0.009214,0.007561,0.008595,13606,4680310
Mar 17 2018,0.010057,0.010665,0.008795,0.008847,9075,5328620
Mar 16 2018,0.009967,0.010554,0.009384,0.010042,14369,5281290
Mar 15 2018,0.010290,0.010666,0.009262,0.009975,31856,5452400
Mar 14 2018,0.012243,0.012507,0.009882,0.010312,15820,6487360
Mar 13 2018,0.012754,0.013378,0.011337,0.012243,10032,6757990
Mar 12 2018,0.011207,0.013262,0.011207,0.012746,9318,5938250
Mar 11 2018,0.011126,0.012397,0.010594,0.011235,25713,5895310
Mar 10 2018,0.010863,0.013555,0.010418,0.011037,36748,5755860
Mar 09 2018,0.010838,0.012625,0.009050,0.010879,49300,5742800
Mar 08 2018,0.012725,0.013640,0.010677,0.010903,77796,6742660
Mar 07 2018,0.014722,0.016316,0.011193,0.012745,64263,7800700
Mar 06 2018,0.016078,0.017463,0.014587,0.014728,22961,8519000
Mar 05 2018,0.017145,0.017739,0.015700,0.016101,29564,9084190
Mar 04 2018,0.016686,0.017406,0.015581,0.017083,43255,8841510
Mar 03 2018,0.018887,0.019625,0.014790,0.016677,77096,10007600
Mar 02 2018,0.018395,0.020789,0.017511,0.018903,45538,9747050
Mar 01 2018,0.016367,0.020083,0.016301,0.018038,34133,8672340
Feb 28 2018,0.019854,0.020861,0.017101,0.017848,53941,10519700
Feb 27 2018,0.022405,0.023137,0.018580,0.019869,82839,11871400
Feb 26 2018,0.024239,0.026396,0.018648,0.022322,136687,12843500
Feb 25 2018,0.018631,0.029548,0.017448,0.024220,94077,9871900
Feb 24 2018,0.019413,0.020730,0.015993,0.018598,33545,10286000
Feb 23 2018,0.021160,0.028554,0.018580,0.019429,14627,11211900
Feb 22 2018,0.017912,0.021486,0.016959,0.021183,59416,9490990
Feb 21 2018,0.021288,0.021288,0.017214,0.017867,11752,11279600
Feb 20 2018,0.018936,0.022502,0.017843,0.022007,30714,10033300
Feb 19 2018,0.019777,0.021487,0.018818,0.018835,27455,10478900
Feb 18 2018,0.023473,0.024344,0.019717,0.019861,15841,12437500
Feb 17 2018,0.022302,0.024708,0.020823,0.023460,24373,11817300
Feb 16 2018,0.022903,0.026784,0.021758,0.022251,24517,12135500
Feb 15 2018,0.021809,0.023284,0.019234,0.020019,28506,11556000
Feb 14 2018,0.019474,0.022458,0.017764,0.021800,241540,10318300
Feb 13 2018,0.023214,0.025684,0.018818,0.019492,434270,12300500
Feb 12 2018,0.024050,0.025625,0.009054,0.023169,282437,12743000
Feb 11 2018,0.024657,0.026210,0.021802,0.023945,87575,13064600
Feb 10 2018,0.028600,0.028829,0.022398,0.024692,46690,15153800
Feb 09 2018,0.027973,0.028764,0.025926,0.028609,91152,14821900
Feb 08 2018,0.024082,0.028531,0.023108,0.027932,70701,12759900
Feb 07 2018,0.024986,0.030665,0.020957,0.024145,117820,13239200
Feb 06 2018,0.024143,0.034234,0.015848,0.024955,120851,12792500
Feb 05 2018,0.030407,0.032700,0.021146,0.024059,106578,16111500
Feb 04 2018,0.033988,0.039105,0.027537,0.030702,40809,18009200
Feb 03 2018,0.040088,0.042603,0.033586,0.033998,84129,21241200
Feb 02 2018,0.042135,0.044348,0.028655,0.039846,85835,22325800
Feb 01 2018,0.047170,0.054071,0.037405,0.042272,119942,24993600
Jan 31 2018,0.049333,0.051369,0.043890,0.047225,159347,26139900
Jan 30 2018,0.060477,0.064217,0.044701,0.050541,169170,32044400
Jan 29 2018,0.046513,0.066980,0.038417,0.060358,338579,-
Jan 28 2018,0.046955,0.053632,0.040235,0.046171,132166,-
Jan 27 2018,0.057331,0.060615,0.045339,0.046628,251157,-
Jan 26 2018,0.059232,0.061779,0.045049,0.057317,173179,-
Jan 25 2018,0.065263,0.068469,0.057387,0.059436,126816,-
Jan 24 2018,0.063458,0.068341,0.060089,0.064589,199631,-
Jan 23 2018,0.062747,0.064761,0.054795,0.062908,270986,-
Jan 22 2018,0.065507,0.068967,0.035193,0.062885,460345,-
Jan 21 2018,0.079458,0.080543,0.064723,0.065079,280355,-
Jan 20 2018,0.071935,0.093615,0.067557,0.079263,681451,-
