Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.005265,0.005866,0.005265,0.005683,17,26803
Mar 30 2018,0.005439,0.005903,0.005019,0.005264,8,27692
Mar 29 2018,0.007385,0.007397,0.004863,0.005453,816,37600
Mar 28 2018,0.006707,0.007426,0.006390,0.007377,181,34147
Mar 27 2018,0.007025,0.007624,0.006676,0.006709,601,35768
Mar 26 2018,0.008271,0.008316,0.006753,0.007036,32,42110
Mar 25 2018,0.009102,0.009156,0.008215,0.008277,41,46341
Mar 24 2018,0.007842,0.011546,0.007781,0.009229,14741,39927
Mar 23 2018,0.007089,0.007730,0.006695,0.007730,351,36094
Mar 22 2018,0.008540,0.009112,0.006865,0.007090,1277,43477
Mar 21 2018,0.007093,0.008791,0.006784,0.008555,1263,36112
Mar 20 2018,0.007338,0.007346,0.006749,0.007080,202,37359
Mar 19 2018,0.006719,0.007962,0.006719,0.007257,120,34208
Mar 18 2018,0.006152,0.006817,0.005883,0.006748,225,31319
Mar 17 2018,0.008169,0.008236,0.006128,0.006167,41,41591
Mar 16 2018,0.006489,0.008716,0.006054,0.008156,1061,33039
Mar 15 2018,0.007220,0.009021,0.006152,0.006493,846,36760
Mar 14 2018,0.006132,0.008704,0.006132,0.007223,616,31221
Mar 13 2018,0.006753,0.008725,0.006033,0.006132,653,34383
Mar 12 2018,0.006950,0.007228,0.006548,0.006792,68,35383
Mar 11 2018,0.006867,0.008520,0.006604,0.006972,246,34961
Mar 10 2018,0.006945,0.008195,0.006262,0.006891,994,35357
Mar 09 2018,0.007415,0.007503,0.006291,0.006942,45,37752
Mar 08 2018,0.007517,0.007612,0.006258,0.007462,949,38270
Mar 07 2018,0.009113,0.009250,0.007055,0.007528,634,46394
Mar 06 2018,0.010840,0.011218,0.009032,0.009124,1197,55189
Mar 05 2018,0.007899,0.010997,0.007823,0.010870,288,40216
Mar 04 2018,0.010982,0.010987,0.007825,0.007905,429,55913
Mar 03 2018,0.008816,0.011033,0.005755,0.011001,736,44882
Mar 02 2018,0.009704,0.009924,0.008644,0.008826,216,49406
Mar 01 2018,0.010114,0.010520,0.009288,0.009729,77,51493
Feb 28 2018,0.009637,0.010608,0.009580,0.010099,771,49064
Feb 27 2018,0.009491,0.011080,0.009491,0.009648,175,48323
Feb 26 2018,0.010192,0.010926,0.009464,0.009464,1113,51892
Feb 25 2018,0.010552,0.010622,0.008825,0.010179,965,53720
Feb 24 2018,0.011679,0.012073,0.010122,0.010568,198,59461
Feb 23 2018,0.009859,0.011736,0.009803,0.011694,325,50194
Feb 22 2018,0.011932,0.013095,0.009868,0.009868,1121,60747
Feb 21 2018,0.013671,0.014345,0.011529,0.011944,2357,69603
Feb 20 2018,0.014481,0.015293,0.013542,0.013688,733,73728
Feb 19 2018,0.012984,0.015619,0.012984,0.014468,1001,66103
Feb 18 2018,0.013752,0.015406,0.012356,0.013044,1705,70015
Feb 17 2018,0.012700,0.025210,0.010927,0.013710,22221,64659
Feb 16 2018,0.012815,0.013047,0.011474,0.012705,793,65243
Feb 15 2018,0.014378,0.014389,0.009906,0.012870,801,73201
Feb 14 2018,0.011694,0.014406,0.011694,0.014370,621,59538
Feb 13 2018,0.013303,0.013921,0.011433,0.011729,307,67729
Feb 12 2018,0.012846,0.013796,0.011406,0.013279,570,65403
Feb 11 2018,0.015991,0.016013,0.011951,0.012767,1280,81415
Feb 10 2018,0.009476,0.018455,0.009430,0.015920,4754,48246
Feb 09 2018,0.010163,0.010360,0.008512,0.009469,256,51742
Feb 08 2018,0.007986,0.011023,0.007986,0.010132,624,40658
Feb 07 2018,0.007866,0.011618,0.007653,0.008018,859,40047
Feb 06 2018,0.007930,0.009358,0.006322,0.007945,950,40371
Feb 05 2018,0.009556,0.010877,0.007487,0.007920,1202,48654
Feb 04 2018,0.012474,0.012479,0.009219,0.009650,275,63509
Feb 03 2018,0.012491,0.012973,0.010082,0.012468,605,63592
Feb 02 2018,0.013976,0.014030,0.008811,0.012448,1900,71154
Feb 01 2018,0.017981,0.018403,0.013424,0.014005,2901,91545
Jan 31 2018,0.017007,0.018593,0.015376,0.017939,3001,86584
Jan 30 2018,0.026342,0.030709,0.015750,0.016982,13491,134113
Jan 29 2018,0.016150,0.029072,0.014187,0.026541,26744,82221
Jan 28 2018,0.018418,0.020102,0.014273,0.016158,2313,93768
Jan 27 2018,0.017085,0.019697,0.015410,0.018275,1870,86981
Jan 26 2018,0.018806,0.021306,0.015859,0.017096,1369,95743
Jan 25 2018,0.018138,0.020180,0.015816,0.018856,1652,92345
Jan 24 2018,0.016830,0.029951,0.014735,0.017845,20824,85687
Jan 23 2018,0.018812,0.018991,0.014839,0.016840,1930,95776
Jan 22 2018,0.020527,0.022045,0.016387,0.018862,1078,104508
Jan 21 2018,0.022769,0.022769,0.019299,0.020250,963,115921
Jan 20 2018,0.020106,0.023313,0.017290,0.022716,2578,102363
Jan 19 2018,0.021288,0.023640,0.016897,0.019886,1601,108382
Jan 18 2018,0.018029,0.019929,0.016457,0.019929,1912,91790
Jan 17 2018,0.022658,0.023240,0.016132,0.017960,4225,115354
Jan 16 2018,0.023710,0.027563,0.018010,0.022773,2213,120715
Jan 15 2018,0.025817,0.038620,0.020853,0.023681,6070,131439
Jan 14 2018,0.029253,0.031439,0.025302,0.026006,6213,148933
Jan 13 2018,0.021863,0.035749,0.021863,0.029234,8459,111308
Jan 12 2018,0.022139,0.025552,0.021397,0.021888,3115,112712
Jan 11 2018,0.033112,0.033278,0.021508,0.021993,8241,168578
Jan 10 2018,0.072075,0.072075,0.024428,0.033083,27902,366947
Jan 09 2018,0.016593,0.073192,0.016536,0.071330,53109,84479
Jan 08 2018,0.020961,0.026503,0.014978,0.016638,11748,106716
Jan 07 2018,0.014308,0.023071,0.014101,0.020990,6534,72845
Jan 06 2018,0.015448,0.016365,0.014012,0.014318,3270,78647
Jan 05 2018,0.013877,0.016324,0.012982,0.015453,2835,70649
Jan 04 2018,0.017280,0.017324,0.013056,0.013873,5910,87975
