Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.118351,0.124510,0.108412,0.119889,8,5546
Mar 30 2018,0.116316,0.119819,0.108429,0.118333,16,5451
Mar 29 2018,0.145245,0.145484,0.113214,0.116605,45,6807
Mar 28 2018,0.142498,0.146050,0.135435,0.145075,6,6678
Mar 27 2018,0.141897,0.148430,0.134767,0.142531,21,6650
Mar 26 2018,0.162637,0.163528,0.136392,0.142112,4,7622
Mar 25 2018,0.163684,0.167214,0.144741,0.162761,32,7671
Mar 24 2018,0.192318,0.192528,0.135240,0.165968,173,9013
Mar 23 2018,0.153056,0.189558,0.129221,0.189558,290,7173
Mar 22 2018,0.165635,0.168902,0.149901,0.153060,8,7762
Mar 21 2018,0.152086,0.166644,0.151040,0.165937,41,7127
Mar 20 2018,0.146767,0.153899,0.142054,0.151811,8,6878
Mar 19 2018,0.155861,0.160473,0.138816,0.145148,37,7304
Mar 18 2018,0.150397,0.158143,0.124249,0.156521,85,7048
Mar 17 2018,0.155486,0.156362,0.147329,0.150763,13,7287
Mar 16 2018,0.155960,0.160687,0.150029,0.155230,50,7309
Mar 15 2018,0.156427,0.160308,0.146817,0.156048,26,7331
Mar 14 2018,0.176667,0.177021,0.152399,0.156497,133,8279
Mar 13 2018,0.164961,0.172110,0.161063,0.164762,23,7731
Mar 12 2018,0.274495,0.279452,0.159942,0.165913,60,12864
Mar 11 2018,0.149180,0.279559,0.144086,0.275363,394,6991
Mar 10 2018,0.185286,0.195803,0.148956,0.149696,75,8683
Mar 09 2018,0.185868,0.197448,0.167767,0.185206,121,8711
Mar 08 2018,0.220956,0.225470,0.171729,0.187053,71,10355
Mar 07 2018,0.182329,0.224850,0.165097,0.221269,233,8545
Mar 06 2018,0.178447,0.215111,0.169024,0.182566,146,8363
Mar 05 2018,0.219604,0.220980,0.177495,0.178941,44,10292
Mar 04 2018,0.218615,0.219765,0.212075,0.219765,1,10245
Mar 03 2018,0.212564,0.219625,0.212564,0.218993,84,9962
Mar 02 2018,0.260270,0.266152,0.211583,0.212824,8,12197
Mar 01 2018,0.252962,0.268065,0.198663,0.260941,470,11855
Feb 28 2018,0.204757,0.275829,0.203536,0.252590,236,9596
Feb 27 2018,0.214792,0.224160,0.202093,0.204998,125,10066
Feb 26 2018,0.196524,0.216935,0.195895,0.214173,5,9210
Feb 25 2018,0.242401,0.246603,0.191028,0.196272,50,11360
Feb 24 2018,0.190047,0.260775,0.189946,0.242768,361,8906
Feb 23 2018,0.224857,0.236211,0.184412,0.190288,16,10538
Feb 22 2018,0.259568,0.270502,0.222679,0.225067,208,12164
Feb 21 2018,0.313950,0.313950,0.163776,0.259832,466,14713
Feb 20 2018,0.304981,0.343144,0.251033,0.314341,819,14293
Feb 19 2018,0.311630,0.333836,0.284551,0.304704,322,14604
Feb 18 2018,0.388162,0.388162,0.308936,0.313069,343,18191
Feb 17 2018,0.356569,0.389375,0.319101,0.387086,559,16710
Feb 16 2018,0.350139,0.357776,0.312057,0.356650,135,16409
Feb 15 2018,0.284344,0.353377,0.281120,0.351641,254,13326
Feb 14 2018,0.223553,0.330429,0.223553,0.284190,414,10477
Feb 13 2018,0.215409,0.297504,0.203172,0.224222,38,10095
Feb 12 2018,0.283722,0.312863,0.193641,0.215018,410,13296
Feb 11 2018,0.298129,0.298129,0.274933,0.281925,163,13972
Feb 10 2018,0.304024,0.316753,0.252363,0.298384,520,14248
Feb 09 2018,0.288925,0.305123,0.233455,0.303802,252,13540
Feb 08 2018,0.293921,0.295889,0.282182,0.288039,196,13774
