Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.414636,0.438807,0.407186,0.412635,578426,-
Mar 30 2018,0.427964,0.443075,0.400191,0.417185,670754,-
Mar 29 2018,0.469375,0.472698,0.408980,0.427913,312247,-
Mar 28 2018,0.386143,0.559960,0.383740,0.468290,491814,-
Mar 27 2018,0.446379,0.449144,0.385241,0.387136,570514,-
Mar 26 2018,0.410030,0.451032,0.400811,0.448099,608302,-
Mar 25 2018,0.398072,0.420697,0.386954,0.412977,243459,-
Mar 24 2018,0.428544,0.429875,0.400258,0.401989,252425,-
Mar 23 2018,0.394576,0.424799,0.373839,0.423790,509451,-
Mar 22 2018,0.401899,0.414541,0.373526,0.394354,502506,-
Mar 21 2018,0.404636,0.413821,0.386433,0.402766,323438,-
Mar 20 2018,0.393171,0.408229,0.356709,0.401222,494825,-
Mar 19 2018,0.376337,0.396391,0.350811,0.389437,591169,-
Mar 18 2018,0.436581,0.439837,0.339318,0.375793,658609,-
Mar 17 2018,0.503009,0.503009,0.432758,0.437566,707496,-
Mar 16 2018,0.502457,0.533082,0.483076,0.498885,803699,-
Mar 15 2018,0.570788,0.574640,0.488228,0.500170,865507,-
Mar 14 2018,0.684947,0.697415,0.556033,0.570482,873442,-
Mar 13 2018,0.741636,0.781954,0.676657,0.684120,1217840,-
Mar 12 2018,0.917171,0.926071,0.706377,0.739385,528194,-
Mar 11 2018,0.701586,1.02,0.612217,0.897235,959874,-
Mar 10 2018,0.728402,0.992143,0.580784,0.704527,285048,-
Mar 09 2018,0.744052,0.751328,0.413484,0.728772,8081,-
Mar 08 2018,0.809023,0.819385,0.354787,0.745421,13413,-
Mar 07 2018,0.858165,0.864669,0.650519,0.810298,16602,-
Mar 06 2018,0.994291,0.994291,0.737782,0.857323,11666,-
Mar 05 2018,1.01,1.01,0.775202,0.994492,32583,-
Mar 04 2018,1.04,1.05,0.948652,1.01,34012,-
Mar 03 2018,1.04,1.05,0.998941,1.04,8621,-
Mar 02 2018,0.999706,1.06,0.935447,1.04,17013,-
Mar 01 2018,0.983282,1.07,0.923376,0.999993,24542,-
Feb 28 2018,1.09,1.09,0.940415,0.982969,30330,-
Feb 27 2018,1.09,1.11,0.939882,1.09,30986,-
Feb 26 2018,0.981605,1.14,0.975861,1.09,11145,-
Feb 25 2018,0.970565,1.10,0.958682,0.980964,10021,-
Feb 24 2018,1.10,1.30,0.969385,0.972845,40612,-
Feb 23 2018,1.09,1.16,0.968855,1.10,35780,-
Feb 22 2018,1.08,1.10,0.886488,1.09,81301,-
Feb 21 2018,1.12,1.19,0.976596,1.08,102200,-
Feb 20 2018,1.10,1.25,1.10,1.17,106346,-
Feb 19 2018,0.958250,1.27,0.886353,1.10,101095,-
Feb 18 2018,1.51,1.61,0.785769,0.889134,318123,-
Feb 17 2018,0.965387,1.69,0.868895,1.56,468801,-
