Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.003077,0.003239,0.003068,0.003119,8,200513
Mar 30 2018,0.003329,0.003384,0.002976,0.003076,24,216979
Mar 29 2018,0.003653,0.003659,0.003103,0.003338,104,238068
Mar 28 2018,0.003426,0.003673,0.003378,0.003649,137,223288
Mar 27 2018,0.003676,0.003688,0.003423,0.003427,10,239574
Mar 26 2018,0.003882,0.003904,0.003533,0.003682,3,253016
Mar 25 2018,0.003741,0.003972,0.003602,0.003885,102,243828
Mar 24 2018,0.004456,0.005994,0.003743,0.003794,281,290398
Mar 23 2018,0.004786,0.006954,0.003204,0.004392,917,311891
Mar 22 2018,0.003611,0.011702,0.003476,0.004786,3675,235350
Mar 21 2018,0.003651,0.003755,0.003602,0.003646,1,237925
Mar 20 2018,0.003622,0.003694,0.003339,0.003644,28,236034
Mar 19 2018,0.003440,0.003645,0.003407,0.003582,242,224183
Mar 18 2018,0.003233,0.003454,0.002998,0.003454,13,210730
Mar 17 2018,0.003404,0.003482,0.003176,0.003241,5,221815
Mar 16 2018,0.003222,0.003496,0.003101,0.003398,13,209957
Mar 15 2018,0.003283,0.003458,0.003037,0.003223,155,213945
Mar 14 2018,0.003385,0.005592,0.003121,0.003284,218,220620
Mar 13 2018,0.003090,0.005994,0.002881,0.003385,1171,201390
Mar 12 2018,0.003341,0.008012,0.002137,0.003108,5420,217705
Mar 11 2018,0.003422,0.003549,0.003195,0.003351,6,223038
Mar 10 2018,0.003056,0.003695,0.003051,0.003434,783,199142
Mar 09 2018,0.004461,0.005964,0.002181,0.003054,759,290717
Mar 08 2018,0.003363,0.004844,0.003360,0.004489,27,219157
Mar 07 2018,0.004824,0.004896,0.003068,0.003368,382,314353
Mar 06 2018,0.004500,0.005290,0.004350,0.004830,851,293251
Mar 04 2018,0.006864,0.006869,0.006846,0.006869,9,447327
Mar 03 2018,0.007493,0.007528,0.006618,0.006876,9,488338
Mar 02 2018,0.007196,0.007558,0.006483,0.007502,36,468997
Mar 01 2018,0.006401,0.007302,0.006352,0.007215,3,417191
Feb 28 2018,0.007039,0.007105,0.006386,0.006392,128,458707
Feb 27 2018,0.006909,0.008320,0.006824,0.007047,38,450254
Feb 26 2018,0.006871,0.006978,0.006823,0.006889,3,447798
Feb 25 2018,0.006399,0.006510,0.006150,0.006348,5,417054
Feb 24 2018,0.006494,0.006719,0.006358,0.006409,5,423212
Feb 23 2018,0.008860,0.008912,0.006316,0.006502,11,577442
Feb 22 2018,0.008582,0.008969,0.006713,0.008869,265,559330
Feb 21 2018,0.006954,0.008656,0.006625,0.008591,12,453214
Feb 20 2018,0.007932,0.008254,0.006888,0.006963,9,516920
Feb 19 2018,0.009349,0.010132,0.007456,0.007925,84,609278
Feb 18 2018,0.009879,0.010155,0.009192,0.009392,194,643792
Feb 16 2018,0.008072,0.008219,0.007799,0.008083,4,526084
Feb 15 2018,0.007675,0.008162,0.007588,0.008107,5,500170
Feb 14 2018,0.005872,0.007690,0.005872,0.007671,22,382670
Feb 13 2018,0.006317,0.006346,0.005853,0.005889,6,411702
Feb 12 2018,0.006809,0.007445,0.006060,0.006306,5,443771
Feb 11 2018,0.007524,0.007524,0.005423,0.006766,13,490331
Feb 10 2018,0.007646,0.007966,0.006027,0.007530,14,498311
Feb 09 2018,0.005778,0.007674,0.005442,0.007641,3,376590
Feb 08 2018,0.005796,0.005833,0.005611,0.005761,32,377738
Feb 06 2018,0.006107,0.006416,0.005225,0.006234,3,398031
Feb 05 2018,0.007227,0.007419,0.005866,0.006100,3,470996
Feb 04 2018,0.007922,0.007973,0.005469,0.007298,8,516298
Feb 03 2018,0.007888,0.008123,0.007299,0.008080,56,514057
Feb 02 2018,0.008173,0.008173,0.006941,0.007861,55,532663
Feb 01 2018,0.009153,0.009193,0.007778,0.008190,13,596535
Jan 31 2018,0.008715,0.009311,0.008673,0.009132,3,567940
Jan 30 2018,0.008400,0.009212,0.007091,0.008801,77,547424
Jan 29 2018,0.008932,0.010189,0.008063,0.008397,405,582100
Jan 28 2018,0.009134,0.009553,0.008891,0.008940,31,595256
Jan 27 2018,0.009012,0.009715,0.008791,0.009087,33,587308
Jan 26 2018,0.009486,0.009494,0.008422,0.009018,78,618232
Jan 25 2018,0.007988,0.009641,0.007345,0.009512,94,520608
Jan 24 2018,0.005420,0.008017,0.005302,0.007859,123,353220
Jan 23 2018,0.005604,0.005687,0.005423,0.005423,122,365230
Jan 22 2018,0.008474,0.008700,0.008261,0.008622,71,552248
Jan 21 2018,0.009338,0.009338,0.008182,0.008360,69,608553
Jan 20 2018,0.010453,0.011446,0.009026,0.009316,74,681254
Jan 19 2018,0.005638,0.010588,0.005515,0.010341,244,367462
Jan 18 2018,0.005570,0.009321,0.005470,0.005698,111,362976
Jan 17 2018,0.009023,0.009254,0.005037,0.005548,77,588069
Jan 16 2018,0.010795,0.010795,0.008022,0.009070,5,703550
Jan 15 2018,0.008898,0.011378,0.008850,0.010782,11,579888
Jan 14 2018,0.011489,0.011489,0.008757,0.008963,128,748733
Jan 13 2018,0.010435,0.011686,0.009672,0.011481,162,680080
Jan 12 2018,0.009447,0.011104,0.009168,0.010447,92,615646
Jan 11 2018,0.011686,0.011728,0.009213,0.009385,21,761563
Jan 10 2018,0.011245,0.011699,0.010510,0.011699,74,732876
Jan 09 2018,0.012048,0.012296,0.008436,0.011231,484,785173
Jan 08 2018,0.010422,0.013764,0.010070,0.012081,1647,679236
Jan 07 2018,0.010322,0.010570,0.009534,0.010437,144,672664
Jan 06 2018,0.011040,0.012400,0.010166,0.010329,123,719461
Jan 05 2018,0.009716,0.012775,0.009408,0.011031,97,633198
Jan 04 2018,0.010800,0.012210,0.009195,0.009714,234,703824
Jan 03 2018,0.012610,0.013143,0.009756,0.010741,123,821832
Jan 02 2018,0.008776,0.012716,0.008768,0.012655,284,571935
Jan 01 2018,0.011045,0.011951,0.008445,0.008777,203,719829
Dec 31 2017,0.007756,0.011177,0.007679,0.011003,426,505455
Dec 30 2017,0.008697,0.008700,0.007304,0.007816,7,566823
Dec 29 2017,0.010299,0.010416,0.008646,0.008719,1109,671204
Dec 28 2017,0.006672,0.006700,0.005926,0.006032,32,434811
Dec 27 2017,0.006335,0.006694,0.005889,0.006686,35,412845
Dec 26 2017,0.005433,0.006392,0.005410,0.006330,3,354046
Dec 25 2017,0.005353,0.005524,0.005099,0.005438,11,348862
Dec 24 2017,0.005697,0.005697,0.004775,0.005298,1,371247
Dec 23 2017,0.005516,0.006263,0.005438,0.005634,9,359475
Dec 22 2017,0.003928,0.005949,0.003191,0.005464,9,256008
Dec 21 2017,0.004615,0.005110,0.003817,0.003915,262,300784
Dec 20 2017,0.007047,0.009987,0.004525,0.004603,1097,459292
Dec 19 2017,0.006697,0.007291,0.006216,0.007054,5,436433
Dec 18 2017,0.007653,0.007653,0.006535,0.006691,10,498738
Dec 17 2017,0.006427,0.007987,0.006299,0.007630,2,418874
Dec 16 2017,0.006353,0.007395,0.005882,0.006426,2195,414023
Dec 15 2017,0.005972,0.006507,0.005970,0.006344,2,389172
Dec 14 2017,0.005731,0.005988,0.005667,0.005963,8,373522
Dec 13 2017,0.005528,0.006083,0.005269,0.005750,10,360286
Dec 12 2017,0.005893,0.005976,0.005325,0.005524,211,384042
Dec 11 2017,0.006709,0.007379,0.005727,0.005874,2,437211
Dec 10 2017,0.006195,0.006940,0.005907,0.006757,620,403734
Dec 09 2017,0.007319,0.007427,0.006095,0.006511,16,476969
Dec 08 2017,0.008157,0.008279,0.006478,0.007326,71,531602
Dec 07 2017,0.006181,0.008388,0.006181,0.008138,72,402831
Dec 06 2017,0.005382,0.006200,0.005382,0.006192,44,350774
Dec 05 2017,0.006395,0.006554,0.005391,0.005394,5,416789
Dec 03 2017,0.006012,0.006500,0.005973,0.006444,7,391836
Dec 02 2017,0.004571,0.006076,0.004506,0.006007,6,297925
Dec 01 2017,0.004897,0.005856,0.004053,0.004575,45,319117
Nov 30 2017,0.004128,0.005647,0.003779,0.004921,43,269029
Nov 29 2017,0.003971,0.004804,0.003819,0.004066,4,258806
Nov 28 2017,0.003317,0.005788,0.003285,0.003975,438,216161
Nov 27 2017,0.002982,0.003314,0.002824,0.003308,547,194318
Nov 26 2017,0.002711,0.002981,0.002708,0.002981,6,176701
Nov 25 2017,0.002545,0.002712,0.002466,0.002712,263,165866
Nov 24 2017,0.002652,0.002668,0.002539,0.002550,37,172848
Nov 23 2017,0.002714,0.002728,0.002656,0.002656,6,176894
Nov 22 2017,0.002759,0.002818,0.002674,0.002715,1,179793
Nov 21 2017,0.003214,0.003221,0.002713,0.002752,21,209470
Nov 20 2017,0.003539,0.003547,0.002695,0.003214,286,230646
Nov 19 2017,0.003193,0.003569,0.003174,0.003541,26,208067
Nov 18 2017,0.003536,0.003821,0.002434,0.003199,272,230438
Nov 17 2017,0.004550,0.004657,0.003550,0.003550,866,296522
Nov 16 2017,0.004236,0.004642,0.004141,0.004557,9,276049
Nov 15 2017,0.003835,0.004431,0.003835,0.004214,4,249913
Nov 14 2017,0.003984,0.004100,0.003769,0.003832,5,259630
Nov 13 2017,0.003464,0.004439,0.003437,0.003975,7,225738
Nov 12 2017,0.004326,0.004358,0.003294,0.003459,4,281904
Nov 11 2017,0.003748,0.004370,0.003490,0.004329,48,244239
Nov 10 2017,0.005061,0.005176,0.003677,0.003761,25,329862
Nov 09 2017,0.004182,0.005047,0.004048,0.005047,37,272529
Nov 08 2017,0.005029,0.005333,0.003939,0.004186,168,327744
Nov 07 2017,0.004802,0.004969,0.004802,0.004934,1,312931
Nov 06 2017,0.005101,0.005123,0.004792,0.004809,1,332465
Nov 05 2017,0.005164,0.005251,0.004937,0.005090,54,336527
Nov 04 2017,0.005089,0.005223,0.004972,0.005174,4,331624
Nov 03 2017,0.004846,0.005301,0.004792,0.005102,2,315823
Nov 02 2017,0.004845,0.005118,0.004727,0.004852,23,315728
Nov 01 2017,0.004640,0.004848,0.004392,0.004839,112,302369
Oct 31 2017,0.005523,0.005794,0.004643,0.004643,57,359932
Oct 27 2017,0.005357,0.005457,0.005186,0.005257,3,349121
Oct 26 2017,0.005161,0.005374,0.005127,0.005356,3,336344
Oct 25 2017,0.005518,0.005563,0.004904,0.005162,9,359633
Oct 24 2017,0.005338,0.005762,0.005064,0.005516,16,347861
Oct 23 2017,0.005381,0.005461,0.005154,0.005349,5,350709
Oct 22 2017,0.005412,0.005460,0.005215,0.005390,56,352727
Oct 21 2017,0.005825,0.005965,0.005312,0.005411,28,379621
Oct 20 2017,0.005819,0.005989,0.005733,0.005837,3,379208
Oct 19 2017,0.005699,0.005856,0.005520,0.005817,22,371409
Oct 18 2017,0.005433,0.005723,0.005090,0.005696,5,354055
Oct 17 2017,0.005721,0.005738,0.005399,0.005432,24,372860
Oct 16 2017,0.005635,0.005750,0.005511,0.005720,12,367237
Oct 15 2017,0.005793,0.005811,0.005401,0.005634,2,377519
Oct 14 2017,0.005825,0.005964,0.005657,0.005782,20,379644
Oct 13 2017,0.005587,0.006053,0.005468,0.005824,172,364134
Oct 12 2017,0.004778,0.005228,0.004766,0.005228,182,311385
Oct 11 2017,0.006131,0.006131,0.004748,0.004774,166,399595
Oct 10 2017,0.006031,0.006210,0.006010,0.006143,0,393019
Oct 09 2017,0.005800,0.006136,0.005743,0.006031,1,377960
Oct 08 2017,0.005643,0.005989,0.005605,0.005798,79,367785
Oct 07 2017,0.005642,0.006103,0.005451,0.005659,38,367711
Oct 06 2017,0.006615,0.006770,0.005587,0.005640,20,431120
Oct 05 2017,0.006543,0.006681,0.005291,0.006615,225,426426
Oct 04 2017,0.006619,0.006738,0.006504,0.006537,9,431371
Oct 03 2017,0.005900,0.005933,0.005760,0.005760,6,384496
Oct 02 2017,0.005624,0.005984,0.005620,0.005900,6,366551
Oct 01 2017,0.006300,0.006933,0.005459,0.005627,171,410578
Sep 30 2017,0.005507,0.006297,0.005502,0.006297,62,358900
Sep 29 2017,0.005829,0.005890,0.005481,0.005506,2,379890
Sep 28 2017,0.006017,0.006092,0.005381,0.005834,6,392115
Sep 27 2017,0.005133,0.006041,0.005133,0.006016,248,334520
Sep 26 2017,0.005742,0.005892,0.005138,0.005147,108,374216
Sep 25 2017,0.005362,0.005788,0.005360,0.005733,1,349425
Sep 24 2017,0.006327,0.006327,0.005350,0.005367,136,412325
Sep 23 2017,0.005988,0.006372,0.005931,0.006327,3,390248
Sep 22 2017,0.005612,0.006468,0.004667,0.006005,2389,365762
Sep 21 2017,0.008263,0.008319,0.005443,0.005619,3219,538519
Sep 20 2017,0.006698,0.008451,0.006499,0.008304,214,436496
Sep 19 2017,0.009888,0.009941,0.009316,0.009414,1,644438
Sep 18 2017,0.009201,0.009951,0.006856,0.009865,1022,599630
Sep 17 2017,0.008729,0.009460,0.008590,0.009219,7,568872
Sep 16 2017,0.006899,0.009702,0.006891,0.008735,279,449634
Sep 15 2017,0.006067,0.007113,0.005530,0.006917,221,395422
Sep 14 2017,0.007211,0.007797,0.006021,0.006021,497,469976
Sep 13 2017,0.008637,0.008668,0.007064,0.007212,34,562885
Sep 12 2017,0.009312,0.009675,0.008533,0.008670,3,606880
Sep 11 2017,0.007990,0.009342,0.007777,0.009303,21,520741
Sep 10 2017,0.008143,0.009220,0.007610,0.008004,4,530675
Sep 09 2017,0.007792,0.009502,0.007571,0.008164,18,507804
Sep 08 2017,0.010055,0.010241,0.007419,0.007777,280,655318
Sep 07 2017,0.008770,0.010242,0.008216,0.010053,800,571538
Sep 06 2017,0.008884,0.009887,0.008672,0.008787,87,578994
Sep 05 2017,0.010636,0.010831,0.008117,0.008874,96,693163
Sep 04 2017,0.012471,0.012480,0.010382,0.010581,1149,812766
Sep 03 2017,0.012681,0.013237,0.011080,0.012467,43,826400
Sep 02 2017,0.013245,0.013998,0.012356,0.012672,25,863208
Sep 01 2017,0.014167,0.014462,0.011543,0.013229,271,923286
Aug 31 2017,0.013601,0.014243,0.013558,0.014165,75,886392
Aug 30 2017,0.013461,0.013817,0.013400,0.013625,22,877238
Aug 29 2017,0.012947,0.013697,0.012831,0.013478,3,843775
Aug 28 2017,0.012769,0.013014,0.012341,0.012925,96,832181
Aug 27 2017,0.012728,0.012897,0.012657,0.012783,2,829513
Aug 26 2017,0.013055,0.013089,0.012548,0.012731,449,850818
Aug 25 2017,0.012813,0.015651,0.012813,0.013030,9,835042
Aug 24 2017,0.010399,0.015154,0.010388,0.012833,1812,677702
Aug 23 2017,0.010011,0.010565,0.008370,0.010394,383,652418
Aug 22 2017,0.009522,0.010402,0.007750,0.010031,122,620572
Aug 21 2017,0.008519,0.009746,0.008334,0.009500,34,555220
