Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.004670,0.004927,0.004482,0.004780,588,130635
Mar 30 2018,0.004935,0.005225,0.004539,0.004668,158,138029
Mar 29 2018,0.005714,0.006158,0.004820,0.004940,481,159819
Mar 28 2018,0.005543,0.006453,0.005514,0.005707,232,155054
Mar 27 2018,0.006128,0.006293,0.005538,0.005544,189,171404
Mar 26 2018,0.006451,0.006671,0.005838,0.006138,210,180442
Mar 25 2018,0.006119,0.006516,0.006101,0.006444,59,171156
Mar 24 2018,0.006436,0.007300,0.006172,0.006184,225,180020
Mar 23 2018,0.007292,0.007298,0.005575,0.006353,487,203972
Mar 22 2018,0.007383,0.007640,0.006402,0.007290,395,206525
Mar 21 2018,0.007868,0.008091,0.006950,0.007379,2673,220065
Mar 20 2018,0.007887,0.009238,0.006929,0.007847,1760,220618
Mar 19 2018,0.007754,0.008154,0.006864,0.007871,546,216889
Mar 18 2018,0.006432,0.007772,0.005852,0.007760,370,179910
Mar 17 2018,0.007534,0.007875,0.006339,0.006444,578,210746
Mar 16 2018,0.008543,0.008711,0.006877,0.007542,358,238955
Mar 15 2018,0.006900,0.008975,0.006900,0.008556,329,193003
Mar 14 2018,0.008339,0.009527,0.006649,0.006903,646,233261
Mar 13 2018,0.008721,0.009054,0.008182,0.008339,131,243940
Mar 12 2018,0.009063,0.009678,0.008276,0.008727,375,253491
Mar 11 2018,0.008316,0.009387,0.007919,0.009071,312,232609
Mar 10 2018,0.010405,0.010526,0.008174,0.008354,436,291039
Mar 09 2018,0.009629,0.010729,0.008274,0.010390,389,269345
Mar 08 2018,0.012004,0.012202,0.009488,0.009665,461,335766
Mar 07 2018,0.013624,0.014378,0.009039,0.012017,1213,381094
Mar 06 2018,0.016116,0.016194,0.012790,0.013647,1192,450777
Mar 05 2018,0.010810,0.016194,0.010810,0.016123,2460,302373
Mar 04 2018,0.012025,0.012745,0.010136,0.010809,379,336339
Mar 03 2018,0.013248,0.013848,0.009409,0.012037,2710,370571
Mar 02 2018,0.012352,0.015888,0.012352,0.013263,310,345492
Mar 01 2018,0.015302,0.015952,0.009359,0.012373,2169,428014
Feb 28 2018,0.016463,0.017497,0.014677,0.015274,2443,460485
Feb 27 2018,0.016921,0.018221,0.016478,0.016478,643,473316
Feb 26 2018,0.012100,0.017659,0.012100,0.016907,563,338445
Feb 25 2018,0.017214,0.029449,0.011609,0.012091,22024,481504
Feb 24 2018,0.019042,0.022663,0.016843,0.017235,1176,532631
Feb 23 2018,0.020578,0.020838,0.017169,0.019076,1237,575604
Feb 22 2018,0.019923,0.022585,0.017565,0.020599,1603,557258
Feb 21 2018,0.025518,0.026199,0.019796,0.019939,881,713778
Feb 20 2018,0.027387,0.027848,0.022549,0.025531,1209,766051
Feb 19 2018,0.021968,0.027897,0.020409,0.027350,2954,614467
Feb 18 2018,0.030623,0.030844,0.021267,0.022074,4632,856568
Feb 17 2018,0.024105,0.030611,0.023644,0.030555,4420,674252
Feb 16 2018,0.027348,0.029578,0.023412,0.024117,8344,764966
Feb 15 2018,0.028238,0.029476,0.024732,0.027466,4453,789848
Feb 14 2018,0.024794,0.028308,0.023200,0.028243,8994,693528
Feb 13 2018,0.024437,0.026370,0.022807,0.024861,3580,683523
Feb 12 2018,0.022219,0.026382,0.022114,0.024355,2682,621505
Feb 11 2018,0.024561,0.025492,0.021270,0.022087,3087,687002
Feb 10 2018,0.026050,0.029681,0.023346,0.024584,7612,728643
Feb 09 2018,0.023248,0.026948,0.022261,0.026038,2604,650279
Feb 08 2018,0.022967,0.027503,0.022921,0.023178,2116,642420
Feb 07 2018,0.022033,0.029442,0.020688,0.023060,10527,616298
Feb 06 2018,0.025180,0.028127,0.016311,0.022216,13108,704326
Feb 05 2018,0.029488,0.033160,0.019863,0.025140,19641,824824
Feb 04 2018,0.035376,0.037562,0.024392,0.029776,14910,989505
Feb 03 2018,0.026541,0.046529,0.023517,0.028785,49636,742378
Feb 02 2018,0.030159,0.034399,0.024250,0.026416,17570,843575
Feb 01 2018,0.029046,0.037352,0.024663,0.027334,14397,812444
Jan 31 2018,0.035497,0.044544,0.027356,0.028973,37118,992899
Jan 30 2018,0.015749,0.057329,0.014863,0.035440,214133,440519
Jan 29 2018,0.014940,0.016180,0.011602,0.015731,6903,417894
Jan 28 2018,0.011989,0.015024,0.011989,0.014960,6286,335359
Jan 27 2018,0.011351,0.012415,0.011131,0.011977,348,317508
Jan 26 2018,0.012697,0.013848,0.010903,0.011376,2401,355138
Jan 25 2018,0.012785,0.013558,0.011922,0.012705,2556,357609
Jan 24 2018,0.011333,0.012766,0.011134,0.012643,2388,317005
Jan 23 2018,0.011652,0.012696,0.010133,0.011337,1577,325924
Jan 22 2018,0.013838,0.014021,0.011158,0.011680,1855,387075
Jan 21 2018,0.012559,0.014285,0.012509,0.013673,3442,351305
Jan 20 2018,0.012735,0.013989,0.012735,0.013896,3416,356225
Jan 19 2018,0.013078,0.014361,0.012286,0.012623,3102,365802
Jan 18 2018,0.013599,0.015935,0.012724,0.013129,2854,380373
Jan 17 2018,0.012484,0.014220,0.009610,0.013560,3467,348898
Jan 16 2018,0.018350,0.019961,0.011446,0.012548,2325,512847
Jan 15 2018,0.022485,0.024528,0.014812,0.018333,7180,628338
Jan 14 2018,0.033744,0.034521,0.022514,0.022625,6478,942416
Jan 13 2018,0.020337,0.035554,0.020337,0.033803,5390,567702
Jan 12 2018,0.025492,0.111306,0.020288,0.020402,17426,710588
Jan 11 2018,0.027595,0.033682,0.021924,0.025413,10862,768432
Jan 10 2018,0.017669,0.030194,0.017050,0.027454,20519,491695
Jan 09 2018,0.016017,0.023460,0.014086,0.017645,12520,445330
Jan 08 2018,0.021889,0.021889,0.013388,0.014959,4199,607552
Jan 07 2018,0.015391,0.021809,0.015114,0.021809,10367,425962
Jan 06 2018,0.014989,0.020415,0.014769,0.015419,13011,413490
Jan 05 2018,0.014693,0.016143,0.012730,0.015046,5230,404793
Jan 04 2018,0.011818,0.014847,0.011154,0.014683,4589,325126
Jan 03 2018,0.015668,0.015832,0.011224,0.011781,5179,430048
Jan 02 2018,0.009588,0.015942,0.009309,0.015722,10179,262717
