Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000205,0.000216,0.000136,0.000208,305,252384
Mar 30 2018,0.000142,0.000210,0.000132,0.000205,3066,173745
Mar 29 2018,0.000159,0.000237,0.000138,0.000142,2175,193797
Mar 28 2018,0.000311,0.000323,0.000157,0.000159,1947,378171
Mar 27 2018,0.000163,0.000406,0.000155,0.000312,17272,197263
Mar 26 2018,0.000169,0.000170,0.000157,0.000164,1532,202724
Mar 25 2018,0.000170,0.000257,0.000168,0.000169,1764,203130
Mar 24 2018,0.000178,0.000180,0.000172,0.000172,1760,211763
Mar 23 2018,0.000174,0.000176,0.000166,0.000176,585,205664
Mar 22 2018,0.000178,0.000264,0.000170,0.000174,1071,209113
Mar 21 2018,0.000267,0.000272,0.000176,0.000178,1700,312321
Mar 20 2018,0.000259,0.000353,0.000167,0.000267,6938,300799
Mar 19 2018,0.000164,0.000258,0.000163,0.000256,1068,189473
Mar 18 2018,0.000158,0.000247,0.000146,0.000164,1644,181482
Mar 17 2018,0.000249,0.000249,0.000155,0.000158,1276,284989
Mar 16 2018,0.000165,0.000257,0.000159,0.000249,903,188060
Mar 15 2018,0.000164,0.000247,0.000154,0.000165,866,185837
Mar 14 2018,0.000274,0.000372,0.000160,0.000164,5210,309039
Mar 13 2018,0.000364,0.000379,0.000274,0.000274,4118,402342
Mar 12 2018,0.000477,0.000583,0.000352,0.000366,1764,528138
Mar 11 2018,0.000439,0.000584,0.000258,0.000479,21115,485581
Mar 10 2018,0.000370,0.000471,0.000366,0.000440,1240,409908
Mar 09 2018,0.000372,0.000455,0.000252,0.000278,17504,411402
Mar 08 2018,0.000297,0.000378,0.000272,0.000374,256,328378
Mar 07 2018,0.000322,0.000503,0.000283,0.000297,3493,-
Mar 06 2018,0.000345,0.000548,0.000319,0.000322,1546,-
Mar 05 2018,0.000345,0.000466,0.000343,0.000346,291,-
Mar 04 2018,0.000343,0.000449,0.000333,0.000345,17495,-
Mar 03 2018,0.000220,0.000460,0.000220,0.000344,10506,-
Mar 02 2018,0.000218,0.000335,0.000217,0.000221,272,-
Mar 01 2018,0.000207,0.000324,0.000205,0.000219,228,-
Feb 28 2018,0.000213,0.000320,0.000206,0.000206,87,-
Feb 27 2018,0.000206,0.000321,0.000205,0.000214,982,-
Feb 26 2018,0.000288,0.000312,0.000188,0.000206,195,-
Feb 25 2018,0.000194,0.000290,0.000186,0.000287,26,-
Feb 24 2018,0.000203,0.000306,0.000188,0.000194,370,-
Feb 23 2018,0.000197,0.000207,0.000192,0.000203,325,-
Feb 22 2018,0.000209,0.000218,0.000195,0.000197,825,-
Feb 21 2018,0.000224,0.000225,0.000205,0.000210,91,-
Feb 20 2018,0.000223,0.000352,0.000222,0.000225,114,-
Feb 19 2018,0.000208,0.000225,0.000207,0.000223,713,-
Feb 18 2018,0.000222,0.000326,0.000204,0.000209,161,-
Feb 17 2018,0.000204,0.000222,0.000201,0.000221,15,-
Feb 16 2018,0.000303,0.000308,0.000195,0.000204,1037,-
Feb 15 2018,0.000284,0.000306,0.000190,0.000304,423,-
Feb 14 2018,0.000170,0.000285,0.000170,0.000284,1741,-
Feb 13 2018,0.000178,0.000262,0.000168,0.000171,4281,-
Feb 12 2018,0.000243,0.000244,0.000163,0.000178,211,-
