Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.002182,0.002334,0.002141,0.002232,6,88316
Mar 30 2018,0.002047,0.002374,0.001903,0.002182,62,82853
Mar 29 2018,0.002472,0.002530,0.001992,0.002052,108,100064
Mar 28 2018,0.002492,0.002574,0.002175,0.002469,49,100866
Mar 27 2018,0.002859,0.002868,0.002108,0.002493,2519,115731
Mar 26 2018,0.002962,0.002982,0.002748,0.002864,69,119898
Mar 25 2018,0.002901,0.003116,0.002886,0.002964,18,117414
Mar 24 2018,0.003207,0.003228,0.002934,0.002941,652,129830
Mar 23 2018,0.003132,0.003304,0.003089,0.003161,319,126758
Mar 22 2018,0.003558,0.003614,0.003081,0.003132,355,144026
Mar 21 2018,0.003295,0.003565,0.003251,0.003565,7,133356
Mar 20 2018,0.003191,0.003523,0.003088,0.003289,874,129146
Mar 19 2018,0.003040,0.003432,0.002868,0.003155,440,123048
Mar 18 2018,0.003158,0.003186,0.002636,0.003053,521,127815
Mar 17 2018,0.003173,0.003415,0.003128,0.003165,145,128434
Mar 16 2018,0.003382,0.003403,0.003165,0.003168,541,136903
Mar 15 2018,0.003291,0.003585,0.003086,0.003384,1253,133213
Mar 14 2018,0.003479,0.005977,0.003277,0.003293,8629,140820
Mar 13 2018,0.003910,0.007394,0.003201,0.003479,11282,158262
Mar 12 2018,0.003144,0.004618,0.003095,0.003933,1399,127277
Mar 11 2018,0.003192,0.003375,0.002993,0.003154,99,129188
Mar 10 2018,0.003175,0.003384,0.003168,0.003203,57,128505
Mar 09 2018,0.003280,0.003319,0.002893,0.003173,344,132764
Mar 08 2018,0.003698,0.003745,0.003100,0.003301,303,149690
Mar 07 2018,0.004076,0.004137,0.003403,0.003703,442,164976
Mar 06 2018,0.004029,0.004231,0.003817,0.004080,472,163084
Mar 05 2018,0.004033,0.004440,0.003692,0.004386,784,163227
Mar 04 2018,0.004247,0.004374,0.003776,0.004036,544,171888
Mar 03 2018,0.004300,0.004820,0.003753,0.004254,1039,174046
Mar 02 2018,0.004487,0.006287,0.003417,0.004305,11463,181602
Mar 01 2018,0.004301,0.004540,0.003851,0.004498,572,174083
Feb 28 2018,0.004373,0.004534,0.003585,0.004294,1095,177009
Feb 27 2018,0.004320,0.005172,0.004261,0.004374,267,174856
Feb 26 2018,0.003663,0.007575,0.003610,0.004309,1354,148250
Feb 25 2018,0.003631,0.003848,0.003458,0.003658,92,146974
Feb 24 2018,0.004053,0.004190,0.003523,0.003637,244,164070
Feb 23 2018,0.003938,0.004349,0.003841,0.004059,168,159397
Feb 22 2018,0.004181,0.004358,0.003900,0.003942,12,169252
Feb 21 2018,0.004706,0.004886,0.004104,0.004186,241,190502
Feb 20 2018,0.004442,0.005268,0.004377,0.004712,304,179802
Feb 19 2018,0.004249,0.004513,0.004236,0.004438,74,171989
Feb 18 2018,0.004554,0.004634,0.004080,0.004269,288,184349
Feb 17 2018,0.004723,0.005039,0.004065,0.004540,565,191156
Feb 16 2018,0.004351,0.004948,0.004222,0.004932,559,176102
Feb 15 2018,0.004081,0.004374,0.003585,0.004369,511,165202
Feb 14 2018,0.004165,0.004339,0.003718,0.004079,383,168580
Feb 13 2018,0.004619,0.005290,0.003687,0.004177,1723,186978
Feb 12 2018,0.004357,0.005588,0.002806,0.004611,6157,176355
Feb 11 2018,0.005151,0.005151,0.004294,0.004329,390,208497
Feb 10 2018,0.004953,0.005518,0.004825,0.005155,96,200469
Feb 09 2018,0.004369,0.005282,0.004055,0.004949,51,176826
Feb 08 2018,0.004469,0.007059,0.003895,0.004355,2133,180904
Feb 07 2018,0.004317,0.004971,0.004041,0.004487,118,174724
Feb 06 2018,0.004095,0.004505,0.003503,0.004360,137,165745
Feb 05 2018,0.004599,0.004946,0.003933,0.004090,142,186156
Feb 04 2018,0.005672,0.005958,0.004438,0.004644,304,229600
Feb 03 2018,0.005457,0.005826,0.005049,0.005669,563,220866
Feb 02 2018,0.005752,0.005752,0.004858,0.005438,897,232810
Feb 01 2018,0.006426,0.007282,0.005373,0.005764,575,260092
Jan 31 2018,0.007024,0.008322,0.006022,0.006411,2539,284296
Jan 30 2018,0.007688,0.009016,0.006554,0.007013,782,311175
Jan 29 2018,0.007567,0.008117,0.007309,0.007690,1287,306295
Jan 28 2018,0.008782,0.009075,0.007870,0.008762,928,355466
Jan 27 2018,0.007806,0.009001,0.007477,0.008737,2259,315972
Jan 26 2018,0.007511,0.008185,0.006470,0.007811,1079,304040
Jan 25 2018,0.006962,0.008166,0.006962,0.007531,503,281807
Jan 24 2018,0.008020,0.008701,0.006816,0.006849,3167,324646
Jan 23 2018,0.008446,0.009481,0.007116,0.008025,4520,341874
Jan 22 2018,0.009266,0.009544,0.007537,0.008469,376,375054
Jan 21 2018,0.009862,0.010994,0.008321,0.009141,2026,399168
Jan 20 2018,0.008753,0.011291,0.008222,0.009839,3077,354281
Jan 19 2018,0.009056,0.009786,0.007234,0.008659,2828,366554
Jan 18 2018,0.007366,0.009831,0.007235,0.009152,1576,298174
Jan 17 2018,0.007445,0.009704,0.006114,0.007338,2227,301368
Jan 16 2018,0.010813,0.011873,0.007119,0.007483,3473,437666
Jan 15 2018,0.012688,0.014758,0.009506,0.010799,6706,513559
Jan 14 2018,0.012259,0.013305,0.012074,0.013180,5063,496203
Jan 13 2018,0.016601,0.016734,0.011520,0.012916,12731,671966
Jan 12 2018,0.012802,0.016492,0.011270,0.016072,12960,518175
Jan 11 2018,0.013914,0.015612,0.010375,0.012593,14335,563202
Jan 10 2018,0.012871,0.013926,0.009834,0.013926,13905,520993
Jan 09 2018,0.008739,0.013738,0.006621,0.013262,45255,353729
Jan 08 2018,0.009596,0.011451,0.007234,0.008465,23410,388426
Jan 07 2018,0.009426,0.009994,0.006189,0.009610,13044,381540
Jan 06 2018,0.011398,0.012501,0.006477,0.009433,4954,461340
Jan 05 2018,0.006808,0.013326,0.005821,0.011464,8925,275562
Jan 04 2018,0.006052,0.007456,0.005903,0.006809,1538,244950
Jan 03 2018,0.006129,0.006570,0.005060,0.005426,881,248091
Jan 02 2018,0.003873,0.006402,0.003873,0.006149,1389,156775
