Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000205,0.000286,0.000205,0.000208,415,-
Mar 30 2018,0.000213,0.000287,0.000198,0.000205,142,-
Mar 29 2018,0.000238,0.000301,0.000207,0.000213,162,-
Mar 28 2018,0.000234,0.000322,0.000232,0.000238,74,-
Mar 27 2018,0.000327,0.000397,0.000233,0.000234,166,-
Mar 26 2018,0.000253,0.000405,0.000241,0.000327,7028,-
Mar 25 2018,0.000255,0.000343,0.000251,0.000253,291,-
Mar 24 2018,0.000267,0.000358,0.000258,0.000259,392,-
Mar 23 2018,0.000348,0.000349,0.000249,0.000264,448,-
Mar 22 2018,0.000267,0.000361,0.000256,0.000348,258,-
Mar 21 2018,0.000267,0.000358,0.000264,0.000267,279,-
Mar 20 2018,0.000345,0.000359,0.000250,0.000267,266,-
Mar 19 2018,0.000246,0.000344,0.000244,0.000341,551,-
Mar 18 2018,0.000315,0.000315,0.000219,0.000247,705,-
Mar 17 2018,0.000249,0.000331,0.000237,0.000316,885,-
Mar 16 2018,0.000248,0.000332,0.000239,0.000249,128,-
Mar 15 2018,0.000246,0.000316,0.000231,0.000248,411,-
Mar 14 2018,0.000274,0.000371,0.000240,0.000246,3064,-
Mar 13 2018,0.000364,0.000379,0.000272,0.000274,283,-
Mar 12 2018,0.000477,0.000493,0.000282,0.000366,542,-
Mar 11 2018,0.000351,0.000486,0.000274,0.000479,4907,-
Mar 10 2018,0.000370,0.000474,0.000350,0.000352,1042,-
Mar 09 2018,0.000372,0.000456,0.000336,0.000370,405,-
Mar 08 2018,0.000396,0.000496,0.000363,0.000374,281,-
Mar 07 2018,0.000429,0.000541,0.000378,0.000396,637,-
Mar 06 2018,0.000345,0.000566,0.000339,0.000429,3033,-
Mar 05 2018,0.000460,0.000577,0.000346,0.000346,1440,-
Mar 04 2018,0.000458,0.000566,0.000444,0.000460,848,-
Mar 03 2018,0.000441,0.000574,0.000338,0.000458,1703,-
Mar 02 2018,0.000545,0.000554,0.000432,0.000441,564,-
Mar 01 2018,0.000413,0.000549,0.000410,0.000547,4139,-
Feb 28 2018,0.000427,0.000538,0.000318,0.000412,4099,-
Feb 27 2018,0.000412,0.000433,0.000321,0.000427,561,-
Feb 26 2018,0.000383,0.000512,0.000288,0.000411,2038,-
Feb 25 2018,0.000388,0.000490,0.000292,0.000383,2130,-
Feb 24 2018,0.000406,0.000525,0.000376,0.000388,2405,-
Feb 23 2018,0.000394,0.000518,0.000384,0.000406,2072,-
Feb 22 2018,0.000523,0.000545,0.000393,0.000394,1123,-
Feb 21 2018,0.000449,0.000559,0.000415,0.000524,920,-
Feb 20 2018,0.000559,0.000702,0.000444,0.000449,9041,-
Feb 19 2018,0.000519,0.000672,0.000518,0.000558,2466,-
Feb 18 2018,0.000555,0.000664,0.000511,0.000522,3721,-
Feb 17 2018,0.000612,0.000749,0.000534,0.000553,4971,-
Feb 16 2018,0.000706,0.000719,0.000493,0.000612,5208,-
Feb 15 2018,0.000663,0.000710,0.000565,0.000709,7662,-
Feb 14 2018,0.000681,0.000754,0.000566,0.000663,16020,-
Feb 13 2018,0.000890,0.000963,0.000594,0.000683,37514,-
Feb 12 2018,0.000892,0.001233,0.000574,0.000888,249503,-
Feb 11 2018,0.000427,0.000915,0.000393,0.000725,226035,-
Feb 10 2018,0.000521,0.000533,0.000409,0.000428,3793,-
Feb 09 2018,0.000413,0.000523,0.000327,0.000521,1610,-
Feb 08 2018,0.000399,0.000510,0.000326,0.000411,2387,-
Apr 02 2017,7.5e-07,7.6e-07,7.3e-07,7.5e-07,0,-
