Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000068,0.000072,0.000068,0.000069,1,92756
Mar 30 2018,0.000071,0.000072,0.000066,0.000068,6,96102
Mar 29 2018,0.000079,0.000080,0.000069,0.000071,15,107734
Mar 28 2018,0.000078,0.000081,0.000077,0.000079,203,105639
Mar 27 2018,0.000082,0.000082,0.000078,0.000078,581,110825
Mar 26 2018,0.000084,0.000085,0.000079,0.000082,53,114499
Mar 25 2018,0.000085,0.000087,0.000084,0.000084,97,115357
Mar 24 2018,0.000089,0.000090,0.000086,0.000086,1612,120902
Mar 23 2018,0.000087,0.000088,0.000083,0.000088,84,118046
Mar 22 2018,0.000089,0.000091,0.000085,0.000087,20,120681
Mar 21 2018,0.000089,0.000092,0.000088,0.000089,19,120800
Mar 20 2018,0.000086,0.000090,0.000083,0.000089,29,116987
Mar 19 2018,0.000082,0.000087,0.000081,0.000085,52,111113
Mar 18 2018,0.000079,0.000083,0.000073,0.000082,183,106993
Mar 17 2018,0.000083,0.000083,0.000077,0.000079,93,112621
Mar 16 2018,0.000083,0.000086,0.000080,0.000083,49,112067
Mar 15 2018,0.000082,0.000084,0.000077,0.000083,129,111341
Mar 14 2018,0.000091,0.000094,0.000080,0.000082,1032,124124
Mar 13 2018,0.000182,0.000190,0.000090,0.000091,92,246604
Mar 12 2018,0.000095,0.000196,0.000088,0.000183,376,129483
Mar 11 2018,0.000088,0.000192,0.000085,0.000096,888,119049
Mar 10 2018,0.000093,0.000095,0.000087,0.000088,69,125621
Mar 09 2018,0.000093,0.000094,0.000084,0.000093,203,126079
Mar 08 2018,0.000099,0.000101,0.000091,0.000094,48,134180
Mar 07 2018,0.000107,0.000109,0.000094,0.000099,159,145418
Mar 06 2018,0.000115,0.000115,0.000106,0.000107,14,156086
Mar 05 2018,0.000115,0.000117,0.000114,0.000115,98,155982
Mar 04 2018,0.000229,0.000229,0.000111,0.000115,721,310395
Mar 03 2018,0.000110,0.000229,0.000110,0.000229,964,149494
Mar 02 2018,0.000109,0.000219,0.000108,0.000110,319,147924
Mar 01 2018,0.000103,0.000216,0.000102,0.000109,409,140073
Feb 28 2018,0.000107,0.000211,0.000103,0.000103,1029,144678
Feb 27 2018,0.000103,0.000108,0.000102,0.000107,91,139893
Feb 26 2018,0.000096,0.000104,0.000094,0.000103,1246,130055
Feb 25 2018,0.000097,0.000099,0.000093,0.000096,690,131541
Feb 24 2018,0.000101,0.000105,0.000094,0.000097,2067,137654
Feb 23 2018,0.000098,0.000104,0.000096,0.000102,99,133560
Feb 22 2018,0.000105,0.000109,0.000097,0.000099,1248,141993
Feb 21 2018,0.000112,0.000112,0.000103,0.000105,398,152168
Feb 20 2018,0.000112,0.000118,0.000111,0.000112,1,151557
Feb 19 2018,0.000104,0.000113,0.000104,0.000112,130,140924
Feb 18 2018,0.000111,0.000214,0.000102,0.000104,599,150500
Feb 17 2018,0.000102,0.000211,0.000101,0.000111,2167,138290
Feb 16 2018,0.000101,0.000201,0.000097,0.000102,379,136892
Feb 15 2018,0.000095,0.000102,0.000094,0.000101,53,128542
Feb 14 2018,0.000085,0.000189,0.000085,0.000095,199,115448
Feb 13 2018,0.000089,0.000089,0.000084,0.000085,27,120708
Feb 12 2018,0.000162,0.000175,0.000082,0.000089,3502,219949
Feb 11 2018,0.000171,0.000171,0.000079,0.000161,353,231979
Feb 10 2018,0.000087,0.000181,0.000086,0.000171,506,117877
Feb 09 2018,0.000165,0.000171,0.000082,0.000087,405,223982
Feb 08 2018,0.000084,0.000169,0.000082,0.000165,851,113960
Feb 06 2018,0.000069,0.000073,0.000059,0.000071,206,94156
Feb 05 2018,0.000164,0.000167,0.000067,0.000069,202,222832
Feb 04 2018,0.000092,0.000185,0.000083,0.000166,260,125412
Feb 03 2018,0.000089,0.000189,0.000082,0.000092,479,120236
Feb 02 2018,0.000091,0.000091,0.000077,0.000088,743,123203
Feb 01 2018,0.000102,0.000204,0.000086,0.000091,476,137977
Jan 31 2018,0.000200,0.000207,0.000097,0.000101,444,271785
Jan 30 2018,0.000112,0.000224,0.000101,0.000200,1208,151941
Jan 29 2018,0.000116,0.000227,0.000110,0.000112,1642,157369
Jan 28 2018,0.000228,0.000239,0.000115,0.000116,213,309781
Jan 27 2018,0.000111,0.000232,0.000109,0.000227,1476,150936
Jan 26 2018,0.000223,0.000232,0.000106,0.000111,289,302813
Jan 25 2018,0.000114,0.000227,0.000109,0.000224,2279,154819
Jan 24 2018,0.000217,0.000229,0.000106,0.000112,41590,294115
Jan 23 2018,0.000224,0.000227,0.000111,0.000217,31167,304115
Jan 22 2018,0.000116,0.000119,0.000113,0.000118,6315,157479
Jan 21 2018,0.000128,0.000254,0.000112,0.000115,6123,173535
Jan 20 2018,0.000116,0.000261,0.000116,0.000128,6332,157572
Jan 19 2018,0.000226,0.000236,0.000110,0.000115,1729,305974
Jan 18 2018,0.000223,0.000242,0.000110,0.000228,910,302238
Jan 17 2018,0.000114,0.000232,0.000093,0.000222,1379,154958
Jan 16 2018,0.000137,0.000269,0.000102,0.000115,12716,185387
Jan 15 2018,0.000274,0.000287,0.000136,0.000136,23576,371426
Jan 14 2018,0.000287,0.000290,0.000135,0.000276,2110,389654
Jan 13 2018,0.000278,0.000292,0.000142,0.000287,27558,377520
Jan 12 2018,0.000270,0.000285,0.000135,0.000279,37324,366163
Jan 11 2018,0.000150,0.000292,0.000131,0.000268,2741,203246
Jan 10 2018,0.000146,0.000297,0.000137,0.000150,3534,198131
Jan 09 2018,0.000301,0.000308,0.000144,0.000146,20379,408618
Jan 08 2018,0.000326,0.000327,0.000149,0.000302,12399,441858
Jan 07 2018,0.000172,0.000344,0.000162,0.000326,49523,233377
Jan 06 2018,0.000340,0.000345,0.000164,0.000172,17327,460825
Jan 05 2018,0.000304,0.000340,0.000149,0.000339,22913,411909
Jan 04 2018,0.000456,0.000457,0.000144,0.000304,58276,619069
Jan 03 2018,0.000297,0.000464,0.000150,0.000454,23051,402537
Jan 02 2018,0.000270,0.000416,0.000136,0.000298,77323,366332
Jan 01 2018,0.000140,0.000280,0.000135,0.000270,59682,189677
Dec 31 2017,0.000127,0.000142,0.000126,0.000139,35512,172490
Dec 30 2017,0.000145,0.000145,0.000122,0.000129,713,196656
Dec 29 2017,0.000145,0.000151,0.000141,0.000145,1488,196273
Dec 28 2017,0.000155,0.000156,0.000136,0.000143,407,210496
Dec 27 2017,0.000158,0.000166,0.000147,0.000155,1022,214852
Dec 26 2017,0.000139,0.000161,0.000139,0.000158,186,188976
Dec 25 2017,0.000141,0.000145,0.000133,0.000139,149,191109
Dec 24 2017,0.000146,0.000146,0.000126,0.000139,60,198157
Dec 23 2017,0.000138,0.000157,0.000136,0.000144,190,187077
Dec 22 2017,0.000157,0.000159,0.000114,0.000137,828,213170
Dec 21 2017,0.000165,0.000174,0.000151,0.000157,506,223619
Dec 20 2017,0.000176,0.000178,0.000158,0.000164,13,239024
Dec 19 2017,0.000191,0.000192,0.000171,0.000176,516,259574
Dec 18 2017,0.000191,0.000193,0.000183,0.000191,486,259552
Dec 17 2017,0.000195,0.000200,0.000189,0.000191,13,264230
Dec 16 2017,0.000176,0.000196,0.000174,0.000195,261,239405
Dec 15 2017,0.000166,0.000181,0.000166,0.000176,225,225035
Dec 14 2017,0.000164,0.000171,0.000162,0.000166,17,222157
Dec 13 2017,0.000173,0.000175,0.000159,0.000164,1643,234374
Dec 12 2017,0.000168,0.000178,0.000164,0.000173,26,228414
Dec 11 2017,0.000152,0.000175,0.000152,0.000168,596,206847
Dec 10 2017,0.000150,0.000158,0.000132,0.000154,26,204006
Dec 09 2017,0.000163,0.000165,0.000135,0.000150,171,220643
Dec 08 2017,0.000174,0.000176,0.000141,0.000163,170,235451
Dec 07 2017,0.000137,0.000173,0.000136,0.000173,53,186347
Dec 06 2017,0.000117,0.000138,0.000117,0.000138,344,158738
Dec 05 2017,0.000117,0.000119,0.000115,0.000117,127,158134
Dec 04 2017,0.000112,0.000116,0.000109,0.000116,12,152511
Dec 03 2017,0.000112,0.000118,0.000106,0.000112,98,151447
Dec 01 2017,0.000100,0.000101,0.000097,0.000098,3,135571
Nov 30 2017,0.000098,0.000107,0.000090,0.000100,4,133340
Nov 29 2017,0.000099,0.000114,0.000091,0.000097,8,134687
Nov 28 2017,0.000098,0.000100,0.000097,0.000099,873,132346
Nov 27 2017,0.000097,0.000097,0.000094,0.000097,14,131566
Nov 26 2017,0.000087,0.000095,0.000087,0.000093,9,118656
Nov 25 2017,0.000087,0.000087,0.000087,0.000087,9,118375
Nov 23 2017,0.000082,0.000083,0.000082,0.000082,8,111587
Nov 22 2017,0.000081,0.000083,0.000081,0.000082,8,110079
Nov 21 2017,0.000082,0.000084,0.000078,0.000081,822,111807
Nov 20 2017,0.000080,0.000083,0.000079,0.000082,66,109120
Nov 19 2017,0.000078,0.000081,0.000077,0.000080,1,105641
Nov 18 2017,0.000078,0.000079,0.000077,0.000078,9,105633
Nov 17 2017,0.000078,0.000080,0.000078,0.000079,1,106424
Nov 16 2017,0.000073,0.000080,0.000071,0.000079,3,99077
Nov 15 2017,0.000069,0.000073,0.000069,0.000073,40,94014
Nov 14 2017,0.000065,0.000067,0.000064,0.000066,66,88601
Nov 13 2017,0.000065,0.000066,0.000065,0.000065,65,88700
Nov 11 2017,0.000066,0.000068,0.000062,0.000064,6,89198
Nov 10 2017,0.000071,0.000073,0.000066,0.000066,7,96713
Nov 09 2017,0.000071,0.000072,0.000071,0.000071,8,96500
Nov 08 2017,0.000071,0.000078,0.000071,0.000073,1,96541
Nov 07 2017,0.000071,0.000072,0.000070,0.000071,26,96688
Nov 06 2017,0.000074,0.000074,0.000070,0.000071,10,100302
Nov 05 2017,0.000076,0.000076,0.000073,0.000074,13,102456
Nov 04 2017,0.000072,0.000072,0.000071,0.000071,283,97230
Nov 03 2017,0.000070,0.000075,0.000069,0.000072,287,95281
Nov 02 2017,0.000067,0.000073,0.000067,0.000070,4,91284
Nov 01 2017,0.000064,0.000067,0.000064,0.000067,4,86723
Oct 30 2017,0.000062,0.000062,0.000060,0.000061,1,83528
Oct 29 2017,0.000057,0.000063,0.000057,0.000062,2,77708
Oct 28 2017,0.000058,0.000059,0.000057,0.000057,57,78189
Oct 27 2017,0.000059,0.000059,0.000057,0.000057,94,79475
Oct 26 2017,0.000057,0.000060,0.000057,0.000059,1,77795
Oct 25 2017,0.000055,0.000057,0.000054,0.000057,21,74864
