Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001242,0.001328,0.001209,0.001247,6598,235704
Mar 30 2018,0.001398,0.001398,0.001157,0.001242,13850,265305
Mar 29 2018,0.001417,0.001545,0.001370,0.001400,5247,268929
Mar 28 2018,0.001437,0.001534,0.001394,0.001416,8024,272708
Mar 27 2018,0.001499,0.001622,0.001436,0.001438,9692,284342
Mar 26 2018,0.001630,0.001699,0.001452,0.001501,15811,309172
Mar 25 2018,0.001626,0.001831,0.001579,0.001631,19491,308426
Mar 24 2018,0.001787,0.001887,0.001620,0.001648,22262,339023
Mar 23 2018,0.001861,0.001888,0.001596,0.001761,25504,353149
Mar 22 2018,0.001913,0.002238,0.001823,0.001861,31863,362956
Mar 21 2018,0.002028,0.002109,0.001749,0.001916,45863,384714
Mar 20 2018,0.002033,0.002092,0.001804,0.002022,30665,385665
Mar 19 2018,0.001805,0.002132,0.001736,0.002010,42829,342437
Mar 18 2018,0.001991,0.001996,0.001575,0.001813,27497,377754
Mar 17 2018,0.002158,0.002258,0.001859,0.001996,17099,409434
Mar 16 2018,0.001900,0.002344,0.001766,0.002154,21833,360493
Mar 15 2018,0.001996,0.002144,0.001732,0.001901,34373,378615
Mar 14 2018,0.002390,0.002607,0.001956,0.001996,43373,453459
Mar 13 2018,0.002820,0.002868,0.002289,0.002390,30453,535007
Mar 12 2018,0.003069,0.003379,0.002654,0.002836,19777,582321
Mar 11 2018,0.002547,0.003950,0.002377,0.003079,40037,483238
Mar 10 2018,0.002313,0.003006,0.002249,0.002556,24522,438911
Mar 09 2018,0.002516,0.002546,0.002099,0.002312,38234,477372
Mar 08 2018,0.002480,0.002844,0.002327,0.002532,29772,470536
Mar 07 2018,0.002894,0.003000,0.002375,0.002484,17277,549107
Mar 06 2018,0.003217,0.003508,0.002720,0.002898,59242,610369
Mar 05 2018,0.003102,0.003331,0.002422,0.003226,66240,588548
Mar 04 2018,0.003056,0.003104,0.002902,0.003104,4100,579790
Mar 03 2018,0.003306,0.003338,0.002907,0.003061,26527,627213
Mar 02 2018,0.003489,0.003565,0.002935,0.003310,50472,661988
Mar 01 2018,0.003517,0.003558,0.003019,0.003498,61531,667205
Feb 28 2018,0.003829,0.004136,0.003463,0.003511,32790,726509
Feb 27 2018,0.003609,0.003869,0.003107,0.003834,58526,684750
Feb 26 2018,0.003369,0.003618,0.003238,0.003599,19052,639241
Feb 25 2018,0.003502,0.003534,0.003278,0.003365,14606,664496
Feb 24 2018,0.003754,0.003945,0.003311,0.003508,25377,712297
Feb 23 2018,0.003655,0.003904,0.003583,0.003759,7580,693376
Feb 22 2018,0.003765,0.004290,0.003567,0.003658,69791,714274
