Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.241648,0.408903,0.241648,0.343357,15430,361063
Mar 30 2018,0.206778,0.273520,0.138138,0.241622,7039,308961
Mar 29 2018,0.140656,0.270000,0.137020,0.207299,14168,210164
Mar 28 2018,0.128582,0.149554,0.119913,0.140489,7107,192123
Mar 27 2018,0.147845,0.226849,0.128090,0.128609,11202,220905
Mar 26 2018,0.184250,0.192141,0.105380,0.148063,23590,275301
Mar 25 2018,0.336374,0.383645,0.169255,0.184421,42262,502601
Mar 24 2018,0.262389,0.568871,0.252381,0.341280,87333,392054
Mar 23 2018,0.576087,0.611616,0.215602,0.248639,210606,860773
Mar 22 2018,0.297555,0.728843,0.262331,0.563629,257438,444599
Mar 21 2018,0.241931,0.299853,0.241580,0.298099,46127,361486
Mar 20 2018,0.231016,0.272441,0.214389,0.241493,22635,345178
Mar 19 2018,0.169703,0.244395,0.163473,0.228468,49369,253565
Mar 18 2018,0.121453,0.203184,0.104456,0.170421,49920,181472
Mar 17 2018,0.124023,0.124023,0.081743,0.121670,57265,185312
Mar 16 2018,0.099127,0.128242,0.078694,0.091248,11164,148113
Mar 15 2018,0.058024,0.100151,0.042343,0.099183,10069,86698
Mar 14 2018,0.027540,0.058050,0.027358,0.058050,4438,41149
Mar 13 2018,0.027721,0.034521,0.019021,0.027536,520,41420
Mar 12 2018,0.019757,0.020419,0.019467,0.020419,26,29520
Mar 11 2018,0.018691,0.020134,0.017271,0.019819,32,27928
Mar 10 2018,0.018890,0.020298,0.017963,0.018756,39,28225
Mar 09 2018,0.021468,0.021721,0.017688,0.018882,23,32077
Mar 08 2018,0.021759,0.023337,0.019125,0.021605,49,32512
Mar 07 2018,0.022510,0.022848,0.021701,0.021790,4,33633
Mar 06 2018,0.024851,0.024851,0.022275,0.022539,11,37132
Mar 05 2018,0.024774,0.025212,0.024764,0.024920,60,37016
Mar 04 2018,0.034319,0.034347,0.033293,0.033614,244,51279
Mar 03 2018,0.022810,0.034464,0.022503,0.034379,256,34082
Mar 02 2018,0.024338,0.024397,0.022366,0.022838,202,36365
