Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.042653,0.045257,0.037848,0.043777,8430,-
Mar 30 2018,0.041749,0.044419,0.033440,0.042692,12814,-
Mar 29 2018,0.047326,0.049861,0.038216,0.041880,10736,-
Mar 28 2018,0.039291,0.049941,0.036829,0.047242,16383,-
Mar 27 2018,0.049526,0.049891,0.030160,0.039278,20343,-
Mar 26 2018,0.043489,0.050167,0.033862,0.049557,11402,-
Mar 25 2018,0.045251,0.050406,0.043236,0.043585,1984,-
Mar 24 2018,0.052714,0.052866,0.043515,0.045800,7703,-
Mar 23 2018,0.053816,0.053916,0.045483,0.052232,6961,-
Mar 22 2018,0.057640,0.059410,0.045873,0.053825,8756,-
Mar 21 2018,0.064119,0.070285,0.047601,0.057499,15322,-
Mar 20 2018,0.059974,0.065396,0.046852,0.063727,6683,-
Mar 19 2018,0.048405,0.059574,0.044081,0.059499,4294,-
Mar 18 2018,0.056237,0.056237,0.039206,0.048600,9627,-
Mar 17 2018,0.067470,0.070634,0.055927,0.056287,5607,-
Mar 16 2018,0.056094,0.068559,0.054645,0.067427,6071,-
Mar 15 2018,0.055739,0.066669,0.047028,0.056159,5983,-
Mar 14 2018,0.069369,0.078102,0.046401,0.055700,9315,-
Mar 13 2018,0.086820,0.087954,0.068797,0.069342,25891,-
Mar 12 2018,0.089645,0.094194,0.075265,0.086910,32140,-
Mar 11 2018,0.069861,0.091674,0.066410,0.089756,14933,-
Mar 10 2018,0.079799,0.081993,0.064093,0.070069,8134,-
Mar 09 2018,0.074041,0.083774,0.063543,0.079840,18841,-
Mar 08 2018,0.099246,0.100274,0.059575,0.074178,29097,-
