Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.099823,0.103451,0.094894,0.096327,1269,2196660
Mar 30 2018,0.097544,0.104625,0.089041,0.099807,8272,2145030
Mar 29 2018,0.123169,0.123371,0.094873,0.097787,9874,2706840
Mar 28 2018,0.122019,0.126840,0.119852,0.123025,722,2679890
Mar 27 2018,0.130297,0.131124,0.121735,0.122047,2956,2859770
Mar 26 2018,0.137148,0.141749,0.126891,0.130494,2690,3007910
Mar 25 2018,0.136134,0.141700,0.134019,0.137253,2221,2983700
Mar 24 2018,0.145709,0.147144,0.138030,0.138034,3777,3191370
Mar 23 2018,0.143833,0.143833,0.134884,0.143618,6667,3148300
Mar 22 2018,0.150868,0.154850,0.141699,0.143836,2851,3300120
Mar 21 2018,0.157518,0.159028,0.149811,0.151144,2918,3443210
Mar 20 2018,0.147802,0.158797,0.142539,0.157233,7504,3228640
Mar 19 2018,0.151520,0.157610,0.144315,0.146172,8573,3307840
Mar 18 2018,0.167589,0.167589,0.135963,0.151750,23781,3656190
Mar 17 2018,0.177567,0.178603,0.164397,0.167998,23100,3871170
Mar 16 2018,0.175455,0.183653,0.168727,0.177275,38699,3822860
Mar 15 2018,0.174154,0.179186,0.163369,0.175554,22354,3791870
Mar 14 2018,0.196802,0.211496,0.169669,0.174232,14375,4282020
Mar 13 2018,0.196044,0.202377,0.188484,0.196775,5642,4261990
Mar 12 2018,0.203963,0.211301,0.187789,0.197176,9762,4430060
Mar 11 2018,0.192442,0.217260,0.182396,0.204607,5051,4177590
Mar 10 2018,0.199638,0.219696,0.192153,0.193108,16812,4331570
Mar 09 2018,0.197206,0.202820,0.178000,0.199552,2208,4276750
Mar 08 2018,0.210867,0.231564,0.192311,0.198463,26736,4569870
Mar 07 2018,0.237210,0.242192,0.201649,0.211166,4982,5137230
Mar 06 2018,0.244257,0.244257,0.229025,0.238484,7246,5286820
Mar 05 2018,0.243979,0.248563,0.242437,0.244934,24369,5276860
Mar 04 2018,0.244240,0.244916,0.235898,0.244158,29541,5278840
Mar 03 2018,0.241655,0.251899,0.239527,0.244662,24649,5219020
Mar 02 2018,0.253292,0.275964,0.236142,0.241179,37604,5466480
Mar 01 2018,0.236236,0.255655,0.234395,0.250446,3438,5095360
Feb 28 2018,0.253600,0.266319,0.235888,0.235888,4215,5466340
Feb 27 2018,0.272228,0.275550,0.252731,0.253899,13288,5864180
Feb 26 2018,0.242731,0.282234,0.236173,0.272985,66585,5225650
Feb 25 2018,0.218742,0.244434,0.216243,0.242420,40533,4706030
Feb 24 2018,0.219574,0.236676,0.207665,0.226551,9191,4720540
Feb 23 2018,0.211567,0.226439,0.206345,0.220868,3683,4544990
Feb 22 2018,0.226913,0.234289,0.209517,0.211764,3867,4871460
Feb 21 2018,0.246763,0.248343,0.220906,0.227143,4280,5294300
Feb 20 2018,0.245884,0.265342,0.245884,0.247071,38536,5271760
Feb 19 2018,0.240267,0.252389,0.235379,0.245661,37441,5148230
Feb 18 2018,0.256593,0.261451,0.236324,0.241376,11687,5495140
Feb 17 2018,0.235776,0.258767,0.234551,0.255809,25808,5046270
Feb 16 2018,0.247317,0.254820,0.232618,0.235830,25477,5288250
Feb 15 2018,0.219914,0.256239,0.211136,0.244020,26155,4698960
Feb 14 2018,0.197768,0.225863,0.197567,0.219795,30573,4222590
Feb 13 2018,0.188094,0.213533,0.176318,0.198360,43017,4013270
Feb 12 2018,0.170882,0.192067,0.170882,0.187752,3343,3643710
