Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.021773,0.024721,0.019641,0.021232,537069,5096350
Mar 30 2018,0.025793,0.027701,0.018743,0.021683,609974,6037390
Mar 29 2018,0.027116,0.027289,0.024139,0.025827,85472,6346970
Mar 28 2018,0.027155,0.029067,0.026458,0.027083,61942,6356120
Mar 27 2018,0.029232,0.029595,0.026293,0.027153,82519,6728250
Mar 26 2018,0.030049,0.031316,0.027662,0.029249,112560,6916360
Mar 25 2018,0.031113,0.032699,0.029708,0.030078,24667,7161180
Mar 24 2018,0.031283,0.034666,0.029135,0.031354,101866,7200420
Mar 23 2018,0.030328,0.032070,0.030285,0.031227,76987,6980480
Mar 22 2018,0.036950,0.037536,0.029619,0.030328,107987,8504820
Mar 21 2018,0.035604,0.038136,0.035421,0.036962,66685,8194880
Mar 20 2018,0.035162,0.036352,0.034312,0.035539,11856,8093230
Mar 19 2018,0.033928,0.038293,0.029214,0.034917,72584,7809230
Mar 18 2018,0.033216,0.036860,0.027939,0.033908,58985,7645390
Mar 17 2018,0.042478,0.042478,0.031949,0.032022,215930,9777060
Mar 16 2018,0.045194,0.045194,0.041011,0.042430,320358,10402300
Mar 15 2018,0.043023,0.047145,0.040289,0.045214,84690,9902650
Mar 14 2018,0.048287,0.049309,0.042341,0.043150,52675,11114300
Mar 13 2018,0.050806,0.050869,0.046420,0.048281,44746,11693900
Mar 12 2018,0.048949,0.052204,0.047577,0.050873,118698,11266500
Mar 11 2018,0.049175,0.049997,0.045019,0.049028,182073,11318700
Mar 10 2018,0.047883,0.054433,0.047600,0.049312,146304,11021100
Mar 09 2018,0.051326,0.051645,0.044733,0.047880,360917,11813800
Mar 08 2018,0.051971,0.056641,0.050473,0.051490,149225,11962100
Mar 07 2018,0.055984,0.060255,0.050127,0.051983,212223,12885800
Mar 06 2018,0.062099,0.063289,0.055715,0.056002,192303,14293300
Mar 05 2018,0.064926,0.065774,0.058824,0.061826,165266,14944100
Mar 04 2018,0.064061,0.064935,0.058310,0.064935,32259,14744900
Mar 03 2018,0.063007,0.064871,0.060011,0.064103,174493,14502300
Mar 02 2018,0.064030,0.064903,0.061864,0.063040,135119,14687900
Mar 01 2018,0.063366,0.066344,0.061191,0.064099,186003,14535500
Feb 28 2018,0.076592,0.076592,0.059090,0.063334,2323420,17569500
Feb 27 2018,0.080215,0.081618,0.074592,0.076628,59527,18400500
Feb 26 2018,0.078682,0.083133,0.076781,0.080094,44944,18048700
Feb 25 2018,0.079355,0.081667,0.076074,0.078618,212851,18203100
Feb 24 2018,0.090172,0.090301,0.072620,0.079456,506677,20684400
Feb 23 2018,0.080526,0.091037,0.074686,0.090210,272953,18471800
Feb 22 2018,0.089044,0.092955,0.076095,0.080549,112752,20425800
Feb 21 2018,0.090486,0.095138,0.086798,0.089074,332908,20756600
Feb 20 2018,0.094422,0.102640,0.089939,0.090560,490386,21659300
Feb 19 2018,0.104930,0.118658,0.084502,0.094384,878597,24069800
Feb 18 2018,0.123938,0.127301,0.100080,0.105139,331339,28430100
Feb 17 2018,0.129972,0.137412,0.110334,0.123760,319185,29814200
Feb 16 2018,0.115586,0.130731,0.111684,0.130731,337496,26514300
Feb 15 2018,0.124801,0.136581,0.112411,0.116621,280430,28628000
Feb 14 2018,0.108191,0.135740,0.105316,0.124745,1279310,24817800
Feb 13 2018,0.097828,0.108809,0.093735,0.108040,495239,22440800
Feb 12 2018,0.077822,0.104920,0.077822,0.097733,578952,17851600
Feb 11 2018,0.073650,0.089710,0.063422,0.077575,272091,16894400
Feb 10 2018,0.078966,0.089000,0.062399,0.073658,596703,-
Feb 09 2018,0.075589,0.087432,0.069094,0.078954,404629,-
Feb 08 2018,0.071631,0.078776,0.069931,0.075523,217014,-
Feb 07 2018,0.078301,0.084949,0.066493,0.071764,543525,-
Feb 06 2018,0.068927,0.080925,0.052811,0.078627,450441,-
Feb 05 2018,0.093508,0.106899,0.064654,0.068786,318703,-
Feb 04 2018,0.120634,0.124508,0.094116,0.094116,172008,-
Feb 03 2018,0.121811,0.129056,0.092996,0.120931,676084,-
Feb 02 2018,0.129739,0.135813,0.099685,0.121440,601209,-
Feb 01 2018,0.157334,0.158030,0.077055,0.129380,1635680,-
Jan 31 2018,0.141734,0.155481,0.128070,0.155178,590253,-
Jan 30 2018,0.162301,0.206566,0.140598,0.141555,1352170,-
Jan 29 2018,0.221691,0.245813,0.149937,0.162256,862254,-
Jan 28 2018,0.203159,0.224061,0.170888,0.222568,1499670,-
Jan 27 2018,0.242052,0.242109,0.202340,0.202340,692212,-
Jan 26 2018,0.279826,0.283834,0.217212,0.242119,1876700,-
Jan 25 2018,0.164658,0.289708,0.163744,0.277241,5899780,-
Jan 24 2018,0.125016,0.163670,0.109041,0.163451,3234790,-
Jan 23 2018,0.130249,0.132293,0.112656,0.124402,95669,-
Jan 22 2018,0.146635,0.150103,0.113374,0.130480,210856,-
Jan 21 2018,0.153158,0.158160,0.129100,0.145961,706660,-
Jan 20 2018,0.160707,0.164815,0.133590,0.152887,1039850,-
