Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.726862,0.777467,0.726862,0.749076,637548,72494100
Mar 30 2018,0.783180,0.811769,0.703690,0.725938,966816,78111000
Mar 29 2018,0.945730,0.945730,0.772745,0.788714,716136,94323100
Mar 28 2018,0.939847,0.965795,0.923338,0.945847,937932,93736300
Mar 27 2018,0.979465,0.998357,0.937008,0.937008,1429880,97687600
Mar 26 2018,1.09,1.11,0.930588,0.980475,978958,108524000
Mar 25 2018,1.07,1.11,1.05,1.09,811287,106800000
Mar 24 2018,1.09,1.16,1.07,1.09,1246620,109132000
Mar 23 2018,1.08,1.15,0.992850,1.08,1614600,107872000
Mar 22 2018,1.11,1.15,1.05,1.08,1164100,110808000
Mar 21 2018,1.14,1.22,1.09,1.11,2242700,113946000
Mar 20 2018,1.12,1.15,1.06,1.14,1179250,111362000
Mar 19 2018,1.06,1.12,1.01,1.10,1301050,105552000
Mar 18 2018,1.07,1.07,0.870446,1.06,1324450,106334000
Mar 17 2018,1.20,1.33,1.06,1.07,1794700,119942000
Mar 16 2018,1.13,1.24,1.07,1.20,1209460,112523000
Mar 15 2018,1.15,1.15,1.03,1.13,1204970,114267000
Mar 14 2018,1.37,1.40,1.12,1.15,1249970,136819000
Mar 13 2018,1.38,1.44,1.35,1.37,861351,138002000
Mar 12 2018,1.52,1.55,1.33,1.39,883203,151312000
Mar 11 2018,1.44,1.54,1.39,1.52,1055950,143620000
Mar 10 2018,1.54,1.61,1.44,1.45,1518800,153969000
Mar 09 2018,1.49,1.55,1.29,1.54,1908610,148347000
Mar 08 2018,1.84,1.84,1.50,1.50,3202110,183358000
Mar 07 2018,1.83,2.35,1.65,1.84,24776200,182194000
Mar 06 2018,1.79,2.05,1.62,1.83,7566430,178171000
Mar 05 2018,1.89,1.89,1.78,1.79,3110710,188511000
Mar 04 2018,2.03,2.10,1.84,1.90,6144660,201974000
Mar 03 2018,1.98,2.56,1.93,2.01,33189300,197597000
Mar 02 2018,1.67,2.12,1.56,1.97,15597300,166932000
Mar 01 2018,1.38,1.90,1.37,1.68,5866480,137942000
Feb 28 2018,1.45,1.49,1.38,1.38,626117,144144000
Feb 27 2018,1.47,1.49,1.43,1.45,719453,146487000
Feb 26 2018,1.46,1.56,1.44,1.46,836469,145228000
Feb 25 2018,1.41,1.47,1.40,1.45,663502,140504000
Feb 24 2018,1.50,1.58,1.39,1.41,1325190,149661000
Feb 23 2018,1.42,1.55,1.39,1.50,1131270,142081000
Feb 22 2018,1.44,1.57,1.35,1.42,1006310,143976000
Feb 21 2018,1.60,1.60,1.38,1.44,1282370,159687000
Feb 20 2018,1.88,1.94,1.59,1.60,1978210,187072000
Feb 19 2018,1.78,1.92,1.77,1.86,740327,177792000
Feb 18 2018,1.92,1.94,1.74,1.79,1401580,191082000
Feb 17 2018,1.81,1.93,1.79,1.92,1680310,180812000
Feb 16 2018,1.77,1.82,1.72,1.82,658846,176712000
Feb 15 2018,1.73,1.82,1.71,1.78,1221150,172952000
Feb 14 2018,1.57,1.75,1.57,1.73,853077,156630000
Feb 13 2018,1.63,1.63,1.55,1.58,1071810,162228000
Feb 12 2018,1.54,1.66,1.54,1.62,1060620,153430000
Feb 11 2018,1.62,1.62,1.47,1.53,490564,161620000
Feb 10 2018,1.74,1.81,1.55,1.62,1229820,173201000
Feb 09 2018,1.65,1.78,1.58,1.74,646755,164419000
Feb 08 2018,1.53,1.69,1.53,1.65,1631090,152868000
Feb 07 2018,1.57,1.73,1.44,1.54,1414390,156940000
Feb 06 2018,1.31,1.59,1.03,1.59,2937510,130849000
Feb 05 2018,1.68,1.72,1.18,1.31,2376260,167064000
Feb 04 2018,2.05,2.07,1.62,1.68,1702200,204676000
Feb 03 2018,1.94,2.09,1.74,2.06,2994380,193162000
Feb 02 2018,2.09,2.09,1.58,1.93,3169780,208292000
Feb 01 2018,2.39,2.46,1.98,2.11,3868800,238292000
Jan 31 2018,2.43,2.45,2.26,2.38,2173140,242741000
Jan 30 2018,2.76,2.80,2.26,2.43,3559220,275720000
Jan 29 2018,2.94,3.24,2.73,2.76,10890400,293825000
Jan 28 2018,2.51,2.96,2.50,2.95,4127230,250646000
Jan 27 2018,2.53,2.62,2.44,2.49,2628390,252765000
Jan 26 2018,2.65,2.75,2.33,2.53,3809020,264414000
Jan 25 2018,2.44,2.71,2.34,2.67,5558360,243023000
Jan 24 2018,2.24,2.38,2.18,2.37,3354360,223935000
Jan 23 2018,2.23,2.39,2.06,2.25,2596770,222912000
Jan 22 2018,2.59,2.74,2.05,2.24,4295810,258486000
Jan 21 2018,3.07,3.07,2.44,2.58,4083430,306307000
Jan 20 2018,2.83,3.11,2.72,3.06,12086300,282722000
Jan 19 2018,2.70,2.85,2.49,2.68,4315700,269678000
Jan 18 2018,2.56,3.02,2.51,2.71,4794180,255944000
Jan 17 2018,2.42,2.73,1.79,2.53,7201550,241650000
Jan 16 2018,3.45,3.51,2.12,2.41,10062000,343816000
Jan 15 2018,3.90,5.15,3.44,3.44,21187500,389290000
Jan 14 2018,4.18,4.68,3.60,3.91,9795460,417507000
Jan 13 2018,3.81,4.26,3.78,4.16,6741410,380688000
Jan 12 2018,3.87,4.17,3.75,3.89,4362090,386546000
Jan 11 2018,4.56,4.65,3.74,3.83,7817090,455015000
Jan 10 2018,5.42,5.43,4.19,4.56,11519700,540925000
Jan 09 2018,4.12,5.65,4.12,5.34,16729500,411363000
Jan 08 2018,4.71,4.75,3.84,4.14,10074900,469575000
Jan 07 2018,4.29,4.83,4.22,4.74,11686600,428094000
Jan 06 2018,3.63,4.38,3.58,4.29,12250200,361944000
Jan 05 2018,3.85,4.54,3.60,3.60,12818500,384510000
Jan 04 2018,3.32,4.12,3.00,3.86,16532100,331466000
Jan 03 2018,2.87,3.32,2.80,3.32,5326450,286279000
Jan 02 2018,2.54,2.94,2.54,2.86,6093530,253603000
Jan 01 2018,2.74,2.76,2.52,2.54,3084440,273335000
Dec 31 2017,2.57,2.90,2.43,2.73,6350860,256522000
Dec 30 2017,2.30,2.63,2.04,2.60,6207940,229374000
Dec 29 2017,2.23,2.35,2.12,2.30,4022980,222997000
Dec 28 2017,2.27,2.55,2.00,2.22,6785200,226488000
Dec 27 2017,2.34,2.56,2.18,2.27,3453400,233655000
Dec 26 2017,2.57,2.61,2.18,2.32,4873210,256023000
Dec 25 2017,2.00,2.56,1.97,2.56,4807020,199657000
Dec 24 2017,2.14,2.14,1.79,1.99,1871320,213795000
Dec 23 2017,1.94,2.31,1.86,2.13,3062330,193217000
Dec 22 2017,2.61,2.63,1.53,1.92,3491570,260907000
Dec 21 2017,2.21,2.82,2.19,2.56,7175370,220167000
Dec 20 2017,2.19,2.22,1.98,2.19,3528080,218523000
Dec 19 2017,2.41,2.47,2.13,2.20,3772270,240527000
Dec 18 2017,2.33,2.58,2.05,2.41,5829230,232119000
Dec 17 2017,1.92,2.89,1.91,2.34,10167800,192054000
Dec 16 2017,1.66,1.94,1.64,1.94,4119660,165886000
Dec 15 2017,1.54,1.72,1.52,1.67,2527590,153750000
Dec 14 2017,1.54,1.59,1.42,1.54,2232100,153454000
Dec 13 2017,1.45,1.69,1.38,1.54,2354230,145072000
Dec 12 2017,1.47,1.55,1.40,1.46,2236970,146960000
Dec 11 2017,1.33,1.53,1.32,1.47,2546600,132784000
Dec 10 2017,1.48,1.48,1.29,1.34,1650370,147307000
Dec 09 2017,1.46,1.55,1.42,1.48,1816180,145585000
Dec 08 2017,1.41,1.49,1.32,1.46,1733490,140832000
Dec 07 2017,1.59,1.66,1.35,1.42,1742390,158422000
Dec 06 2017,1.60,1.63,1.46,1.59,1561860,160138000
Dec 05 2017,1.59,1.68,1.56,1.62,1515480,158186000
Dec 04 2017,1.50,1.59,1.45,1.59,998783,149959000
Dec 03 2017,1.45,1.64,1.43,1.50,1202690,144529000
Dec 02 2017,1.57,1.59,1.44,1.44,1020090,156775000
Dec 01 2017,1.41,1.60,1.31,1.57,1096350,140244000
Nov 30 2017,1.33,1.43,1.18,1.39,1035390,132277000
Nov 29 2017,1.53,1.60,1.28,1.31,1400480,152295000
Nov 28 2017,1.54,1.61,1.45,1.54,1292910,153319000
Nov 27 2017,1.62,1.75,1.49,1.53,1351570,161412000
Nov 26 2017,1.78,1.81,1.55,1.62,1386920,177996000
Nov 25 2017,1.65,1.84,1.63,1.78,1158600,165140000
Nov 24 2017,1.42,1.76,1.39,1.67,1411370,141905000
Nov 23 2017,1.48,1.49,1.37,1.43,963907,147197000
Nov 22 2017,1.22,1.51,1.21,1.48,1391270,121679000
Nov 21 2017,1.21,1.27,1.18,1.21,836093,120641000
Nov 20 2017,1.12,1.23,1.11,1.21,1219310,111729000
Nov 19 2017,1.06,1.12,1.04,1.12,1076000,106163000
Nov 18 2017,0.949403,1.07,0.933897,1.07,755446,94739300
Nov 17 2017,0.989402,1.06,0.946062,0.951394,585602,98730800
Nov 16 2017,1.09,1.09,0.971282,0.989586,1100080,109157000
Nov 15 2017,1.03,1.11,1.03,1.09,682007,102658000
Nov 14 2017,0.975577,1.03,0.974045,1.03,494426,97351200
Nov 13 2017,0.966276,1.05,0.951298,0.982820,515397,96423100
Nov 12 2017,1.09,1.09,0.957179,0.964964,499419,108921000
Nov 11 2017,0.951886,1.11,0.951886,1.09,541716,94987100
Nov 10 2017,1.08,1.16,0.929666,0.954790,911687,107700000
Nov 09 2017,0.927662,1.17,0.896713,1.09,1517590,92569800
Nov 08 2017,0.903478,0.969392,0.899703,0.935240,778665,90156500
Nov 07 2017,1.03,1.04,0.827489,0.913426,1081590,102605000
Nov 06 2017,1.05,1.08,1.02,1.03,470203,105258000
Nov 05 2017,1.12,1.13,1.04,1.05,553555,111631000
Nov 04 2017,1.13,1.20,1.11,1.12,544334,112950000
Nov 03 2017,0.981315,1.22,0.883991,1.18,1671840,97923700
Nov 02 2017,0.959604,0.997179,0.936333,0.980278,723227,95757300
Nov 01 2017,1.01,1.01,0.901791,0.961797,966985,101123000
Oct 31 2017,1.03,1.09,0.991795,1.01,764694,102335000
Oct 30 2017,1.17,1.19,1.03,1.03,742624,116733000
Oct 29 2017,1.15,1.21,1.15,1.17,507811,115326000
Oct 28 2017,1.19,1.20,1.15,1.15,423288,118636000
Oct 27 2017,1.19,1.21,1.18,1.19,361204,119140000
Oct 26 2017,1.26,1.28,1.19,1.19,487578,126297000
Oct 25 2017,1.28,1.30,1.24,1.27,504866,128253000
Oct 24 2017,1.15,1.30,1.09,1.28,719753,114933000
Oct 23 2017,1.16,1.18,1.09,1.15,778907,116326000
Oct 22 2017,1.16,1.19,1.13,1.17,585036,115824000
Oct 21 2017,1.25,1.25,1.14,1.16,703568,124990000
Oct 20 2017,1.31,1.34,1.23,1.25,591748,130798000
Oct 19 2017,1.39,1.42,1.30,1.32,547897,139042000
Oct 18 2017,1.39,1.41,1.29,1.40,479763,139177000
Oct 17 2017,1.45,1.48,1.36,1.39,604703,144422000
Oct 16 2017,1.48,1.51,1.39,1.44,634010,147892000
Oct 15 2017,1.57,1.62,1.42,1.48,517429,157306000
Oct 14 2017,1.47,1.62,1.47,1.57,752774,147048000
Oct 13 2017,1.42,1.49,1.30,1.48,1525730,141428000
Oct 12 2017,1.51,1.54,1.34,1.42,1159700,150703000
Oct 11 2017,1.51,1.54,1.47,1.51,492607,150748000
Oct 10 2017,1.53,1.55,1.47,1.51,677698,152991000
Oct 09 2017,1.55,1.60,1.50,1.53,767765,155127000
Oct 08 2017,1.68,1.81,1.55,1.56,771438,167511000
Oct 07 2017,1.96,1.97,1.56,1.68,1186550,195424000
Oct 06 2017,1.77,2.28,1.69,1.97,2451450,177201000
Oct 05 2017,1.63,1.79,1.45,1.77,2142040,163000000
Oct 04 2017,1.37,1.76,1.33,1.63,1393240,136879000
Oct 03 2017,1.38,1.40,1.28,1.35,773800,137505000
Oct 02 2017,1.44,1.46,1.34,1.38,673112,143671000
Oct 01 2017,1.45,1.49,1.42,1.44,543624,145141000
Sep 30 2017,1.44,1.50,1.44,1.46,503944,144327000
Sep 29 2017,1.53,1.53,1.43,1.44,578593,152449000
Sep 28 2017,1.49,1.69,1.48,1.53,870765,148751000
Sep 27 2017,1.45,1.55,1.43,1.51,994200,145265000
Sep 26 2017,1.55,1.57,1.41,1.46,876569,154521000
Sep 25 2017,1.47,1.57,1.40,1.54,784836,146819000
Sep 24 2017,1.48,1.59,1.45,1.47,655838,148225000
Sep 23 2017,1.37,1.49,1.36,1.49,480712,136574000
Sep 22 2017,1.35,1.44,1.33,1.37,377966,134827000
Sep 21 2017,1.51,1.53,1.34,1.34,492288,151297000
Sep 20 2017,1.56,1.58,1.48,1.52,451794,155898000
Sep 19 2017,1.74,1.74,1.53,1.54,652657,174136000
Sep 18 2017,1.50,1.78,1.50,1.74,637481,150327000
Sep 17 2017,1.50,1.53,1.41,1.51,379060,149765000
Sep 16 2017,1.55,1.57,1.43,1.50,502995,155325000
Sep 15 2017,1.27,1.64,1.11,1.54,1015320,127333000
Sep 14 2017,1.57,1.62,1.21,1.27,922228,157294000
Sep 13 2017,1.72,1.73,1.49,1.58,914075,171981000
Sep 12 2017,1.71,1.87,1.69,1.73,896568,170490000
Sep 11 2017,1.87,1.90,1.65,1.69,1148110,186466000
Sep 10 2017,1.97,1.97,1.76,1.87,1051140,196698000
Sep 09 2017,1.95,2.00,1.87,1.98,612943,194761000
Sep 08 2017,2.25,2.26,1.88,1.93,1154950,224421000
Sep 07 2017,2.25,2.28,2.14,2.23,868109,224469000
Sep 06 2017,2.09,2.29,2.08,2.25,861218,209195000
Sep 05 2017,2.12,2.15,1.91,2.09,1115280,211494000
Sep 04 2017,2.46,2.46,1.87,2.11,1420620,245324000
Sep 03 2017,2.50,2.62,2.36,2.48,745142,249452000
Sep 02 2017,2.98,2.99,2.37,2.49,1020620,297417000
Sep 01 2017,2.51,3.10,2.51,2.99,3962710,250841000
Aug 31 2017,2.61,2.62,2.46,2.55,1176560,260512000
Aug 30 2017,2.50,2.66,2.27,2.60,1522710,249452000
Aug 29 2017,2.50,2.64,2.16,2.54,4110300,217417000
Aug 28 2017,2.66,2.68,2.46,2.52,2123260,231440000
Aug 27 2017,2.79,2.85,2.60,2.66,1053800,242195000
Aug 26 2017,2.64,2.86,2.46,2.79,1877030,229545000
Aug 25 2017,2.83,2.95,2.44,2.64,1692260,245781000
Aug 24 2017,3.03,3.03,2.82,2.83,1703620,263216000
Aug 23 2017,3.26,3.35,2.91,3.04,1830170,283670000
Aug 22 2017,3.22,3.39,2.89,3.27,1623000,279895000
Aug 21 2017,3.36,3.47,3.16,3.17,1647370,292312000
Aug 20 2017,3.11,3.54,3.07,3.41,1637800,270520000
Aug 19 2017,3.18,3.51,3.02,3.13,1848200,276210000
Aug 18 2017,2.98,3.41,2.92,3.16,2312210,258769000
Aug 17 2017,2.91,3.27,2.87,2.97,1824670,252531000
Aug 16 2017,2.89,3.05,2.77,2.90,1494230,250865000
Aug 15 2017,3.02,3.02,2.70,2.89,1366220,262419000
Aug 14 2017,2.91,3.09,2.81,3.01,1571700,252771000
Aug 13 2017,3.20,3.24,2.75,2.91,1507230,277855000
Aug 12 2017,3.33,3.43,3.01,3.20,2073890,289204000
Aug 11 2017,2.61,3.60,2.55,3.24,3849970,227190000
Aug 10 2017,2.95,2.98,2.55,2.63,2077500,255940000
Aug 09 2017,3.08,3.12,2.85,2.96,1426260,267787000
Aug 08 2017,2.86,3.14,2.66,3.07,1939350,248438000
Aug 07 2017,2.88,3.11,2.76,2.86,2048760,249987000
