Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001026,0.001224,0.000891,0.000901,118,112415
Mar 30 2018,0.001133,0.001195,0.000991,0.001025,61,124235
Mar 29 2018,0.001271,0.001283,0.001103,0.001136,42,139273
Mar 28 2018,0.001246,0.001278,0.000859,0.001269,109,136564
Mar 27 2018,0.001144,0.001311,0.000941,0.001246,71,125356
Mar 26 2018,0.000928,0.001188,0.000928,0.001145,406,101756
Mar 25 2018,0.001701,0.001724,0.000929,0.000929,1469,186386
Mar 24 2018,0.001426,0.001793,0.001332,0.001724,2530,156277
Mar 23 2018,0.001653,0.001653,0.001330,0.001405,131,181195
Mar 22 2018,0.001601,0.001897,0.001512,0.001653,429,175481
Mar 21 2018,0.001336,0.001604,0.001318,0.001604,25,146379
Mar 20 2018,0.001638,0.001791,0.001331,0.001333,277,179560
Mar 19 2018,0.001556,0.001649,0.001547,0.001620,22,170524
Mar 18 2018,0.001420,0.001566,0.001170,0.001563,3182,155558
Mar 17 2018,0.001577,0.001577,0.001317,0.001423,83,172837
Mar 16 2018,0.001570,0.001620,0.001297,0.001575,28,171988
Mar 15 2018,0.001477,0.001586,0.001232,0.001570,338,161880
Mar 14 2018,0.001372,0.001674,0.001372,0.001478,122,150388
Mar 13 2018,0.001545,0.001571,0.001331,0.001372,244,169311
Mar 12 2018,0.001623,0.001893,0.001498,0.001554,319,177782
Mar 11 2018,0.001316,0.001628,0.001271,0.001628,137,144226
Mar 10 2018,0.001945,0.001992,0.001309,0.001321,77,213062
Mar 09 2018,0.002974,0.003009,0.001390,0.001944,2228,325850
Mar 08 2018,0.002473,0.002997,0.001450,0.002993,1007,270928
Mar 07 2018,0.002037,0.002676,0.001568,0.002476,683,223150
Mar 06 2018,0.001956,0.002084,0.001844,0.002039,28,214293
Mar 05 2018,0.002300,0.002334,0.001714,0.001961,1894,251941
Mar 04 2018,0.001487,0.002342,0.001443,0.002301,404,162939
Mar 03 2018,0.001433,0.002063,0.001433,0.001490,91,156951
Mar 02 2018,0.001417,0.002007,0.001411,0.001434,92,155288
Mar 01 2018,0.001342,0.001991,0.001332,0.001421,273,147047
Feb 28 2018,0.002240,0.002317,0.001339,0.001340,154,245346
Feb 27 2018,0.002254,0.002274,0.002149,0.002242,113,246941
Feb 26 2018,0.001630,0.001770,0.001600,0.001758,38,178539
Feb 25 2018,0.001745,0.001776,0.001584,0.001628,71,191192
Feb 24 2018,0.001826,0.002029,0.001691,0.001748,171,200078
Feb 23 2018,0.001969,0.002071,0.001789,0.001829,1056,215687
Feb 22 2018,0.001989,0.002072,0.001868,0.001971,13,217839
Feb 21 2018,0.002916,0.002922,0.001849,0.001991,140,319458
Feb 20 2018,0.002569,0.003568,0.001971,0.002920,2848,281453
Feb 19 2018,0.003220,0.003825,0.002546,0.002567,633,352735
Feb 18 2018,0.002330,0.003945,0.002330,0.002818,343,255185
Feb 17 2018,0.002141,0.004394,0.002113,0.002323,5240,234478
Feb 16 2018,0.002119,0.002389,0.002053,0.002141,81,232104
Feb 15 2018,0.001990,0.002143,0.001967,0.002128,17,217943
Feb 14 2018,0.001787,0.002135,0.001787,0.001989,318,195740
Feb 13 2018,0.001868,0.001877,0.001762,0.001792,286,204655
Feb 12 2018,0.001702,0.002053,0.001702,0.001865,339,186454
Feb 11 2018,0.001881,0.002035,0.001692,0.001692,396,206013
Feb 10 2018,0.001738,0.002724,0.001729,0.001883,1383,190330
Feb 09 2018,0.001403,0.002354,0.001322,0.001737,372,153699
Feb 08 2018,0.001212,0.002236,0.001212,0.001399,152,132742
Feb 07 2018,0.001696,0.001969,0.001214,0.001217,187,185726
Feb 06 2018,0.001527,0.002079,0.001306,0.001713,241,167221
Feb 05 2018,0.001725,0.001760,0.001400,0.001525,4171,188878
Feb 04 2018,0.002496,0.002627,0.001700,0.001742,295,273345
Feb 03 2018,0.002659,0.002723,0.002006,0.002495,484,291176
Feb 02 2018,0.001453,0.002668,0.001234,0.002650,4927,159124
Feb 01 2018,0.002136,0.002145,0.001437,0.001456,34,233891
