Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.008888,0.009283,0.008222,0.008316,166,-
Mar 30 2018,0.009209,0.009360,0.007685,0.008887,252,-
Mar 29 2018,0.009529,0.010251,0.007584,0.009232,332,-
Mar 28 2018,0.010123,0.010955,0.008652,0.009518,478,-
Mar 27 2018,0.009803,0.010431,0.008649,0.010125,477,-
Mar 26 2018,0.012660,0.012729,0.009423,0.009818,392,-
Mar 25 2018,0.011904,0.013748,0.010931,0.012670,1185,-
Mar 24 2018,0.010694,0.012548,0.010423,0.012070,227,-
Mar 23 2018,0.011312,0.012168,0.010379,0.010541,228,-
Mar 22 2018,0.013343,0.015311,0.011280,0.011312,1628,-
Mar 21 2018,0.011576,0.013432,0.010543,0.013368,482,-
Mar 20 2018,0.012072,0.012967,0.010871,0.011555,358,-
Mar 19 2018,0.013924,0.014574,0.011688,0.011939,515,-
Mar 18 2018,0.012618,0.013982,0.011359,0.013982,371,-
Mar 17 2018,0.014942,0.016418,0.012570,0.012649,5172,-
Mar 16 2018,0.018999,0.019116,0.012103,0.014918,2202,-
Mar 15 2018,0.011490,0.022679,0.009432,0.019010,17013,-
Mar 14 2018,0.013724,0.014837,0.009857,0.011495,1202,-
Mar 13 2018,0.014542,0.015172,0.009974,0.013722,682,-
Mar 12 2018,0.016225,0.016518,0.013218,0.014626,186,-
Mar 11 2018,0.014040,0.016535,0.013561,0.016277,215,-
Mar 10 2018,0.015741,0.016108,0.013827,0.014089,401,-
Mar 09 2018,0.013940,0.015818,0.009537,0.015735,761,-
Mar 08 2018,0.017803,0.018028,0.013892,0.014029,678,-
Mar 07 2018,0.018222,0.019853,0.016449,0.017828,479,-
Mar 06 2018,0.026462,0.026462,0.018063,0.018246,1640,-
Mar 05 2018,0.027594,0.028014,0.019512,0.026536,5327,-
Mar 04 2018,0.024024,0.027614,0.021216,0.027614,414,-
Mar 03 2018,0.027548,0.028401,0.020348,0.024065,921,-
Mar 02 2018,0.027259,0.028964,0.025008,0.027582,894,-
Mar 01 2018,0.026845,0.028765,0.023694,0.027329,434,-
Feb 28 2018,0.025595,0.027763,0.022149,0.026805,507,-
Feb 27 2018,0.026810,0.028160,0.021645,0.025625,14542,-
Feb 26 2018,0.028760,0.029060,0.020393,0.026733,4612,-
Feb 25 2018,0.026179,0.028857,0.016564,0.028723,10795,-
Feb 24 2018,0.030440,0.031419,0.023306,0.023306,786,-
Feb 23 2018,0.022643,0.033717,0.020476,0.030478,4655,-
Feb 22 2018,0.028259,0.032294,0.016007,0.022664,11131,-
Feb 21 2018,0.038136,0.042354,0.028288,0.028288,3293,-
Feb 20 2018,0.046920,0.048344,0.037775,0.038184,3778,-
Feb 19 2018,0.033241,0.052003,0.033138,0.046878,24570,-
Feb 18 2018,0.041046,0.042376,0.032539,0.033394,4460,-
Feb 17 2018,0.042813,0.044473,0.034973,0.040921,32122,-
Feb 16 2018,0.045407,0.057028,0.033241,0.042822,10687,-
Feb 15 2018,0.053060,0.064138,0.043201,0.051682,28232,-
Feb 14 2018,0.067228,0.120991,0.043672,0.053031,107982,-
Feb 13 2018,0.039149,0.071314,0.032805,0.067429,42249,-
Feb 12 2018,0.037289,0.049605,0.031769,0.039078,33615,-
Feb 11 2018,0.035054,0.046606,0.026937,0.041081,32931,-
Feb 10 2018,0.021418,0.035137,0.021268,0.034228,60496,-
