Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.034000,0.035412,0.033725,0.033812,74450,1581280
Mar 30 2018,0.035873,0.036612,0.032261,0.034010,82330,1668380
Mar 29 2018,0.039930,0.040127,0.035305,0.035840,64979,1857090
Mar 28 2018,0.043789,0.043983,0.039734,0.039894,106586,2036570
Mar 27 2018,0.049441,0.052462,0.040506,0.043783,114569,2299400
Mar 26 2018,0.051217,0.051418,0.046957,0.049502,115689,2381990
Mar 25 2018,0.050838,0.054883,0.048483,0.051325,164742,2364360
Mar 24 2018,0.055500,0.055607,0.051260,0.051260,116662,2581210
Mar 23 2018,0.050460,0.056194,0.046115,0.054816,135285,2346800
Mar 22 2018,0.051148,0.052393,0.049343,0.050587,108067,2378820
Mar 21 2018,0.050560,0.052447,0.050208,0.051148,104599,2351460
Mar 20 2018,0.049653,0.051034,0.047678,0.050314,73089,2309280
Mar 19 2018,0.047517,0.050059,0.046746,0.049323,70486,2209920
Mar 18 2018,0.048395,0.050238,0.044289,0.047634,77038,2250750
Mar 17 2018,0.055146,0.055441,0.047887,0.048370,96500,2564730
Mar 16 2018,0.055510,0.056426,0.053297,0.054956,101157,2581680
Mar 15 2018,0.060675,0.060908,0.054409,0.055544,86426,2821870
Mar 14 2018,0.068928,0.069845,0.059495,0.060681,93945,3205730
Mar 13 2018,0.068379,0.070792,0.067608,0.068928,112722,3180190
Mar 12 2018,0.070886,0.072698,0.067323,0.068472,129491,3296770
Mar 11 2018,0.069476,0.073170,0.067565,0.070996,142992,3231230
Mar 10 2018,0.069912,0.073077,0.069343,0.069637,143108,3251500
Mar 09 2018,0.071262,0.071946,0.065952,0.069900,117928,3314240
Mar 08 2018,0.072826,0.074443,0.068903,0.071506,139188,3387000
Mar 07 2018,0.079188,0.079628,0.071285,0.072906,126440,3682910
Mar 06 2018,0.083001,0.083001,0.078490,0.079030,146056,3860230
Mar 05 2018,0.084220,0.084344,0.082379,0.083180,207819,3916920
Mar 04 2018,0.082683,0.084259,0.081142,0.084118,189303,3845440
Mar 03 2018,0.081693,0.083362,0.081440,0.082765,188239,3799380
Mar 02 2018,0.084369,0.086586,0.080825,0.081748,174737,3923850
Mar 01 2018,0.080967,0.085462,0.080728,0.084670,183819,3765630
Feb 28 2018,0.084793,0.087435,0.080815,0.080898,165506,3943560
Feb 27 2018,0.085432,0.085699,0.082595,0.084838,204926,3973270
Feb 26 2018,0.083828,0.087683,0.082682,0.085266,70693,3898700
Feb 25 2018,0.085227,0.085905,0.082083,0.083935,179676,3963760
Feb 24 2018,0.089779,0.091516,0.084591,0.085175,184402,4175480
Feb 23 2018,0.083914,0.092055,0.082622,0.089859,141499,3902670
Feb 22 2018,0.083936,0.086980,0.079131,0.083987,181598,3903730
Feb 21 2018,0.087703,0.088926,0.083207,0.084009,201654,4078890
Feb 20 2018,0.093041,0.095919,0.086983,0.087594,163692,4327160
Feb 19 2018,0.092019,0.095854,0.091651,0.093008,204429,4279640
Feb 18 2018,0.097547,0.098909,0.091802,0.092205,203983,4536720
Feb 17 2018,0.096359,0.105089,0.094743,0.097809,266957,4481480
Feb 16 2018,0.096801,0.101443,0.083468,0.096524,72774,4502020
Feb 15 2018,0.091279,0.109070,0.090819,0.096996,105178,4245240
Feb 14 2018,0.085500,0.091857,0.085500,0.091322,110209,3976470
Feb 13 2018,0.088708,0.089431,0.084443,0.085599,170244,4125650
Feb 12 2018,0.082287,0.090762,0.082287,0.088853,171747,3827020
Feb 11 2018,0.088746,0.089451,0.081531,0.081531,120268,4127430
Feb 10 2018,0.101081,0.102474,0.086850,0.088815,145125,4701070
Feb 09 2018,0.098251,0.103095,0.092313,0.100892,113545,4569470
Feb 08 2018,0.093471,0.104026,0.093151,0.098084,80187,4347190
Feb 07 2018,0.095117,0.127965,0.089953,0.093271,125728,4423720
