Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.909343,0.982170,0.874178,0.931114,12378,2235160
Mar 30 2018,0.889297,0.925276,0.839576,0.909204,13893,2173830
Mar 29 2018,1.01,1.02,0.841174,0.891513,16076,2454290
Mar 28 2018,0.998424,1.07,0.987076,1.01,38452,2413380
Mar 27 2018,1.20,1.28,1.01,1.03,21720,2895640
Mar 26 2018,1.27,1.30,1.14,1.21,21270,3035790
Mar 25 2018,1.48,1.54,1.27,1.27,28708,3525750
Mar 24 2018,1.49,1.77,1.32,1.50,37474,3518940
Mar 23 2018,1.25,1.43,1.20,1.37,30389,2929510
Mar 22 2018,1.36,1.44,1.22,1.25,23682,3178580
Mar 21 2018,1.25,1.59,1.17,1.36,52072,2894470
Mar 20 2018,1.06,1.37,1.03,1.24,32226,2452900
Mar 19 2018,0.985292,1.08,0.979487,1.05,21898,2260570
Mar 18 2018,0.997650,1.04,0.912745,0.989461,15372,2275530
Mar 17 2018,1.08,1.17,0.939160,1.00,17610,2456060
Mar 16 2018,1.05,1.21,1.02,1.07,20136,2374000
Mar 15 2018,1.08,1.15,0.998120,1.05,15395,2417210
Mar 14 2018,1.19,1.38,1.03,1.08,24854,2639230
Mar 13 2018,1.32,1.46,1.11,1.19,25961,2919270
Mar 12 2018,1.28,1.60,1.23,1.33,25516,2812090
Mar 11 2018,1.09,1.32,1.06,1.28,20251,2377120
Mar 10 2018,1.27,1.30,1.09,1.09,24436,2754010
Mar 09 2018,1.20,1.26,1.05,1.25,27127,2581340
Mar 08 2018,1.48,1.48,1.14,1.20,18506,3169040
Mar 07 2018,1.50,1.59,1.27,1.48,24982,3184380
Mar 06 2018,1.41,1.70,1.26,1.50,52182,2982660
Mar 05 2018,1.28,1.66,1.27,1.42,54752,2693090
Mar 04 2018,1.96,2.03,1.28,1.44,45807,4086540
Mar 03 2018,2.15,2.29,1.92,1.96,22550,4469670
Mar 02 2018,2.09,2.20,1.68,2.16,57370,4299140
Mar 01 2018,1.93,2.24,1.91,2.09,49294,3949950
Feb 28 2018,2.76,2.76,1.92,1.96,39621,5607830
Feb 27 2018,2.99,3.21,2.75,2.77,52271,6049650
Feb 26 2018,2.59,2.98,2.40,2.98,86255,5200480
Feb 25 2018,3.30,3.63,2.40,2.59,61584,6572220
Feb 24 2018,3.57,3.66,2.93,3.30,19429,7074360
Feb 23 2018,3.20,3.66,3.07,3.58,20134,6300410
Feb 22 2018,3.02,3.74,2.62,3.21,70565,5895110
Feb 21 2018,2.99,3.52,2.63,3.02,63039,5803190
Feb 20 2018,3.01,3.49,2.36,3.00,72916,5656600
Feb 19 2018,3.14,3.28,2.89,3.00,46880,5901430
Feb 18 2018,3.65,4.02,3.14,3.15,35746,6861020
Feb 17 2018,3.26,4.28,3.22,3.73,69824,6136980
Feb 16 2018,3.38,3.63,2.92,3.26,80058,6313850
Feb 15 2018,3.62,3.77,3.25,3.40,77178,6723780
Feb 14 2018,3.70,4.69,3.00,3.62,149640,6822840
Feb 13 2018,3.76,3.84,3.50,3.71,46856,6877130
Feb 12 2018,3.37,3.88,3.28,3.75,109095,6122260
Feb 11 2018,3.94,3.94,3.16,3.35,60666,7092460
Feb 10 2018,4.28,4.53,3.81,3.94,66148,7654860
Feb 09 2018,4.17,4.58,3.83,4.10,66207,7398090
Feb 08 2018,4.16,4.83,4.12,4.21,68097,7326130
Feb 07 2018,4.62,4.90,4.00,4.18,60317,8079910
Feb 06 2018,3.87,4.71,3.25,4.67,90029,6714290
Feb 05 2018,4.89,4.96,3.82,3.87,66371,8412910
Feb 04 2018,6.48,6.48,4.50,4.94,51734,11061200
Feb 03 2018,4.99,7.01,4.41,6.48,146403,8447550
Feb 02 2018,4.30,5.32,3.86,4.95,143738,7225870
Feb 01 2018,5.59,5.90,3.64,4.31,86713,9315540
Jan 31 2018,5.51,6.16,5.21,5.58,129525,9098480
Jan 30 2018,7.19,7.23,5.42,5.58,172254,11782600
Jan 29 2018,8.24,8.47,6.68,6.79,189965,13381500
Jan 28 2018,8.33,8.96,8.05,8.25,134286,13422600
Jan 27 2018,8.40,9.05,8.17,8.40,215182,13412100
Jan 26 2018,7.66,8.61,7.26,8.41,188590,12122100
Jan 25 2018,9.07,9.24,7.35,7.68,170650,14214800
Jan 24 2018,8.24,9.20,7.93,8.92,202621,12815800
Jan 23 2018,8.81,10.44,7.16,8.24,208134,13577800
Jan 22 2018,10.95,11.23,7.64,8.79,274904,16733800
Jan 21 2018,11.65,12.32,10.19,10.37,215719,17635100
Jan 20 2018,11.50,13.00,11.46,11.62,308416,17260900
Jan 19 2018,11.50,13.42,10.91,11.38,271471,17108800
Jan 18 2018,10.84,12.91,10.64,11.63,390019,15970400
Jan 17 2018,11.76,11.98,8.67,10.80,269478,17174200
Jan 16 2018,13.34,13.85,9.14,11.82,400402,19285300
Jan 15 2018,13.41,16.76,13.11,13.11,441579,19211600
Jan 14 2018,17.23,17.23,12.62,13.31,307572,24443400
Jan 13 2018,15.72,19.05,14.18,15.07,410166,22089900
Jan 12 2018,14.69,19.00,14.01,15.74,567736,20439800
Jan 11 2018,10.80,18.43,9.19,14.60,740381,14875500
Jan 10 2018,10.64,11.59,9.59,10.81,194322,14507600
Jan 09 2018,10.99,13.62,10.09,10.44,288978,14748200
Jan 08 2018,11.55,12.10,9.54,11.02,299797,15440300
Jan 07 2018,10.69,13.24,9.74,11.26,313559,14139800
Jan 06 2018,9.67,11.01,9.02,10.08,264180,12670600
Jan 05 2018,8.45,9.92,7.89,9.67,230679,10952500
Jan 04 2018,8.57,9.34,7.52,8.45,287234,10996800
Jan 03 2018,7.24,14.15,6.08,8.53,438904,9191590
Jan 02 2018,5.45,7.52,5.06,7.27,334480,6844770
Jan 01 2018,5.85,6.19,5.42,5.45,150883,7260290
Dec 31 2017,5.62,6.43,5.19,5.83,131203,6896430
Dec 30 2017,5.91,6.59,4.83,5.68,192357,7174700
Dec 29 2017,4.93,6.23,4.86,5.94,236938,5918540
Dec 28 2017,5.16,5.47,4.36,4.87,110424,6119320
Dec 27 2017,4.60,5.31,4.46,4.76,152100,5401420
Dec 26 2017,4.02,4.92,4.02,4.60,138086,4664050
Dec 25 2017,4.00,4.22,3.73,4.07,118217,4577580
Dec 24 2017,4.05,4.17,3.46,3.96,83759,4587420
Dec 23 2017,3.70,4.45,3.66,4.01,77684,4132030
Dec 22 2017,4.43,4.47,3.12,3.82,93624,4890090
Dec 21 2017,4.86,5.19,4.21,4.41,139178,5306050
Dec 20 2017,4.93,4.93,4.25,4.61,122478,5311460
Dec 19 2017,5.15,5.24,4.76,4.94,105712,5479280
Dec 18 2017,5.26,5.33,4.98,5.15,148884,5517890
Dec 17 2017,5.35,5.79,5.16,5.20,139807,5545720
Dec 16 2017,4.95,6.12,4.77,5.36,135167,5059380
Dec 15 2017,4.73,5.12,4.61,4.81,114327,4767570
Dec 14 2017,4.82,5.20,4.43,4.72,156122,4799000
Dec 13 2017,4.61,5.49,4.36,4.84,121576,4518550
Dec 12 2017,4.35,5.16,4.21,4.60,111906,4205440
Dec 11 2017,3.98,5.17,3.93,4.33,109927,3796500
Dec 10 2017,3.88,4.33,3.37,4.01,72599,3645540
Dec 09 2017,3.73,4.59,3.57,3.86,115701,3454450
Dec 08 2017,4.55,4.60,2.56,3.73,127059,4154520
Dec 07 2017,3.77,4.76,3.37,4.61,123745,3391110
Dec 06 2017,3.96,4.48,3.56,3.78,99087,3506740
Dec 05 2017,4.19,4.69,3.97,3.97,99369,3655500
Dec 04 2017,4.64,5.02,3.87,4.18,91105,3989510
Dec 03 2017,4.00,4.51,3.69,4.51,157982,3381600
Dec 02 2017,3.72,4.09,3.63,3.99,108372,3097450
Dec 01 2017,3.72,4.04,3.47,3.72,97781,3050680
Nov 30 2017,3.27,3.99,3.25,3.78,94320,2633500
Nov 29 2017,4.47,4.55,3.21,3.22,157218,3539830
Nov 28 2017,2.55,4.54,2.42,4.54,173648,1983740
Nov 27 2017,2.36,2.76,1.95,2.54,172121,1804550
Nov 26 2017,2.66,3.00,1.82,2.36,128997,2000850
Nov 25 2017,3.26,3.27,2.19,2.66,144130,2407710
Nov 24 2017,3.29,3.47,2.85,3.27,177461,2385780
Nov 23 2017,3.63,3.65,3.22,3.22,117032,2581910
Nov 22 2017,3.25,3.82,3.15,3.63,146828,2267120
Nov 21 2017,3.82,3.87,3.07,3.24,136375,2615540
Nov 20 2017,3.22,3.91,2.92,3.68,158414,2158150
Nov 19 2017,3.88,3.99,3.08,3.22,97817,2550610
Nov 18 2017,3.90,4.31,3.49,3.84,134012,2537240
Nov 17 2017,4.42,4.68,3.85,3.88,77591,2797090
Nov 16 2017,4.09,4.85,3.93,4.43,87832,2540270
Nov 15 2017,4.09,4.63,4.05,4.14,143699,2459160
Nov 14 2017,3.80,4.28,3.69,4.11,130634,2239190
Nov 13 2017,3.07,4.43,3.00,3.79,103825,1751340
Nov 12 2017,3.41,3.90,2.76,3.07,83628,1917080
Nov 11 2017,4.60,4.73,3.41,3.41,108495,2506280
Nov 10 2017,3.82,4.86,3.82,4.48,186276,2049350
Nov 09 2017,3.89,4.32,3.47,3.81,151818,-
Nov 08 2017,3.86,3.89,3.55,3.89,160993,-
