Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001709,0.002231,0.001118,0.002148,5,-
Mar 30 2018,0.001983,0.002068,0.001653,0.001709,161,-
Mar 29 2018,0.001955,0.002082,0.001913,0.001988,3,-
Mar 28 2018,0.002414,0.002454,0.002400,0.002445,4602,-
Mar 27 2018,0.002777,0.002786,0.002224,0.002414,4544,-
Mar 26 2018,0.002954,0.002970,0.002368,0.002782,221,-
Mar 25 2018,0.003067,0.003107,0.002943,0.002956,10,-
Mar 21 2018,0.003740,0.003822,0.003734,0.003813,3269,-
Mar 20 2018,0.003481,0.003784,0.003481,0.003733,6420,-
Mar 18 2018,0.002997,0.002997,0.002779,0.002850,1,-
Mar 17 2018,0.003653,0.003653,0.002960,0.003004,1,-
Mar 16 2018,0.003286,0.003775,0.003286,0.003647,10136,-
Mar 15 2018,0.003365,0.003386,0.003157,0.003245,7885,-
Mar 14 2018,0.003996,0.003996,0.003278,0.003366,8181,-
Mar 13 2018,0.003454,0.003603,0.003395,0.003439,7,-
Mar 12 2018,0.003939,0.004155,0.003349,0.003474,6929,-
Mar 10 2018,0.003519,0.003604,0.003480,0.003547,112,-
Mar 09 2018,0.003792,0.003890,0.003295,0.003517,122,-
Mar 08 2018,0.003956,0.004006,0.003825,0.003980,2,-
Mar 07 2018,0.005145,0.005181,0.003778,0.003962,52,-
Mar 06 2018,0.005523,0.005523,0.004961,0.005152,2731,-
Mar 05 2018,0.005519,0.006073,0.005481,0.005538,29977,-
Mar 04 2018,0.005606,0.005610,0.005337,0.005523,2,-
Mar 03 2018,0.006171,0.006255,0.005523,0.005615,4,-
Mar 02 2018,0.005997,0.006500,0.005875,0.006178,21689,-
Mar 01 2018,0.004130,0.006085,0.004098,0.006012,16229,-
Feb 28 2018,0.004276,0.004413,0.004120,0.004124,14135,-
Feb 25 2018,0.004266,0.004340,0.004100,0.004152,1,-
Feb 24 2018,0.004059,0.004308,0.004001,0.004273,1,-
Feb 23 2018,0.004430,0.004470,0.003969,0.004064,13911,-
Feb 22 2018,0.004710,0.005455,0.004387,0.004434,2777,-
Feb 21 2018,0.006057,0.007706,0.004624,0.004715,4280,-
Feb 20 2018,0.004469,0.006064,0.004159,0.006064,170,-
Feb 19 2018,0.004023,0.004503,0.003959,0.004465,6469,-
Feb 18 2018,0.004105,0.004175,0.003779,0.003980,60,-
Feb 17 2018,0.004077,0.004353,0.003954,0.004092,62,-
Feb 16 2018,0.004036,0.004109,0.003900,0.004078,2,-
Feb 15 2018,0.003695,0.004081,0.003523,0.004053,119,-
Feb 14 2018,0.003404,0.003703,0.003404,0.003693,25,-
Feb 13 2018,0.004456,0.004466,0.003393,0.003414,7,-
Feb 11 2018,0.003762,0.003762,0.003603,0.003624,19,-
Feb 10 2018,0.004605,0.004742,0.003599,0.003765,26,-
Feb 09 2018,0.004375,0.004622,0.003732,0.004602,7635,-
Feb 08 2018,0.003055,0.004481,0.003052,0.004362,49,-
Feb 06 2018,0.002846,0.003240,0.002434,0.003195,37,-
Feb 05 2018,0.003838,0.004257,0.002805,0.002842,8262,-
Feb 02 2018,0.004541,0.004541,0.003856,0.004217,35,-
Feb 01 2018,0.004068,0.005204,0.004050,0.004550,10958,-
Jan 31 2018,0.004307,0.004449,0.003938,0.004059,3,-
Jan 30 2018,0.007056,0.007071,0.004229,0.004300,17,-
Jan 29 2018,0.004292,0.007955,0.004281,0.007054,29897,-
Jan 28 2018,0.004795,0.004847,0.004212,0.004296,20,-
Jan 27 2018,0.004117,0.004870,0.004040,0.004771,258,-
Jan 26 2018,0.004129,0.005336,0.003993,0.004119,16021,-
Jan 25 2018,0.006505,0.006574,0.004118,0.004140,322,-
Jan 24 2018,0.005312,0.006710,0.005166,0.006399,26555,-
Jan 23 2018,0.005198,0.005584,0.004901,0.005315,5585,-
Jan 22 2018,0.005572,0.005840,0.004883,0.005211,187,-
Jan 21 2018,0.005117,0.006039,0.004135,0.005497,28196,-
Jan 20 2018,0.008476,0.008476,0.004946,0.005105,20,-
Jan 19 2018,0.004849,0.005099,0.004743,0.005034,19,-
Jan 18 2018,0.004567,0.005205,0.004387,0.004901,1370,-
Jan 17 2018,0.004912,0.005037,0.004002,0.004549,12,-
Jan 16 2018,0.006881,0.007946,0.004937,0.004937,11129,-
Jan 15 2018,0.006845,0.006983,0.006808,0.006901,64,-
Jan 14 2018,0.008042,0.008126,0.006633,0.006895,75,-
Jan 13 2018,0.005566,0.008180,0.005552,0.008037,110,-
Jan 12 2018,0.005803,0.007312,0.005426,0.005572,322,-
Jan 11 2018,0.005014,0.010161,0.004318,0.005765,17694,-
Jan 10 2018,0.005404,0.005502,0.005065,0.005389,10,-
Jan 09 2018,0.005723,0.005823,0.004607,0.005397,10866,-
Jan 08 2018,0.004723,0.005806,0.004312,0.005738,15,-
Jan 07 2018,0.004901,0.004916,0.004608,0.004729,16,-
Jan 06 2018,0.004925,0.004958,0.004745,0.004827,82,-
Jan 05 2018,0.006983,0.007457,0.004680,0.004921,84,-
Jan 04 2018,0.004563,0.006982,0.002906,0.006982,32,-
Jan 03 2018,0.007121,0.007422,0.004451,0.004538,17,-
Jan 02 2018,0.004050,0.007296,0.004050,0.007147,19,-
Jan 01 2018,0.007410,0.007410,0.003873,0.004051,9,-
Dec 31 2017,0.007247,0.007548,0.004200,0.007382,441,-
Dec 30 2017,0.008263,0.008265,0.006939,0.007326,77,-
Dec 29 2017,0.006944,0.009225,0.006859,0.008283,14829,-
Dec 28 2017,0.007758,0.008400,0.006497,0.006873,18439,-
Dec 27 2017,0.006810,0.008114,0.006756,0.007774,8154,-
Dec 26 2017,0.008497,0.009449,0.006105,0.006805,12603,-
Dec 25 2017,0.005635,0.011852,0.005307,0.008506,27040,-
Dec 24 2017,0.005843,0.005843,0.005027,0.005577,63,-
Dec 23 2017,0.005516,0.006263,0.005438,0.005779,65,-
Dec 22 2017,0.006285,0.006347,0.004578,0.005464,62,-
Dec 21 2017,0.006593,0.006955,0.006059,0.006263,71,-
Dec 20 2017,0.007047,0.007134,0.006306,0.006576,74,-
Dec 19 2017,0.012245,0.012289,0.006821,0.007054,80,-
Dec 18 2017,0.012436,0.017188,0.011832,0.012235,27251,-
Dec 17 2017,0.019595,0.020367,0.012398,0.012398,14,-
Dec 16 2017,0.018706,0.020288,0.018469,0.020288,2,-
Dec 15 2017,0.009455,0.019581,0.009453,0.018679,2059,-
Dec 14 2017,0.006550,0.009725,0.006504,0.009441,14412,-
Dec 13 2017,0.008984,0.009859,0.006525,0.006571,54,-
Dec 12 2017,0.008755,0.009235,0.008550,0.008976,20370,-
Dec 11 2017,0.008840,0.009621,0.008154,0.008727,19805,-
Dec 10 2017,0.010075,0.010075,0.008870,0.009420,8428,-
Dec 09 2017,0.011059,0.011223,0.008073,0.010035,8977,-
Dec 08 2017,0.011802,0.011978,0.005774,0.011071,19,-
Dec 07 2017,0.009478,0.011774,0.009357,0.011774,8,-
Dec 06 2017,0.008074,0.009507,0.008074,0.009494,2,-
Dec 05 2017,0.008276,0.008304,0.006609,0.008091,6,-
Dec 04 2017,0.006317,0.008260,0.006317,0.008260,7016,-
Dec 03 2017,0.006778,0.006817,0.006733,0.006785,11,-
Dec 02 2017,0.007728,0.007867,0.006651,0.006771,11,-
Dec 01 2017,0.006296,0.007780,0.005960,0.007734,9985,-
Nov 30 2017,0.006323,0.006547,0.005669,0.006327,6186,-
Nov 29 2017,0.007942,0.008108,0.007942,0.008108,9,-
Nov 28 2017,0.007262,0.007984,0.007262,0.007950,9321,-
Nov 26 2017,0.007259,0.007429,0.007251,0.007393,40,-
Nov 25 2017,0.005911,0.007262,0.005878,0.007262,40,-
Nov 24 2017,0.005787,0.006004,0.005676,0.005923,8897,-
Nov 23 2017,0.005922,0.005951,0.005795,0.005795,8704,-
Nov 22 2017,0.003083,0.005976,0.003070,0.005924,8898,-
Nov 21 2017,0.006758,0.007993,0.003032,0.003076,9113,-
Nov 20 2017,0.006435,0.006862,0.006358,0.006757,10686,-
Nov 19 2017,0.006307,0.006489,0.006157,0.006438,17,-
Nov 18 2017,0.006226,0.006368,0.006036,0.006319,5,-
Nov 17 2017,0.006668,0.007508,0.006250,0.006250,7401,-
Nov 16 2017,0.006354,0.006802,0.006274,0.006679,3015,-
Nov 15 2017,0.005620,0.006372,0.005620,0.006321,2792,-
Nov 14 2017,0.005747,0.006318,0.005463,0.005616,59,-
Nov 13 2017,0.004990,0.005768,0.004951,0.005735,8808,-
Nov 12 2017,0.005517,0.005703,0.004812,0.004983,23,-
Nov 11 2017,0.005852,0.006061,0.005844,0.005963,1301,-
Nov 10 2017,0.006559,0.006748,0.005742,0.005873,1282,-
Nov 09 2017,0.007766,0.007766,0.006263,0.006539,14022,-
