Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.033484,0.036904,0.032300,0.034658,91887,-
Mar 30 2018,0.031145,0.034944,0.029430,0.033503,88229,-
Mar 29 2018,0.037718,0.037945,0.030795,0.031233,30395,-
Mar 28 2018,0.037317,0.038969,0.036278,0.037964,99886,-
Mar 27 2018,0.041306,0.041523,0.036105,0.037315,128532,-
Mar 26 2018,0.042295,0.045109,0.039696,0.041343,48111,-
Mar 25 2018,0.044386,0.046652,0.042178,0.042348,91630,-
Mar 24 2018,0.045762,0.046594,0.044877,0.044977,61755,-
Mar 23 2018,0.040604,0.046250,0.040526,0.045214,212162,-
Mar 22 2018,0.041260,0.043485,0.039177,0.040609,56476,-
Mar 21 2018,0.042247,0.044734,0.041064,0.041188,18972,-
Mar 20 2018,0.041790,0.042914,0.037902,0.042017,19211,-
Mar 19 2018,0.039699,0.043333,0.037998,0.041712,66671,-
Mar 18 2018,0.043608,0.043608,0.035112,0.039820,208280,-
Mar 17 2018,0.045189,0.049494,0.039377,0.043694,218838,-
Mar 16 2018,0.048968,0.050002,0.041072,0.045271,224843,-
Mar 15 2018,0.047842,0.056479,0.044301,0.049154,251127,-
Mar 14 2018,0.047853,0.050928,0.040237,0.047360,243986,-
Mar 13 2018,0.051914,0.053106,0.045538,0.048035,256696,-
Mar 12 2018,0.055027,0.060106,0.048708,0.052005,300256,-
Mar 11 2018,0.045675,0.058746,0.041955,0.054943,336758,-
Mar 10 2018,0.047949,0.049737,0.040643,0.045588,270733,-
Mar 09 2018,0.049060,0.050083,0.039659,0.046612,334783,-
Mar 08 2018,0.050240,0.053169,0.043865,0.049172,445785,-
Mar 07 2018,0.055929,0.060085,0.047930,0.050315,166397,-
Mar 06 2018,0.060647,0.067732,0.055180,0.055911,144672,-
Mar 05 2018,0.063946,0.064270,0.060155,0.060728,68043,-
Mar 04 2018,0.065565,0.066720,0.061636,0.064002,33108,-
Mar 03 2018,0.064864,0.073170,0.063178,0.065621,103741,-
Mar 02 2018,0.061398,0.074321,0.060919,0.064926,244693,-
Mar 01 2018,0.062431,0.064069,0.059978,0.061465,56524,-
Feb 28 2018,0.066516,0.067428,0.061681,0.062391,58851,-
Feb 27 2018,0.067263,0.068059,0.063511,0.065950,77106,-
Feb 26 2018,0.064635,0.070029,0.061446,0.067074,42995,-
Feb 25 2018,0.063345,0.068439,0.059733,0.064582,31091,-
Feb 24 2018,0.071353,0.073831,0.061658,0.063475,57947,-
Feb 23 2018,0.076128,0.078295,0.068488,0.071422,73406,-
Feb 22 2018,0.066469,0.103434,0.066469,0.076212,682886,-
Feb 21 2018,0.069601,0.071700,0.065167,0.066573,137082,-
Feb 20 2018,0.074998,0.075654,0.068536,0.069688,171688,-
Feb 19 2018,0.072228,0.076491,0.070981,0.074200,212679,-
Feb 18 2018,0.077523,0.078591,0.071114,0.072591,284273,-
Feb 17 2018,0.073498,0.079777,0.072663,0.077402,475910,-
Feb 16 2018,0.072566,0.077293,0.068443,0.073052,901448,-
Feb 15 2018,0.069410,0.073191,0.065795,0.072735,635289,-
Feb 14 2018,0.062672,0.071126,0.058980,0.071015,783785,-
Feb 13 2018,0.069123,0.069824,0.062162,0.063129,537920,-
Feb 12 2018,0.064129,0.072228,0.063966,0.069007,546157,-
Feb 11 2018,0.066585,0.069014,0.063205,0.064117,616955,-
Feb 10 2018,0.070270,0.075369,0.063466,0.067096,507397,-
Feb 09 2018,0.071961,0.073724,0.060926,0.070264,611699,-
Feb 08 2018,0.059572,0.076164,0.054814,0.069995,677836,-
Feb 07 2018,0.068478,0.072235,0.059669,0.059794,413460,-
Feb 06 2018,0.061255,0.071703,0.049195,0.069236,663894,-
Feb 05 2018,0.070386,0.079055,0.057663,0.061154,379748,-
Feb 04 2018,0.090151,0.091332,0.071075,0.071075,88869,-
Feb 03 2018,0.079858,0.091141,0.071295,0.090131,126740,-
Feb 02 2018,0.083754,0.083754,0.067502,0.079534,112688,-
Feb 01 2018,0.095647,0.099878,0.077598,0.083994,186041,-
Jan 31 2018,0.092389,0.100202,0.086812,0.095443,344794,-
Jan 30 2018,0.113508,0.114099,0.088416,0.092174,276170,-
Jan 29 2018,0.123056,0.123982,0.102367,0.113467,334718,-
Jan 28 2018,0.119709,0.134315,0.116273,0.123209,343035,-
Jan 27 2018,0.131024,0.131742,0.112201,0.119011,314031,-
Jan 26 2018,0.141613,0.152938,0.120278,0.131071,567035,-
Jan 25 2018,0.103311,0.144080,0.102933,0.141161,1307570,-
Jan 24 2018,0.085808,0.105662,0.082675,0.101982,455710,-
Jan 23 2018,0.087926,0.095716,0.080020,0.085827,145933,-
Jan 22 2018,0.089497,0.096452,0.080392,0.085771,142052,-
Jan 21 2018,0.097087,0.103031,0.086361,0.088291,125666,-
Jan 20 2018,0.081652,0.110635,0.078758,0.096862,753189,-
Jan 19 2018,0.088862,0.099031,0.077648,0.080774,227200,-
Jan 18 2018,0.088556,0.101364,0.083848,0.089806,221268,-
Jan 17 2018,0.091491,0.103065,0.066176,0.088216,322700,-
Jan 16 2018,0.107769,0.116941,0.076677,0.091958,614123,-
