Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.903532,0.981526,0.855337,0.856686,21774,15018800
Mar 30 2018,0.973735,0.983848,0.848469,0.903394,46310,16183800
Mar 29 2018,1.11,1.11,0.937707,0.976162,48240,18475800
Mar 28 2018,1.17,1.19,1.07,1.10,49068,19511800
Mar 27 2018,1.20,1.23,1.12,1.17,29692,20011100
Mar 26 2018,1.26,1.28,1.16,1.21,15624,20885200
Mar 25 2018,1.25,1.32,1.23,1.26,8470,20693100
Mar 24 2018,1.37,1.38,1.27,1.28,14498,22794000
Mar 23 2018,1.34,1.37,1.28,1.35,14863,22252900
Mar 22 2018,1.35,1.38,1.29,1.34,13147,22444000
Mar 21 2018,1.32,1.40,1.31,1.35,14855,21996400
Mar 20 2018,1.25,1.34,1.23,1.32,9094,20787000
Mar 19 2018,1.23,1.30,1.20,1.24,22472,20390800
Mar 18 2018,1.21,1.24,1.10,1.23,19075,20155800
Mar 17 2018,1.28,1.30,1.20,1.22,7014,21170800
Mar 16 2018,1.29,1.37,1.24,1.27,20715,21368500
Mar 15 2018,1.36,1.38,1.20,1.29,44116,22594600
Mar 14 2018,1.60,1.64,1.32,1.35,22735,26535000
Mar 13 2018,1.67,1.74,1.54,1.57,33136,27723400
Mar 12 2018,1.62,1.72,1.57,1.68,40465,26876200
Mar 11 2018,1.47,1.65,1.38,1.63,23099,24402000
Mar 10 2018,1.54,1.64,1.47,1.48,18399,25486500
Mar 09 2018,1.68,1.69,1.39,1.53,158268,27773500
Mar 08 2018,1.85,1.90,1.67,1.69,16203,30594100
Mar 07 2018,2.15,2.22,1.81,1.85,71861,35623800
Mar 06 2018,2.35,2.35,2.13,2.15,10380,38974400
Mar 05 2018,2.46,2.64,2.34,2.36,98246,40820600
Mar 04 2018,2.51,2.51,2.33,2.47,33244,41514700
Mar 03 2018,2.41,2.59,2.40,2.51,76682,39945900
Mar 02 2018,1.82,2.45,1.82,2.38,163987,30163600
Mar 01 2018,1.73,1.87,1.71,1.83,41311,28732100
Feb 28 2018,1.90,1.93,1.73,1.73,36094,31411100
Feb 27 2018,1.86,1.98,1.83,1.90,28680,30769600
Feb 26 2018,1.67,2.17,1.62,1.85,103757,27669000
Feb 25 2018,1.66,1.71,1.58,1.67,26631,27450500
Feb 24 2018,1.82,1.88,1.62,1.66,36943,30148800
Feb 23 2018,1.71,1.83,1.59,1.82,70985,28359000
Feb 22 2018,1.91,2.04,1.67,1.72,52788,31618000
Feb 21 2018,2.16,2.17,1.85,1.91,103086,35730100
Feb 20 2018,2.46,2.55,2.11,2.16,110893,40663400
Feb 19 2018,2.47,2.61,2.44,2.46,76601,40790900
Feb 18 2018,2.74,2.76,2.45,2.48,31953,45344000
Feb 17 2018,2.67,2.78,2.61,2.73,69006,44110600
Feb 16 2018,2.74,2.83,2.56,2.67,82123,45304700
Feb 15 2018,2.55,2.91,2.46,2.75,105446,42174300
Feb 14 2018,2.60,2.88,2.50,2.52,134474,42913400
Feb 13 2018,2.52,2.75,2.44,2.60,131881,41733000
Feb 12 2018,2.03,2.71,2.03,2.52,167141,33503300
Feb 11 2018,2.22,2.22,1.97,2.05,23204,36740400
Feb 10 2018,2.28,2.38,2.06,2.22,53289,37619600
Feb 09 2018,2.14,2.29,1.98,2.27,65160,35348100
Feb 08 2018,1.96,2.32,1.96,2.13,54548,32302700
Feb 07 2018,1.93,2.36,1.83,1.96,95239,31896200
Feb 06 2018,1.80,2.07,1.42,1.95,223420,29789100
Feb 05 2018,2.33,2.43,1.72,1.80,136165,38452000
Feb 04 2018,2.80,2.87,2.12,2.35,62665,46240300
Feb 03 2018,2.48,3.01,2.24,2.82,127858,40982500
Feb 02 2018,2.63,2.67,2.16,2.52,292511,43479200
