Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,2.20,2.28,2.04,2.14,702361,44939200
Mar 30 2018,2.05,2.35,1.91,2.16,1386720,41955300
Mar 29 2018,2.27,2.28,1.99,2.06,382520,46532500
Mar 28 2018,2.23,2.34,2.23,2.27,505212,45734400
Mar 27 2018,2.33,2.41,2.21,2.23,295178,48171500
Mar 26 2018,2.51,2.56,2.19,2.36,618661,51872000
Mar 25 2018,2.47,2.61,2.42,2.54,827274,50931200
Mar 24 2018,2.53,2.62,2.48,2.50,569222,52000900
Mar 23 2018,2.62,2.65,2.46,2.49,568550,53839700
Mar 22 2018,2.65,2.72,2.49,2.62,1059540,54421900
Mar 21 2018,2.70,2.70,2.58,2.64,329075,55286400
Mar 20 2018,2.52,2.71,2.47,2.69,636804,51720700
Mar 19 2018,2.46,2.57,2.31,2.50,390251,50315200
Mar 18 2018,2.65,2.65,2.12,2.43,884652,54239800
Mar 17 2018,2.62,2.64,2.44,2.45,180484,53401400
Mar 16 2018,2.71,2.76,2.23,2.65,468631,55236000
Mar 15 2018,2.57,2.77,2.29,2.72,1479280,52259500
Mar 14 2018,3.12,3.16,2.50,2.57,627173,63588700
Mar 13 2018,3.19,3.19,2.98,3.12,798761,64857300
Mar 12 2018,3.37,3.38,2.64,3.18,988097,68402600
Mar 11 2018,3.10,3.31,2.91,3.28,632426,62966000
Mar 10 2018,3.33,3.33,3.05,3.09,749485,67407600
Mar 09 2018,3.43,3.44,2.86,3.35,3995230,69481900
Mar 08 2018,3.47,3.50,3.12,3.29,2763070,70189100
Mar 07 2018,3.35,4.23,3.09,3.44,16448200,67570600
Mar 06 2018,3.60,3.60,3.17,3.27,1102470,72511600
Mar 05 2018,3.76,3.77,3.53,3.70,1656840,75703700
Mar 04 2018,4.59,4.59,3.40,3.92,4800120,92270700
Mar 03 2018,4.79,4.79,3.59,4.04,24327600,96324100
Mar 02 2018,3.73,5.05,2.86,3.67,41053500,74927600
Mar 01 2018,2.42,5.43,2.40,3.94,73775000,48549400
Feb 28 2018,2.55,2.61,2.41,2.42,200999,51161300
Feb 27 2018,2.46,2.61,2.37,2.56,267812,49263600
Feb 26 2018,2.37,2.62,2.27,2.48,988274,47382600
Feb 25 2018,2.25,2.66,2.19,2.34,2393110,44932000
Feb 24 2018,2.38,2.47,2.18,2.25,173433,47526600
Feb 23 2018,2.39,2.53,2.21,2.39,456591,47496100
Feb 22 2018,2.52,2.89,2.33,2.37,1618380,50108100
Feb 21 2018,2.53,2.72,2.33,2.48,597182,50206000
Feb 20 2018,2.85,2.90,2.45,2.53,1028600,56523200
Feb 19 2018,2.76,2.91,2.64,2.85,633616,54614900
Feb 18 2018,2.98,2.98,2.53,2.72,931417,58934100
Feb 17 2018,2.86,2.97,2.74,2.97,1008040,56462700
Feb 16 2018,2.95,3.11,2.68,2.85,1320200,58264900
Feb 15 2018,3.06,3.06,2.76,2.92,1398890,60419600
Feb 14 2018,2.97,3.08,2.91,3.04,1025540,58434400
Feb 13 2018,3.25,3.25,2.90,2.93,1016580,64001500
Feb 12 2018,2.83,3.32,2.83,3.21,5926900,55550000
Feb 11 2018,3.04,3.05,2.70,2.80,543452,59715500
Feb 10 2018,3.20,3.28,2.84,3.09,1826340,62832800
Feb 09 2018,3.03,3.26,2.73,3.25,2597240,59408300
Feb 08 2018,2.93,3.16,2.68,2.90,6636580,57368700
Feb 07 2018,2.69,2.96,2.27,2.51,1300470,52639300
Feb 06 2018,2.37,2.75,1.79,2.75,1230950,46286300
Feb 05 2018,2.93,2.93,2.20,2.36,807149,57065200
Feb 04 2018,3.53,3.72,2.73,3.02,1906750,68770600
Feb 03 2018,3.30,3.68,2.75,3.67,2673480,64159700
Feb 02 2018,3.79,3.79,2.33,3.40,3168140,73638300
Feb 01 2018,4.77,4.77,3.29,3.83,2504090,92563000
Jan 31 2018,4.87,4.99,4.34,4.85,4569030,94393400
Jan 30 2018,4.98,5.82,4.81,4.91,21517600,96396700
Jan 29 2018,5.52,5.52,4.76,5.05,5209490,106823000
Jan 28 2018,6.63,6.63,5.33,5.77,18871700,128002000
Jan 27 2018,5.21,6.78,5.14,6.02,48104500,100506000
Jan 26 2018,3.57,7.05,3.54,5.44,89273800,68784100
Jan 25 2018,4.05,4.17,3.58,3.58,1621150,77969500
Jan 24 2018,4.21,4.25,3.75,3.95,2079880,81004700
Jan 23 2018,4.75,4.75,3.65,4.23,3829170,91175600
Jan 22 2018,6.53,6.53,4.20,4.78,14560900,125152000
Jan 21 2018,4.27,8.18,3.75,6.85,142361000,81776100
Jan 20 2018,2.64,3.40,2.64,3.21,1520710,50580500
Jan 19 2018,2.57,2.75,2.43,2.62,225066,49033200
Jan 18 2018,2.55,2.75,2.29,2.59,114854,48685400
Jan 17 2018,2.38,2.55,1.97,2.52,582816,45364000
Jan 16 2018,3.18,3.18,2.08,2.38,408923,60645200
Jan 15 2018,3.55,3.60,3.11,3.22,949500,67593400
Jan 14 2018,3.51,4.96,3.12,3.58,6043120,66765500
Jan 13 2018,3.18,3.79,3.18,3.45,424482,60342400
Jan 12 2018,2.82,3.66,2.67,3.34,1502360,53450300
Jan 11 2018,3.33,3.53,2.48,2.80,453098,63003600
Jan 10 2018,3.23,3.63,2.97,3.33,771195,61020300
Jan 09 2018,3.47,3.59,3.14,3.29,369428,65446100
