Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.088952,0.093634,0.088691,0.091412,3,134646
Mar 30 2018,0.092160,0.093671,0.085911,0.088938,3,139503
Mar 29 2018,0.104586,0.127095,0.089702,0.092390,22,158312
Mar 28 2018,0.102552,0.106653,0.101983,0.104464,7,155234
Mar 27 2018,0.113877,0.114242,0.102444,0.102576,41,172376
Mar 26 2018,0.109212,0.197306,0.101850,0.114049,1223,165315
Mar 25 2018,0.127546,0.129274,0.108805,0.109296,5,193067
Mar 24 2018,0.115587,0.130744,0.112309,0.129326,11,174964
Mar 23 2018,0.111964,0.113928,0.111477,0.113928,41,169481
Mar 22 2018,0.114930,0.117215,0.110104,0.110400,3,173970
Mar 21 2018,0.097948,0.118319,0.097806,0.115140,36,148264
Mar 20 2018,0.098563,0.099116,0.091810,0.097770,21,149196
Mar 19 2018,0.220452,0.246189,0.057434,0.097476,2599,333699
Mar 10 2018,0.110468,0.113155,0.109264,0.112196,2,167216
Mar 09 2018,0.105276,0.111007,0.103682,0.110420,2,159357
Mar 08 2018,0.177833,0.181466,0.162948,0.168296,2,269186
Mar 07 2018,0.175040,0.180967,0.173977,0.178085,4,264959
Mar 06 2018,0.206980,0.206980,0.201892,0.202784,1,313306
Mar 05 2018,0.207227,0.209985,0.205535,0.207554,1,313681
Mar 04 2018,0.193333,0.193488,0.187549,0.188048,10,292649
Mar 03 2018,0.165401,0.207673,0.165401,0.193667,19,250368
Mar 02 2018,0.185471,0.201370,0.162181,0.165603,14,280748
Mar 01 2018,0.177486,0.186803,0.161727,0.185949,17,268662
Feb 28 2018,0.143932,0.183557,0.124819,0.177225,77,217870
Feb 27 2018,0.116315,0.116660,0.116315,0.116473,2,176067
Feb 26 2018,0.108136,0.117476,0.106138,0.115980,2,163686
Feb 25 2018,0.132739,0.135040,0.127570,0.131979,3,200927
Feb 24 2018,0.138908,0.143725,0.131143,0.132940,3,210265
Feb 23 2018,0.134777,0.141768,0.131450,0.139084,3,204012
Feb 22 2018,0.169452,0.176590,0.133373,0.134903,74,256500
Feb 21 2018,0.221301,0.221711,0.114595,0.117553,36,334985
