Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.073168,0.093454,0.070721,0.080932,6663,2926740
Mar 30 2018,0.081133,0.084178,0.066259,0.073169,9883,3245320
Mar 29 2018,0.098729,0.100645,0.078037,0.081347,9421,3949160
Mar 28 2018,0.089068,0.115346,0.088577,0.098585,23798,3562720
Mar 27 2018,0.082753,0.101019,0.074524,0.089078,7070,3310140
Mar 26 2018,0.090716,0.093281,0.079043,0.082849,7676,3628650
Mar 25 2018,0.091078,0.094173,0.084860,0.086256,6047,3643100
Mar 24 2018,0.093989,0.095882,0.087989,0.092285,4628,3759560
Mar 23 2018,0.095705,0.097220,0.090024,0.092863,3032,3828190
Mar 22 2018,0.103520,0.106424,0.090167,0.095711,14805,4140780
Mar 21 2018,0.089559,0.106482,0.088001,0.103753,9004,3582360
Mar 20 2018,0.103677,0.105071,0.083067,0.089211,15025,4147070
Mar 19 2018,0.093089,0.102600,0.088886,0.102600,13599,3723550
Mar 18 2018,0.092422,0.100334,0.081616,0.093479,32386,3696880
Mar 17 2018,0.094784,0.095324,0.073822,0.092586,15495,3791340
Mar 16 2018,0.091415,0.101534,0.087934,0.094634,18654,3656580
Mar 15 2018,0.097037,0.202434,0.078294,0.091658,33027,3881480
Mar 14 2018,0.126285,0.128426,0.093307,0.097035,34168,5051380
Mar 13 2018,0.130362,0.136097,0.117624,0.122428,14037,5214480
Mar 12 2018,0.150795,0.151824,0.127068,0.130701,20661,6031780
Mar 11 2018,0.146674,0.168103,0.126753,0.151144,19280,5866960
Mar 10 2018,0.135993,0.171089,0.124579,0.147528,15849,5439710
Mar 09 2018,0.138801,0.142285,0.111129,0.135989,25216,5552040
Mar 08 2018,0.152150,0.154021,0.121774,0.139483,18365,6085980
Mar 07 2018,0.161830,0.162545,0.130713,0.152372,19816,6473190
Mar 06 2018,0.172120,0.172120,0.152594,0.161917,43762,6884790
Mar 05 2018,0.180494,0.196214,0.174113,0.174245,46214,7219750
Mar 04 2018,0.181953,0.200473,0.173988,0.180544,38310,7278110
Mar 03 2018,0.202487,0.215863,0.159939,0.182504,38605,8099500
Mar 02 2018,0.205725,0.216800,0.195784,0.202686,46396,8228980
Mar 01 2018,0.208402,0.220969,0.204915,0.206026,32769,8336090
Feb 28 2018,0.223501,0.232898,0.201546,0.211738,48502,8940050
Feb 27 2018,0.235840,0.285175,0.206221,0.218269,77986,9433610
Feb 26 2018,0.214691,0.259623,0.196138,0.235182,59530,8587650
Feb 25 2018,0.247428,0.256739,0.169707,0.214483,68817,9897130
Feb 24 2018,0.263677,0.275020,0.235417,0.247840,73586,10547100
Feb 23 2018,0.263608,0.272777,0.246686,0.263979,49944,10544300
Feb 22 2018,0.261638,0.290817,0.239582,0.263892,64621,10465500
Feb 21 2018,0.312506,0.312506,0.257492,0.261995,46816,12500200
Feb 20 2018,0.302835,0.334542,0.285414,0.300844,135111,12113400
Feb 19 2018,0.303897,0.330605,0.290379,0.302651,86479,12155900
Feb 18 2018,0.297341,0.346089,0.276578,0.320769,205848,11893600
Feb 17 2018,0.300609,0.313830,0.292573,0.296886,84025,12024400
Feb 16 2018,0.279597,0.314856,0.279114,0.300591,123072,11183900
Feb 15 2018,0.304023,0.319939,0.265582,0.280315,147539,12160900
Feb 14 2018,0.247843,0.297898,0.247843,0.297898,79614,9913730
Feb 13 2018,0.264018,0.273777,0.243549,0.248250,90254,10560700
Feb 12 2018,0.282528,0.294554,0.251393,0.263589,96558,11301100
Feb 11 2018,0.237167,0.280996,0.214133,0.273690,106943,9486670
Feb 10 2018,0.267985,0.295486,0.225140,0.237478,132130,10719400
Feb 09 2018,0.299618,0.299618,0.243688,0.266183,196117,11984700
Feb 08 2018,0.261826,0.322196,0.250310,0.285766,301322,-
Feb 07 2018,0.253179,0.359155,0.242337,0.270356,563825,-
Feb 06 2018,0.249226,0.313425,0.170713,0.254410,242367,-
Feb 05 2018,0.463619,0.463619,0.193745,0.248593,474761,-
Feb 04 2018,0.479297,0.497660,0.469601,0.474655,885373,-
