Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.137401,0.153108,0.132046,0.137999,22541,2566520
Mar 30 2018,0.140362,0.141032,0.114288,0.137381,33925,2591650
Mar 29 2018,0.149681,0.151785,0.124445,0.140712,46891,2732130
Mar 28 2018,0.152065,0.163918,0.137251,0.152381,60016,2743020
Mar 27 2018,0.173276,0.173459,0.138341,0.152102,41302,3091670
Mar 26 2018,0.147167,0.174496,0.134141,0.173538,49841,2599650
Mar 25 2018,0.173023,0.173837,0.132126,0.147513,29023,3025740
Mar 24 2018,0.191360,0.191670,0.132690,0.175437,33339,3312140
Mar 23 2018,0.188193,0.188614,0.158287,0.188614,74891,3214700
Mar 22 2018,0.184121,0.186786,0.145657,0.183603,72739,-
Mar 21 2018,0.162186,0.186148,0.160280,0.184457,70483,-
Mar 20 2018,0.173789,0.173789,0.140228,0.161147,99176,-
Mar 19 2018,0.115522,0.172186,0.112299,0.171872,57003,-
Mar 18 2018,0.146216,0.148375,0.113614,0.114887,46850,-
Mar 17 2018,0.154609,0.157040,0.129830,0.150803,46884,-
Mar 16 2018,0.130443,0.159098,0.110642,0.154355,69439,-
Mar 15 2018,0.078391,0.131744,0.078391,0.130470,59587,-
Mar 14 2018,0.122601,0.125776,0.075220,0.078426,26048,-
Mar 13 2018,0.065348,0.129356,0.064978,0.122584,123293,-
Mar 12 2018,0.060129,0.069597,0.056749,0.065726,5215,-
Mar 11 2018,0.050809,0.061239,0.049074,0.060319,8165,-
Mar 10 2018,0.055465,0.056852,0.050521,0.050985,12056,-
Mar 09 2018,0.062266,0.063000,0.048568,0.055441,266,-
Mar 08 2018,0.044607,0.066158,0.043033,0.062663,3192,-
Mar 07 2018,0.042769,0.048745,0.039737,0.044670,267,-
Mar 06 2018,0.045906,0.065449,0.042322,0.042824,341,-
Mar 05 2018,0.045990,0.046311,0.043471,0.046033,183,-
Mar 04 2018,0.047475,0.047513,0.044482,0.046024,271,-
Mar 03 2018,0.034601,0.078035,0.034601,0.047557,22243,-
Mar 02 2018,0.034128,0.046942,0.033927,0.034643,54,-
Mar 01 2018,0.043262,0.046466,0.032340,0.034216,592,-
Feb 28 2018,0.032846,0.044741,0.032415,0.043198,150,-
Feb 27 2018,0.041143,0.045381,0.032531,0.032885,47,-
Feb 26 2018,0.033553,0.041554,0.028322,0.041025,44411,-
Feb 25 2018,0.027343,0.035608,0.026898,0.033510,35849,-
Feb 24 2018,0.026584,0.036935,0.026209,0.027384,265,-
Feb 23 2018,0.031996,0.033858,0.025643,0.026618,28630,-
Feb 22 2018,0.028887,0.044875,0.026301,0.032026,102,-
Feb 21 2018,0.039258,0.039330,0.025000,0.028917,770,-
Feb 20 2018,0.016310,0.041143,0.016310,0.039307,114595,-
Feb 19 2018,0.023061,0.024000,0.015487,0.016296,540,-
Feb 18 2018,0.034279,0.034826,0.022672,0.023167,773,-
Feb 17 2018,0.030377,0.041247,0.021690,0.034174,161077,-
Feb 16 2018,0.035821,0.039385,0.028317,0.030384,71676,-
Feb 15 2018,0.034394,0.040810,0.028879,0.035975,100837,-
Feb 14 2018,0.030976,0.034462,0.023980,0.034376,72848,-
Feb 13 2018,0.021799,0.031815,0.018923,0.031068,80019,-
Feb 12 2018,0.018239,0.026609,0.012066,0.021759,49529,-
Feb 11 2018,0.040184,0.053898,0.011295,0.018124,9096,-
Feb 10 2018,0.043444,0.047005,0.034414,0.040218,25430,-
Feb 09 2018,0.024765,0.043601,0.023322,0.043413,81031,-
Feb 08 2018,0.026513,0.030103,0.024194,0.024689,38,-
Feb 07 2018,0.034687,0.038526,0.025258,0.026619,231,-
Feb 06 2018,0.032967,0.039516,0.006040,0.035038,58398,-
Feb 05 2018,0.049276,0.050181,0.021035,0.032925,1909,-
Feb 04 2018,0.067391,0.068297,0.047555,0.049758,96747,-
Feb 03 2018,0.067357,0.069954,0.046913,0.067356,41451,-
Feb 02 2018,0.068111,0.068272,0.057838,0.067128,126201,-
Feb 01 2018,0.072820,0.074525,0.064816,0.067342,104467,-
Jan 31 2018,0.070819,0.073456,0.067263,0.072651,102254,-
Jan 30 2018,0.078734,0.079061,0.069338,0.070708,136765,-
Jan 29 2018,0.081199,0.082250,0.074329,0.078708,62425,-
Jan 28 2018,0.079920,0.083471,0.071343,0.081277,151020,-
Jan 27 2018,0.072984,0.080954,0.063508,0.079513,158920,-
Jan 26 2018,0.070310,0.074355,0.065913,0.073033,175453,-
Jan 25 2018,0.067330,0.075367,0.059422,0.070498,87265,-
Jan 24 2018,0.067857,0.071812,0.055973,0.067924,81760,-
Jan 23 2018,0.059556,0.072930,0.052513,0.067896,197718,-
Jan 22 2018,0.069068,0.070304,0.011858,0.059714,19521,-
Jan 21 2018,0.076749,0.080135,0.058158,0.068136,198199,-
Jan 20 2018,0.066785,0.083111,0.066750,0.076571,36757,-
Jan 19 2018,0.047363,0.067751,0.040921,0.066067,177045,-
Jan 18 2018,0.035645,0.049060,0.034988,0.047866,156928,-
Jan 17 2018,0.032425,0.036821,0.031546,0.035508,87375,-
Dec 07 2017,0.011676,0.012984,0.011676,0.012984,165,-
Dec 06 2017,0.011224,0.011712,0.011224,0.011696,118,-
