Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.006873,0.007720,0.006139,0.007110,92691,6909790
Mar 30 2018,0.008083,0.008323,0.005987,0.006873,82579,8127120
Mar 29 2018,0.008577,0.009383,0.007428,0.008111,49544,8623560
Mar 28 2018,0.009161,0.010146,0.008120,0.008600,37747,9210350
Mar 27 2018,0.009332,0.009814,0.008240,0.009170,16823,9382600
Mar 26 2018,0.008673,0.009567,0.007664,0.009357,41144,8719660
Mar 25 2018,0.008397,0.009030,0.007644,0.008684,37520,8442930
Mar 24 2018,0.007744,0.009692,0.006718,0.008224,33954,7786220
Mar 23 2018,0.007728,0.008432,0.007463,0.007751,9450,7769690
Mar 22 2018,0.009566,0.009851,0.007618,0.007747,3959,9617730
Mar 21 2018,0.008670,0.010807,0.008000,0.009519,18548,8716470
Mar 20 2018,0.006754,0.025786,0.006719,0.008683,33033,6790160
Mar 19 2018,0.006907,0.007027,0.006049,0.006758,10485,6944880
Mar 18 2018,0.007083,0.007133,0.005878,0.006910,21357,7121120
Mar 17 2018,0.007137,0.007621,0.005953,0.007073,5634,7175400
Mar 16 2018,0.006406,0.007993,0.006401,0.007163,18534,6440880
Mar 15 2018,0.006817,0.007621,0.006358,0.006391,17649,6854340
Mar 14 2018,0.007208,0.007966,0.006723,0.006849,5495,7246690
Mar 13 2018,0.007805,0.007977,0.007023,0.007219,10727,7847110
Mar 12 2018,0.007668,0.008904,0.006787,0.007806,20309,7709190
Mar 11 2018,0.007691,0.008580,0.005061,0.007660,40617,7732610
Mar 10 2018,0.009891,0.010313,0.006899,0.007695,34524,9944660
Mar 09 2018,0.009778,0.010205,0.008687,0.009878,16372,9830590
Mar 08 2018,0.009563,0.010255,0.008363,0.009770,28430,9614560
Mar 07 2018,0.010544,0.010562,0.008651,0.009553,34569,10601100
Mar 06 2018,0.010556,0.010722,0.009653,0.010562,19235,10613100
Mar 05 2018,0.010608,0.011770,0.009706,0.010557,27496,10665700
Mar 04 2018,0.011119,0.011140,0.009901,0.010575,41406,11179700
Mar 03 2018,0.011306,0.011399,0.010062,0.011107,43505,11367200
