Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,2.26,2.39,2.22,2.28,243438,205901000
Mar 30 2018,2.31,2.38,2.15,2.25,371995,210387000
Mar 29 2018,2.62,2.62,2.26,2.31,450453,238727000
Mar 28 2018,2.53,2.64,2.51,2.62,365329,230326000
Mar 27 2018,2.72,2.75,2.54,2.54,430255,247711000
Mar 26 2018,3.03,3.05,2.56,2.71,545413,275910000
Mar 25 2018,2.86,3.04,2.81,3.03,375644,260376000
Mar 24 2018,2.93,3.03,2.84,2.91,453680,266797000
Mar 23 2018,2.74,2.92,2.59,2.92,416390,249105000
Mar 22 2018,2.91,3.10,2.73,2.74,516824,265308000
Mar 21 2018,3.11,3.22,2.86,2.91,574578,282901000
Mar 20 2018,2.73,3.20,2.67,3.08,729026,248298000
Mar 19 2018,2.33,2.82,2.28,2.70,975747,212298000
Mar 18 2018,2.19,2.29,1.84,2.29,941802,199315000
Mar 17 2018,2.40,2.43,2.08,2.19,566419,218369000
Mar 16 2018,2.66,2.67,2.28,2.40,951563,242000000
Mar 15 2018,2.80,2.81,2.26,2.66,1250360,254589000
Mar 14 2018,3.28,3.37,2.71,2.78,1031570,298973000
Mar 13 2018,3.36,3.42,3.20,3.28,668130,305800000
Mar 12 2018,3.25,3.49,3.11,3.38,581518,295780000
Mar 11 2018,3.07,3.41,2.96,3.25,604099,279082000
Mar 10 2018,3.14,3.39,3.03,3.07,680675,285589000
Mar 09 2018,3.07,3.17,2.78,3.14,870636,279225000
Mar 08 2018,3.20,3.33,3.02,3.08,737088,291245000
Mar 07 2018,3.26,3.43,2.86,3.22,1121250,296504000
Mar 06 2018,3.72,3.74,3.22,3.25,1029180,338414000
Mar 05 2018,3.86,3.96,3.65,3.69,725553,351039000
Mar 04 2018,3.66,4.09,3.64,3.86,1574810,332956000
Mar 03 2018,4.15,4.28,3.60,3.67,1527700,378038000
Mar 02 2018,4.26,4.33,4.10,4.16,782108,387850000
Mar 01 2018,4.19,4.29,4.12,4.24,882486,381185000
Feb 28 2018,4.43,4.55,4.13,4.19,996470,403195000
Feb 27 2018,4.65,4.71,4.38,4.44,1252560,423409000
Feb 26 2018,4.63,4.79,4.35,4.66,1245080,421153000
Feb 25 2018,4.32,4.75,4.30,4.61,1311710,393733000
Feb 24 2018,4.66,4.80,4.26,4.34,996396,423956000
Feb 23 2018,4.20,4.67,4.08,4.66,1280880,382568000
Feb 22 2018,4.42,4.47,4.03,4.20,1014280,402330000
Feb 21 2018,4.49,4.78,4.26,4.43,1514640,408931000
Feb 20 2018,5.19,5.32,4.39,4.43,2349610,472213000
Feb 19 2018,5.46,5.61,4.67,5.18,2572470,496786000
Feb 18 2018,5.72,5.88,5.40,5.47,1571020,520550000
Feb 17 2018,5.85,6.00,5.61,5.76,2200560,532266000
Feb 16 2018,5.96,6.03,5.74,5.82,1550640,542830000
Feb 15 2018,5.72,6.27,5.62,5.98,2354440,520800000
Feb 14 2018,5.42,5.87,5.42,5.72,1942250,493761000
Feb 13 2018,5.76,5.85,5.33,5.41,1245460,524117000
Feb 12 2018,5.16,5.86,5.14,5.77,2140270,469807000
