Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,1.02,1.07,0.987655,0.998471,4617870,137260000
Mar 30 2018,0.990379,1.07,0.939145,1.02,3843440,132842000
Mar 29 2018,1.19,1.20,0.966436,0.995015,5216290,160001000
Mar 28 2018,1.17,1.24,1.16,1.19,5456790,157206000
Mar 27 2018,1.22,1.23,1.14,1.17,4236870,163730000
Mar 26 2018,1.38,1.38,1.16,1.23,8545780,184553000
Mar 25 2018,1.43,1.48,1.37,1.38,7518250,191389000
Mar 24 2018,1.37,1.54,1.31,1.44,10285100,183364000
Mar 23 2018,1.29,1.35,1.15,1.35,6839930,172790000
Mar 22 2018,1.32,1.43,1.25,1.29,5362740,177080000
Mar 21 2018,1.26,1.46,1.25,1.32,8149520,169346000
Mar 20 2018,1.15,1.30,1.13,1.26,8346810,153979000
Mar 19 2018,0.990434,1.14,0.979870,1.14,5494960,132850000
Mar 18 2018,1.03,1.03,0.813034,0.995171,4480290,137722000
Mar 17 2018,1.11,1.13,1.02,1.03,3591130,149201000
Mar 16 2018,1.12,1.15,1.07,1.11,4321180,150011000
Mar 15 2018,1.13,1.14,1.00,1.12,5164800,151217000
Mar 14 2018,1.29,1.36,1.12,1.13,5668850,172478000
Mar 13 2018,1.25,1.52,1.24,1.28,6610550,167987000
Mar 12 2018,1.31,1.39,1.23,1.26,4417600,175120000
Mar 11 2018,1.21,1.33,1.16,1.31,5228620,162314000
Mar 10 2018,1.30,1.36,1.21,1.22,5126940,174455000
Mar 09 2018,1.37,1.38,1.13,1.29,4859010,183843000
Mar 08 2018,1.52,1.54,1.37,1.38,3250810,203803000
Mar 07 2018,1.75,1.84,1.42,1.52,6734160,234822000
Mar 06 2018,2.01,2.09,1.74,1.75,8111770,269240000
Mar 05 2018,1.83,2.16,1.82,2.02,17030600,245216000
Mar 04 2018,1.82,1.86,1.77,1.83,5308880,243609000
Mar 03 2018,1.81,1.82,1.75,1.82,5753160,243173000
Mar 02 2018,1.89,1.91,1.79,1.82,5090810,253003000
Mar 01 2018,1.73,1.94,1.72,1.89,3383640,231807000
Feb 28 2018,1.99,2.00,1.73,1.73,3686690,266567000
Feb 27 2018,2.01,2.04,1.94,2.01,3529410,270244000
Feb 26 2018,1.95,2.09,1.91,2.02,2570910,261901000
Feb 25 2018,1.98,2.00,1.89,1.95,2605200,265833000
Feb 24 2018,2.13,2.18,1.93,1.98,3204390,286018000
Feb 23 2018,2.08,2.22,2.02,2.14,3038190,278768000
Feb 22 2018,2.17,2.38,2.06,2.07,4092330,291399000
Feb 21 2018,2.28,2.54,2.11,2.16,7569490,305871000
Feb 20 2018,2.59,2.61,2.23,2.27,6848230,347377000
Feb 19 2018,2.57,2.66,2.56,2.58,4760120,344490000
Feb 18 2018,2.92,2.92,2.57,2.58,5362450,391987000
Feb 17 2018,2.93,2.96,2.83,2.92,6526550,392882000
Feb 16 2018,2.74,2.99,2.74,2.93,6878010,367724000
Feb 15 2018,2.70,2.82,2.56,2.76,10666700,361966000
Feb 14 2018,2.63,2.79,2.62,2.70,9502420,353425000
Feb 13 2018,2.82,2.87,2.58,2.64,11222400,377790000
Feb 12 2018,2.82,3.03,2.78,2.83,10051900,377801000
Feb 11 2018,3.20,3.20,2.79,2.79,10079100,429807000
Feb 10 2018,3.36,3.55,3.04,3.21,10380200,450627000
Feb 09 2018,3.10,3.41,2.93,3.39,3555750,416052000
Feb 08 2018,2.80,3.24,2.80,3.10,6316880,375791000
Feb 07 2018,3.06,3.36,2.80,2.80,6382420,410367000
Feb 06 2018,2.58,3.13,2.04,3.07,11161400,345984000
Feb 05 2018,3.31,3.37,2.42,2.58,7429440,443875000
Feb 04 2018,3.89,4.06,3.14,3.35,11530400,521605000
Feb 03 2018,3.43,3.92,3.11,3.89,8116920,460091000
Feb 02 2018,3.54,3.65,2.70,3.42,12133700,474310000
Feb 01 2018,4.09,4.36,3.26,3.54,16993000,549124000
Jan 31 2018,3.66,4.33,3.33,4.11,24615000,491458000
Jan 30 2018,3.96,4.21,3.46,3.60,18877600,531263000
Jan 29 2018,3.93,4.04,3.61,3.94,28884900,526492000
Jan 28 2018,3.80,4.08,3.78,3.93,19506000,509491000
Jan 27 2018,3.76,4.12,3.67,3.79,14706400,504560000
Jan 26 2018,3.39,3.76,3.19,3.76,25988700,454976000
Jan 25 2018,3.41,3.67,3.33,3.40,43859700,457994000
Jan 24 2018,3.38,3.54,3.25,3.36,37875300,452869000
Jan 23 2018,3.46,3.53,2.97,3.37,34745900,464485000
Jan 22 2018,3.67,4.08,3.10,3.46,39804000,492218000
Jan 21 2018,4.44,4.44,3.49,3.63,43106800,595237000
Jan 20 2018,4.05,4.67,4.05,4.44,36904700,543672000
Jan 19 2018,3.22,4.36,3.14,4.01,55232300,432118000
Jan 18 2018,3.21,3.52,2.88,3.25,25672400,431197000
Jan 17 2018,3.42,3.48,2.30,3.19,21311900,458356000
Jan 16 2018,4.64,4.64,2.78,3.44,25537400,622180000
Jan 15 2018,4.17,5.13,4.12,4.65,34848700,559132000
Jan 14 2018,4.50,4.59,3.98,4.18,20195300,603921000
Jan 13 2018,4.63,4.69,4.44,4.49,25910900,620675000
Jan 12 2018,4.20,4.84,4.00,4.63,22352600,562806000
Jan 11 2018,5.17,5.24,3.89,4.20,20044800,693617000
Jan 10 2018,5.69,5.72,4.52,5.20,26237500,762549000
Jan 09 2018,4.82,6.00,4.77,5.74,37437600,646479000
Jan 08 2018,5.08,5.72,3.87,4.80,41314100,681871000
Jan 07 2018,3.97,5.32,3.97,5.10,61758700,532028000
Jan 06 2018,3.17,3.98,3.14,3.98,34950900,425567000
Jan 05 2018,3.36,3.75,3.03,3.17,31078100,450247000
Jan 04 2018,3.59,3.60,3.13,3.41,23788600,481817000
Jan 03 2018,3.42,3.63,3.05,3.59,24648600,458889000
Jan 02 2018,3.08,3.63,3.06,3.42,27472100,412475000
Jan 01 2018,2.62,3.17,2.57,3.06,22476900,351759000
Dec 31 2017,2.23,2.64,2.22,2.62,14615300,298681000
Dec 30 2017,2.49,2.49,2.12,2.25,10866200,334477000
Dec 29 2017,2.44,2.51,2.27,2.51,10801600,326988000
Dec 28 2017,2.39,2.45,2.17,2.42,11990700,321090000
Dec 27 2017,2.52,2.55,2.30,2.40,10329300,338676000
Dec 26 2017,2.41,2.72,2.35,2.52,12686800,323811000
Dec 25 2017,2.37,2.68,2.33,2.41,12568500,318226000
Dec 24 2017,2.25,2.37,1.97,2.37,11938200,302230000
Dec 23 2017,2.12,2.50,2.06,2.25,11332800,284090000
Dec 22 2017,2.56,2.61,1.65,2.15,13412200,342930000
Dec 21 2017,2.61,2.81,2.42,2.59,16736300,349610000
Dec 20 2017,2.76,2.86,2.41,2.61,17779200,370458000
Dec 19 2017,2.90,3.10,2.48,2.72,25007500,388760000
Dec 18 2017,2.29,2.89,2.15,2.88,28833800,307787000
Dec 17 2017,1.74,2.56,1.72,2.28,24405200,232920000
Dec 16 2017,1.59,1.77,1.59,1.73,11477300,213736000
Dec 15 2017,1.67,1.75,1.39,1.58,12895600,223367000
