Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000547,0.000573,0.000481,0.000551,205,484273
Mar 30 2018,0.000507,0.000632,0.000478,0.000547,203,448852
Mar 29 2018,0.000556,0.000710,0.000483,0.000508,192,491967
Mar 28 2018,0.000699,0.000724,0.000551,0.000556,306,618175
Mar 27 2018,0.000572,0.000728,0.000543,0.000699,284,505332
Mar 26 2018,0.000591,0.000719,0.000556,0.000573,498,521922
Mar 25 2018,0.000595,0.000689,0.000586,0.000591,542,525686
Mar 24 2018,0.000626,0.000716,0.000602,0.000604,208,552595
Mar 23 2018,0.000654,0.000693,0.000606,0.000617,210,577619
Mar 22 2018,0.000712,0.000726,0.000599,0.000655,698,627871
Mar 21 2018,0.000712,0.000733,0.000595,0.000713,560,628302
Mar 20 2018,0.000642,0.000718,0.000584,0.000711,483,566037
Mar 19 2018,0.000593,0.000666,0.000582,0.000635,306,522655
Mar 18 2018,0.000557,0.000647,0.000512,0.000595,752,491194
Mar 17 2018,0.000664,0.000665,0.000548,0.000559,173,585096
Mar 16 2018,0.000505,0.000686,0.000504,0.000663,716,445001
Mar 15 2018,0.000702,0.000720,0.000496,0.000506,1471,617837
Mar 14 2018,0.000732,0.000767,0.000661,0.000702,364,644300
Mar 13 2018,0.000665,0.000783,0.000658,0.000732,348,585533
Mar 12 2018,0.000859,0.000875,0.000668,0.000669,594,755702
Mar 11 2018,0.000790,0.000875,0.000725,0.000862,90,694539
Mar 10 2018,0.000777,0.000898,0.000751,0.000793,475,683095
Mar 09 2018,0.000773,0.000821,0.000679,0.000777,464,678915
Mar 08 2018,0.000854,0.000865,0.000747,0.000777,1064,750588
Mar 07 2018,0.000876,0.001069,0.000792,0.000856,234,769016
Mar 06 2018,0.001035,0.001035,0.000849,0.000877,1457,909187
Mar 05 2018,0.001035,0.001121,0.001030,0.001038,117,908299
Mar 04 2018,0.001030,0.001113,0.000999,0.001036,145,903437
Mar 03 2018,0.001177,0.001271,0.001016,0.001031,1831,1032500
Mar 02 2018,0.001199,0.001230,0.001050,0.001178,1311,1051710
Mar 01 2018,0.001035,0.001273,0.000933,0.001202,1527,907380
Feb 28 2018,0.001076,0.001273,0.000943,0.001034,4230,942627
Feb 27 2018,0.001137,0.001291,0.001075,0.001077,378,995569
Feb 26 2018,0.001150,0.001286,0.001122,0.001134,1431,1007080
Feb 25 2018,0.001164,0.001227,0.001072,0.001149,951,1018250
Feb 24 2018,0.001154,0.001365,0.001022,0.001165,1939,1009220
Feb 23 2018,0.001280,0.001320,0.001130,0.001155,1032,1119370
Feb 22 2018,0.001278,0.001534,0.001198,0.001281,2810,1116550
Feb 21 2018,0.001698,0.001706,0.001274,0.001279,2187,1483730
Feb 20 2018,0.001699,0.001842,0.001540,0.001701,5670,1483530
Feb 19 2018,0.001662,0.001861,0.001558,0.001697,3938,1450720
Feb 18 2018,0.001775,0.001851,0.001592,0.001670,2771,1549140
Feb 17 2018,0.001733,0.001842,0.001633,0.001770,747,1511950
Feb 16 2018,0.001683,0.001783,0.001563,0.001733,3667,1467740
Feb 15 2018,0.001611,0.001776,0.001539,0.001690,1259,1404540
Feb 14 2018,0.001611,0.001827,0.001495,0.001610,10359,1403890
Feb 13 2018,0.001602,0.001718,0.001434,0.001616,6811,1395210
Feb 12 2018,0.001629,0.001901,0.001496,0.001599,9878,1418130
Feb 11 2018,0.001697,0.002022,0.001517,0.001611,9277,1475430
Feb 10 2018,0.001819,0.001971,0.001624,0.001698,1678,1580390
Feb 09 2018,0.001763,0.001918,0.001626,0.001817,3952,1530320
Feb 08 2018,0.001667,0.002064,0.001667,0.001757,4299,1445120
Feb 07 2018,0.001696,0.002000,0.001588,0.001673,4256,1469100
Feb 06 2018,0.001456,0.001897,0.001143,0.001713,12468,1260710
Feb 05 2018,0.001554,0.001770,0.001332,0.001455,13258,1344420
Feb 04 2018,0.001664,0.001933,0.001559,0.001569,2716,1438770
Feb 03 2018,0.001740,0.001958,0.001104,0.001663,24908,1503470
Feb 02 2018,0.001539,0.001865,0.001353,0.001734,11427,1328860
Feb 01 2018,0.001728,0.001831,0.001383,0.001542,4603,1490300
Jan 31 2018,0.001703,0.001921,0.001580,0.001724,7407,1468310
Jan 30 2018,0.002125,0.002289,0.001686,0.001700,13513,1830770
Jan 29 2018,0.001964,0.002175,0.001883,0.002124,9399,1691490
Jan 28 2018,0.002624,0.002717,0.001895,0.001965,16292,2258720
Jan 27 2018,0.002025,0.002858,0.001994,0.002499,24791,1742290
Jan 26 2018,0.002345,0.002547,0.001685,0.002126,65635,2017020
Jan 25 2018,0.003079,0.003342,0.002236,0.002351,73256,2647280
Jan 24 2018,0.002052,0.004102,0.001810,0.002806,376697,1762620
Jan 23 2018,0.001733,0.002213,0.001430,0.001948,15575,1487510
Jan 22 2018,0.001973,0.002143,0.001276,0.001737,8778,1693330
Jan 21 2018,0.002302,0.002402,0.001740,0.001947,13969,1974790
Jan 20 2018,0.002331,0.002644,0.002144,0.002297,13027,1998340
Jan 19 2018,0.002024,0.002620,0.001881,0.002306,24379,1734400
Jan 18 2018,0.001650,0.002442,0.001624,0.002048,24155,1413780
Jan 17 2018,0.001560,0.001936,0.001318,0.001644,21453,1334950
Jan 16 2018,0.002329,0.002329,0.001416,0.001555,14576,1991650
Jan 15 2018,0.002597,0.002658,0.002233,0.002327,16055,2219110
Jan 14 2018,0.002730,0.003139,0.002171,0.002349,58223,2331360
Jan 13 2018,0.003197,0.003428,0.002726,0.002728,52417,2728340
Jan 12 2018,0.002938,0.003444,0.002602,0.003200,70489,2506290
Jan 11 2018,0.003008,0.003417,0.002051,0.002794,50798,2564620
Jan 10 2018,0.003785,0.004017,0.002694,0.002884,80033,3225720
Jan 09 2018,0.003718,0.004553,0.003637,0.003780,184142,3167840
Jan 08 2018,0.005914,0.006391,0.003353,0.004019,294347,5036100
Jan 07 2018,0.003289,0.005968,0.001915,0.005612,873498,2798560
Jan 06 2018,0.001497,0.003335,0.001305,0.003335,229393,1273180
Jan 05 2018,0.001042,0.001505,0.000894,0.001496,39021,885684
Jan 04 2018,0.001027,0.001196,0.000871,0.001042,15944,872461
Jan 03 2018,0.001041,0.001205,0.000767,0.001022,13690,883812
Jan 02 2018,0.000803,0.001193,0.000799,0.001044,30877,681877
Jan 01 2018,0.000658,0.000818,0.000518,0.000803,19907,558421
Dec 31 2017,0.000592,0.000654,0.000413,0.000650,2149,502041
Dec 30 2017,0.000606,0.000716,0.000492,0.000598,1514,514065
Dec 29 2017,0.000703,0.000848,0.000515,0.000608,3138,596059
Dec 28 2017,0.000608,0.000754,0.000451,0.000697,4814,514818
Dec 27 2017,0.000788,0.000799,0.000475,0.000609,7287,666990
Dec 26 2017,0.000628,0.000791,0.000576,0.000787,8586,531644
Dec 25 2017,0.000947,0.001206,0.000567,0.000698,28536,800739
Dec 24 2017,0.000577,0.000999,0.000390,0.000937,29727,487851
Dec 23 2017,0.000418,0.000616,0.000357,0.000571,3075,353103
Dec 22 2017,0.000470,0.000474,0.000272,0.000414,2292,397090
Dec 21 2017,0.000345,0.000518,0.000345,0.000468,4056,291715
Dec 20 2017,0.000523,0.000523,0.000301,0.000345,912,441841
Dec 19 2017,0.000383,0.000526,0.000365,0.000524,828,323023
Dec 18 2017,0.000407,0.000561,0.000372,0.000382,785,343712
Dec 17 2017,0.000514,0.000810,0.000371,0.000407,533,433827
Dec 16 2017,0.000531,0.000546,0.000373,0.000504,2464,447512
Dec 15 2017,0.000348,0.000690,0.000348,0.000530,3004,293184
Dec 14 2017,0.000331,0.000511,0.000171,0.000347,3652,278395
Dec 13 2017,0.000408,0.000421,0.000320,0.000331,355,343587
Dec 12 2017,0.000323,0.000539,0.000317,0.000407,1445,271659
Dec 11 2017,0.000367,0.000374,0.000313,0.000322,206,308953
Dec 10 2017,0.000434,0.000434,0.000332,0.000370,533,364955
Dec 09 2017,0.000435,0.000441,0.000214,0.000432,389,365506
Dec 08 2017,0.000655,0.000660,0.000282,0.000435,4126,550283
Dec 07 2017,0.000282,0.000653,0.000275,0.000653,9025,237276
Dec 06 2017,0.000350,0.000503,0.000253,0.000282,126,294296
Dec 05 2017,0.000346,0.000469,0.000232,0.000351,1800,290658
Dec 04 2017,0.000225,0.000346,0.000218,0.000346,283,188530
Dec 03 2017,0.000219,0.000354,0.000217,0.000224,100,183329
Dec 02 2017,0.000263,0.000335,0.000108,0.000218,484,220753
Dec 01 2017,0.000200,0.000322,0.000192,0.000263,708,167571
Nov 30 2017,0.000214,0.000319,0.000198,0.000201,328,179570
Nov 29 2017,0.000364,0.000419,0.000199,0.000211,1660,305063
Nov 28 2017,0.000224,0.000366,0.000195,0.000365,800,187190
Nov 27 2017,0.000257,0.000322,0.000217,0.000223,403,214653
Nov 26 2017,0.000262,0.000367,0.000255,0.000257,459,219178
Nov 25 2017,0.000246,0.000318,0.000165,0.000263,799,205646
Nov 24 2017,0.000182,0.000249,0.000164,0.000247,1566,151586
Nov 23 2017,0.000250,0.000259,0.000172,0.000182,71,208199
Nov 22 2017,0.000240,0.000303,0.000180,0.000250,126,200412
Nov 21 2017,0.000409,0.000409,0.000236,0.000240,55,340632
Nov 20 2017,0.000241,0.000411,0.000161,0.000409,3796,200876
Nov 19 2017,0.000156,0.000241,0.000154,0.000241,9,129790
