Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.344683,0.361335,0.340260,0.345183,4283,689366
Mar 30 2018,0.370713,0.377714,0.323856,0.344663,14058,741426
Mar 29 2018,0.412074,0.431736,0.362677,0.371639,14863,824148
Mar 28 2018,0.378792,0.434808,0.376677,0.411556,44987,757583
Mar 27 2018,0.406125,0.407463,0.353523,0.378876,18787,812250
Mar 26 2018,0.429923,0.442875,0.386100,0.406712,26417,859846
Mar 25 2018,0.440494,0.448868,0.385990,0.430365,22994,880988
Mar 24 2018,0.446890,0.482110,0.434488,0.446515,14451,893780
Mar 23 2018,0.451207,0.464917,0.428755,0.440602,15842,902415
Mar 22 2018,0.473295,0.489906,0.449116,0.451219,6799,946590
Mar 21 2018,0.492145,0.498917,0.459279,0.481842,14907,984289
Mar 20 2018,0.459269,0.512539,0.441516,0.490843,14717,918539
Mar 19 2018,0.426932,0.492979,0.414749,0.454309,14583,853864
Mar 18 2018,0.417872,0.438742,0.365739,0.432116,37615,835744
Mar 17 2018,0.469864,0.483222,0.411655,0.418886,40975,939728
Mar 16 2018,0.495326,0.502166,0.445795,0.469150,44198,990652
Mar 15 2018,0.531639,0.534972,0.438185,0.495599,39996,1063280
Mar 14 2018,0.625764,0.649846,0.512848,0.531874,32903,1251530
Mar 13 2018,0.625502,0.647735,0.608854,0.625677,6978,1251000
Mar 12 2018,0.682067,0.690268,0.602809,0.628978,27357,1364130
Mar 11 2018,0.627322,0.694397,0.594465,0.682959,12703,1254640
Mar 10 2018,0.650435,0.706175,0.627703,0.638709,47226,1300870
Mar 09 2018,0.660109,0.667857,0.575147,0.650306,32033,1320220
Mar 08 2018,0.708077,0.716568,0.634779,0.664249,10290,1416150
Mar 07 2018,0.761583,0.787989,0.663776,0.709084,22745,1523170
Mar 06 2018,0.878406,0.881211,0.750002,0.762114,49906,1756810
Mar 05 2018,0.929875,0.929875,0.860601,0.880453,27465,1859750
Mar 04 2018,0.938714,0.954268,0.885354,0.930505,43069,1877430
Mar 03 2018,0.865419,0.970252,0.865419,0.954183,58634,1730840
Mar 02 2018,0.807169,0.911107,0.800546,0.865928,61285,1614340
Mar 01 2018,0.722798,0.858063,0.707433,0.809166,50382,1445600
Feb 28 2018,0.746759,0.799359,0.721126,0.721754,25563,1493520
Feb 27 2018,0.753708,0.793263,0.720879,0.747630,37334,1507420
Feb 26 2018,0.729075,0.809021,0.725668,0.751541,18300,1458150
Feb 25 2018,0.754204,0.795064,0.720048,0.728148,18355,1508410
Feb 24 2018,0.771425,0.837178,0.734269,0.755464,20705,1542850
Feb 23 2018,0.770878,0.819551,0.747153,0.772385,12250,1541760
Feb 22 2018,0.865561,0.866680,0.743230,0.771646,91480,1731120
Feb 21 2018,0.944931,0.957774,0.829615,0.866578,45423,1889860
Feb 20 2018,0.936463,1.01,0.927032,0.946109,62807,1872930
Feb 19 2018,0.884386,0.958903,0.882053,0.935735,47264,1768770
Feb 18 2018,0.945080,0.965311,0.868608,0.888376,11617,1890160
Feb 17 2018,0.862182,0.963336,0.860044,0.942233,36983,1724360
Feb 16 2018,0.847859,0.874017,0.824246,0.862005,60643,1695720
