Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000211,0.000288,0.000206,0.000263,40061,3752970
Mar 30 2018,0.000284,0.000293,0.000205,0.000211,418334,4255020
Mar 29 2018,0.000379,0.000380,0.000222,0.000285,99590,5686160
Mar 28 2018,0.000311,0.000403,0.000311,0.000379,18104,4669070
Mar 27 2018,0.000327,0.000410,0.000246,0.000312,102423,4901660
Mar 26 2018,0.000352,0.000423,0.000315,0.000327,90482,5278000
Mar 25 2018,0.000340,0.000432,0.000337,0.000352,114112,5100220
Mar 24 2018,0.000356,0.000448,0.000270,0.000345,154204,5343670
Mar 23 2018,0.000437,0.000437,0.000335,0.000412,27999,6556590
Mar 22 2018,0.000410,0.000486,0.000343,0.000437,16418,6142400
Mar 21 2018,0.000457,0.000479,0.000358,0.000410,18330,6849560
Mar 20 2018,0.000517,0.000517,0.000353,0.000382,46903,7742860
Mar 19 2018,0.000412,0.000518,0.000339,0.000511,54805,5841480
Mar 18 2018,0.000470,0.000470,0.000305,0.000414,111726,6651830
Mar 17 2018,0.000498,0.000498,0.000393,0.000471,37525,7055530
Mar 16 2018,0.000335,0.000567,0.000318,0.000494,433463,4747440
Mar 15 2018,0.000410,0.000416,0.000247,0.000413,176474,5814230
Mar 14 2018,0.000640,0.000652,0.000407,0.000411,507396,9059110
Mar 13 2018,0.000556,0.000726,0.000454,0.000639,1594900,7877630
Mar 12 2018,0.000389,0.000793,0.000389,0.000559,396437,5499500
Mar 11 2018,0.000265,0.000565,0.000256,0.000563,230759,3754280
Mar 10 2018,0.000283,0.000379,0.000264,0.000266,12095,4005250
Mar 09 2018,0.000372,0.000376,0.000257,0.000283,62157,5261590
Mar 08 2018,0.000225,0.000397,0.000210,0.000374,96561,3180230
Mar 07 2018,0.000267,0.000331,0.000198,0.000225,36574,3701660
Mar 06 2018,0.000347,0.000376,0.000217,0.000326,47996,4805680
Mar 05 2018,0.000367,0.000467,0.000251,0.000348,58761,5088720
Mar 04 2018,0.000354,0.000460,0.000232,0.000460,73860,4900850
Mar 03 2018,0.000345,0.000472,0.000336,0.000354,127804,4775020
Mar 02 2018,0.000451,0.000574,0.000341,0.000345,199303,6253600
Mar 01 2018,0.000618,0.000655,0.000433,0.000453,260447,8559250
Feb 28 2018,0.000749,0.000870,0.000515,0.000617,85671,10373800
Feb 27 2018,0.000825,0.000863,0.000714,0.000750,87850,11431700
Feb 26 2018,0.000682,0.000832,0.000660,0.000732,90434,9453560
Feb 25 2018,0.000729,0.000883,0.000599,0.000767,148551,10102600
Feb 24 2018,0.001018,0.001183,0.000725,0.000784,90750,14097700
Feb 23 2018,0.001067,0.001142,0.000942,0.001019,40078,14787500
Feb 22 2018,0.000844,0.001068,0.000821,0.001068,48024,11686400
Feb 21 2018,0.000983,0.001044,0.000808,0.000844,133285,13615000
Feb 20 2018,0.001117,0.001212,0.000941,0.000984,101104,15473600
Feb 19 2018,0.001074,0.001122,0.001028,0.001116,95940,14884600
Feb 18 2018,0.002088,0.002140,0.001007,0.001079,96163,28931300
Feb 17 2018,0.001430,0.002100,0.001035,0.002082,177692,19809300
Feb 16 2018,0.001030,0.001860,0.000983,0.001430,53719,14266700
Feb 15 2018,0.001651,0.001872,0.000956,0.001034,182460,22870800
Feb 14 2018,0.001520,0.001600,0.000926,0.000959,83436,21060500
Feb 13 2018,0.000960,0.001552,0.000889,0.001542,103722,13304400
Feb 12 2018,0.001438,0.001519,0.000850,0.000958,64974,19919700
Feb 11 2018,0.000857,0.001651,0.000800,0.000840,197685,11874600
Feb 10 2018,0.000926,0.001667,0.000856,0.000865,747828,12833000
Feb 09 2018,0.000986,0.001437,0.000848,0.000926,56654,13659000
Feb 08 2018,0.000851,0.001358,0.000826,0.001282,75342,11789000
Feb 07 2018,0.001435,0.001436,0.000744,0.000889,69596,19880600
Feb 06 2018,0.001144,0.001473,0.000619,0.001449,130693,15731900
Feb 05 2018,0.000879,0.001554,0.000719,0.001143,63020,12087300
Feb 04 2018,0.001025,0.001623,0.000860,0.000888,115872,14097800
Feb 03 2018,0.000960,0.001740,0.000880,0.001024,62145,13208700
Feb 02 2018,0.001491,0.001701,0.000883,0.000957,166606,20507900
Feb 01 2018,0.001200,0.001834,0.001058,0.001173,81598,16509300
Jan 31 2018,0.001866,0.001916,0.001109,0.001816,182888,25658000
Jan 30 2018,0.001600,0.001986,0.001160,0.001863,143240,22001400
Jan 29 2018,0.001495,0.002216,0.001361,0.001598,122784,20559600
Jan 28 2018,0.002145,0.002308,0.001351,0.002163,119184,29504400
Jan 27 2018,0.002041,0.002218,0.001372,0.002136,95985,28071100
Jan 26 2018,0.001465,0.002154,0.001323,0.002041,118251,20150300
Jan 25 2018,0.001527,0.002214,0.001359,0.001469,89048,20997900
Jan 24 2018,0.002122,0.002256,0.001217,0.001442,135243,29185000
Jan 23 2018,0.002116,0.002241,0.001279,0.002123,75141,28337500
Jan 22 2018,0.001329,0.002352,0.001252,0.002122,158147,17792200
Jan 21 2018,0.002620,0.002620,0.001245,0.002268,195535,35079100
Jan 20 2018,0.002295,0.002669,0.001347,0.002614,274106,30736200
Jan 19 2018,0.002194,0.002405,0.001325,0.002271,209823,29383600
Jan 18 2018,0.002173,0.002446,0.001330,0.002222,263190,29101000
Jan 17 2018,0.002226,0.002262,0.001054,0.002165,309471,29810300
Jan 16 2018,0.002754,0.003756,0.001155,0.002238,676777,36871200
Jan 15 2018,0.003810,0.004081,0.002752,0.003778,735347,51014400
Jan 14 2018,0.002996,0.004153,0.001775,0.003837,1102730,35979500
Jan 13 2018,0.005142,0.005142,0.002997,0.004148,1824000,61743600
Jan 12 2018,0.004009,0.005319,0.002961,0.005146,2329540,48141400
Jan 11 2018,0.004197,0.005544,0.002975,0.003977,2237390,39216000
Jan 10 2018,0.004440,0.005417,0.002399,0.004265,5246480,41489900
Jan 09 2018,0.009291,0.010500,0.003779,0.005438,8527380,86810000
Jan 08 2018,0.001065,0.009180,0.001057,0.008167,11543900,9955300
Jan 07 2018,0.001079,0.001262,0.001024,0.001065,1229830,8922440
Jan 06 2018,0.001119,0.001244,0.000981,0.001079,313152,9250070
Jan 05 2018,0.001124,0.001291,0.000976,0.001117,221861,9288950
Jan 04 2018,0.001089,0.001136,0.000924,0.001124,278934,8488630
Jan 03 2018,0.001010,0.001141,0.000865,0.000976,356175,7875200
Jan 02 2018,0.001057,0.001122,0.000805,0.001014,328783,8242040
Jan 01 2018,0.000694,0.001058,0.000664,0.001058,93929,5411120
Dec 31 2017,0.000616,0.000839,0.000485,0.000806,210671,4804120
Dec 30 2017,0.000707,0.000707,0.000443,0.000623,106300,5514360
Dec 29 2017,0.000861,0.000863,0.000583,0.000710,189188,5643170
Dec 28 2017,0.000924,0.001070,0.000757,0.000853,174041,6056730
Dec 27 2017,0.000579,0.001005,0.000431,0.000922,92053,3793400
Dec 26 2017,0.000888,0.001057,0.000576,0.000719,129066,5824210
Dec 25 2017,0.000612,0.001009,0.000487,0.000890,123866,4014100
Dec 24 2017,0.000619,0.000620,0.000316,0.000606,70694,4059570
Dec 23 2017,0.000783,0.000954,0.000469,0.000612,245969,5131740
Dec 22 2017,0.001064,0.001074,0.000692,0.000775,39720,6976420
Dec 21 2017,0.000712,0.001079,0.000708,0.001060,60635,4667460
Dec 20 2017,0.000710,0.001079,0.000648,0.000710,130065,4654280
Dec 19 2017,0.001092,0.001161,0.000557,0.000711,95951,7158070
Dec 18 2017,0.001058,0.001107,0.000636,0.000958,73136,6934050
Dec 17 2017,0.000984,0.001271,0.000702,0.001055,78652,6449630
Dec 16 2017,0.000797,0.001036,0.000700,0.000967,76418,5223260
Dec 15 2017,0.000741,0.001203,0.000515,0.000816,72046,4859860
Dec 14 2017,0.001067,0.001104,0.000519,0.000741,16568,6995400
Dec 13 2017,0.000547,0.001293,0.000524,0.001070,41982,3586150
Dec 12 2017,0.000840,0.000857,0.000429,0.000547,11938,5505720
Dec 11 2017,0.000632,0.001088,0.000631,0.000837,11037,4142980
Dec 10 2017,0.000745,0.000856,0.000568,0.000635,12024,4881360
Dec 09 2017,0.000399,0.000742,0.000349,0.000742,3823,2615330
Dec 08 2017,0.000438,0.000602,0.000346,0.000400,11990,2867100
Dec 07 2017,0.000281,0.000437,0.000150,0.000437,5825,1843340
Dec 06 2017,0.000243,0.000395,0.000137,0.000282,40849,1588260
Dec 05 2017,0.000255,0.000402,0.000243,0.000243,8230,1667290
Dec 04 2017,0.000278,0.000373,0.000243,0.000254,16145,1822680
Dec 03 2017,0.000287,0.000516,0.000258,0.000278,19650,1878730
Dec 02 2017,0.000355,0.000461,0.000285,0.000285,7393,2326190
Dec 01 2017,0.000165,0.000369,0.000165,0.000355,8159,1083290
Nov 30 2017,0.000305,0.000361,0.000166,0.000166,15731,2000330
Nov 29 2017,0.000477,0.000486,0.000113,0.000301,32716,3122890
Nov 28 2017,0.000320,0.000480,0.000199,0.000477,45995,2093380
Nov 27 2017,0.000378,0.000404,0.000214,0.000319,73956,2474690
Nov 26 2017,0.000361,0.000393,0.000194,0.000378,69899,2254030
Nov 25 2017,0.000248,0.000361,0.000247,0.000361,29594,1549840
Nov 24 2017,0.000323,0.000417,0.000248,0.000249,66903,2017440
Nov 23 2017,0.000345,0.000500,0.000246,0.000323,145031,2154230
Nov 22 2017,0.000329,0.000431,0.000250,0.000345,64231,2053520
Nov 21 2017,0.000333,0.000412,0.000244,0.000328,89039,2081730
Nov 20 2017,0.000164,0.000262,0.000164,0.000254,45936,1025240
Nov 19 2017,0.000240,0.000312,0.000158,0.000164,63866,1500890
Nov 18 2017,0.000250,0.000322,0.000160,0.000241,131181,1559530
Nov 17 2017,0.000321,0.000412,0.000177,0.000251,116469,2003530
Nov 16 2017,0.000223,0.000382,0.000160,0.000321,32710,1394250
Nov 15 2017,0.000176,0.000245,0.000145,0.000222,25751,1100140
Nov 14 2017,0.000272,0.000353,0.000166,0.000176,51818,1699000
Nov 13 2017,0.000197,0.000335,0.000136,0.000271,49110,1232530
Nov 12 2017,0.000141,0.000211,0.000128,0.000197,25464,878850
Nov 11 2017,0.000274,0.000341,0.000138,0.000141,68723,1714470
Nov 10 2017,0.000149,0.000364,0.000146,0.000275,442644,929792
Nov 09 2017,0.000223,0.000223,0.000077,0.000148,48716,1389890
Nov 08 2017,0.000123,0.000223,0.000112,0.000223,16435,767534
Nov 07 2017,0.000152,0.000186,0.000085,0.000123,8675,948810
Nov 06 2017,0.000197,0.000197,0.000080,0.000085,24090,1227270
Nov 05 2017,0.000170,0.000266,0.000098,0.000196,5675,1059860
Nov 04 2017,0.000223,0.000223,0.000076,0.000170,31433,1392190
Nov 03 2017,0.000107,0.000225,0.000101,0.000223,7740,-
Nov 02 2017,0.000073,0.000142,0.000073,0.000107,13748,-
Nov 01 2017,0.000075,0.000149,0.000070,0.000073,11704,-
Oct 31 2017,0.000091,0.000173,0.000070,0.000076,19320,-
Oct 30 2017,0.000129,0.000150,0.000065,0.000091,29865,-
Oct 29 2017,0.000068,0.000129,0.000061,0.000128,7846,-
Oct 28 2017,0.000064,0.000128,0.000064,0.000068,9800,-
Oct 27 2017,0.000117,0.000178,0.000063,0.000064,16239,-
Oct 26 2017,0.000082,0.000145,0.000069,0.000117,8471,-
Oct 25 2017,0.000152,0.000160,0.000080,0.000082,36055,-
Oct 24 2017,0.000127,0.000159,0.000067,0.000103,37190,-
Oct 23 2017,0.000174,0.000227,0.000070,0.000127,352270,-
Oct 22 2017,0.000174,0.000176,0.000122,0.000174,509584,-
