Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000205,0.000216,0.000205,0.000208,9,-
Mar 30 2018,0.000213,0.000216,0.000198,0.000205,65,-
Mar 29 2018,0.000238,0.000239,0.000207,0.000213,98,-
Mar 28 2018,0.000234,0.000243,0.000232,0.000238,115,-
Mar 27 2018,0.000245,0.000246,0.000233,0.000234,30,-
Mar 26 2018,0.000253,0.000324,0.000236,0.000245,6,-
Mar 25 2018,0.000255,0.000345,0.000251,0.000253,9,-
Mar 24 2018,0.000267,0.000356,0.000258,0.000259,214,-
Mar 23 2018,0.000348,0.000348,0.000251,0.000264,44,-
Mar 22 2018,0.000267,0.000350,0.000256,0.000348,93,-
Mar 21 2018,0.000267,0.000364,0.000264,0.000267,398,-
Mar 20 2018,0.000259,0.000355,0.000252,0.000267,156,-
Mar 19 2018,0.000328,0.000337,0.000245,0.000256,335,-
Mar 18 2018,0.000394,0.000471,0.000222,0.000329,1920,-
Mar 17 2018,0.000166,0.000739,0.000162,0.000395,47442,-
Mar 16 2018,0.000330,0.000332,0.000163,0.000166,68,-
Mar 15 2018,0.000246,0.000333,0.000234,0.000331,21,-
Mar 14 2018,0.000274,0.000350,0.000240,0.000246,51,-
Mar 13 2018,0.000273,0.000373,0.000269,0.000274,57,-
Mar 12 2018,0.000286,0.000372,0.000264,0.000274,75,-
Mar 11 2018,0.000263,0.000292,0.000254,0.000287,181,-
Mar 10 2018,0.000370,0.000375,0.000262,0.000264,3,-
Mar 09 2018,0.000372,0.000376,0.000252,0.000370,69,-
Mar 08 2018,0.000198,0.000400,0.000198,0.000374,239,-
Mar 07 2018,0.000322,0.000501,0.000197,0.000198,1008,-
Mar 06 2018,0.000575,0.000575,0.000318,0.000322,63,-
Mar 05 2018,0.000575,0.000580,0.000343,0.000577,632,-
Mar 04 2018,0.000343,0.000575,0.000333,0.000575,997,-
Mar 03 2018,0.000331,0.000458,0.000331,0.000344,121,-
Mar 02 2018,0.000327,0.000446,0.000324,0.000331,229,-
Mar 01 2018,0.000413,0.000543,0.000309,0.000328,2040,-
Feb 28 2018,0.000427,0.000548,0.000312,0.000412,3662,-
Feb 27 2018,0.001134,0.001329,0.000531,0.000747,7667,-
Feb 26 2018,0.001630,0.002026,0.000918,0.001131,43831,-
Feb 25 2018,0.000291,0.006510,0.000286,0.001628,417295,-
Feb 24 2018,0.000203,0.000388,0.000096,0.000291,2700,-
Feb 23 2018,0.000098,0.000207,0.000096,0.000203,5,-
Feb 22 2018,0.000209,0.000218,0.000098,0.000197,8,-
Feb 21 2018,0.000224,0.000225,0.000103,0.000210,1379,-
Feb 20 2018,0.000230,0.000351,0.000222,0.000225,259,-
Feb 19 2018,0.000208,0.000225,0.000207,0.000222,2,-
Feb 18 2018,0.000214,0.000215,0.000208,0.000209,2,-
Feb 16 2018,0.000303,0.000308,0.000292,0.000302,37,-
Feb 15 2018,0.000284,0.000306,0.000281,0.000304,61,-
Feb 14 2018,0.000255,0.000285,0.000255,0.000284,15,-
Feb 13 2018,0.000356,0.000358,0.000252,0.000256,20,-
Feb 12 2018,0.000243,0.000359,0.000243,0.000355,1,-
Feb 11 2018,0.000342,0.000342,0.000242,0.000242,2,-
Feb 10 2018,0.000174,0.000353,0.000173,0.000342,43,-
Feb 09 2018,0.000248,0.000248,0.000162,0.000174,1,-
Feb 08 2018,0.000252,0.000254,0.000242,0.000247,14,-
Feb 06 2018,0.000208,0.000219,0.000178,0.000213,50,-
Feb 05 2018,0.000246,0.000251,0.000200,0.000208,49,-
Feb 04 2018,0.000277,0.000281,0.000238,0.000249,1,-
Feb 03 2018,0.000177,0.000285,0.000164,0.000277,308,-
Feb 02 2018,0.000363,0.000363,0.000161,0.000177,923,-
Feb 01 2018,0.000305,0.000394,0.000294,0.000364,9,-
Jan 31 2018,0.000401,0.000414,0.000295,0.000304,83,-
Jan 30 2018,0.000448,0.000449,0.000393,0.000400,26,-
Jan 29 2018,0.000464,0.000470,0.000440,0.000448,34,-
Jan 28 2018,0.000457,0.000478,0.000347,0.000464,338,-
Jan 27 2018,0.000556,0.000571,0.000435,0.000454,61,-
Jan 26 2018,0.000558,0.000581,0.000520,0.000557,70,-
Jan 25 2018,0.000571,0.000584,0.000437,0.000560,27,-
Jan 24 2018,0.000434,0.000573,0.000422,0.000561,51,-
Jan 23 2018,0.000560,0.000569,0.000434,0.000434,38,-
