Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.085051,0.089120,0.079986,0.081393,7133,1744650
Mar 30 2018,0.089763,0.091848,0.082934,0.085038,10316,1834970
Mar 29 2018,0.103056,0.113911,0.088657,0.089986,16338,2099360
Mar 28 2018,0.097960,0.103271,0.097298,0.102934,11967,1988510
Mar 27 2018,0.116079,0.120966,0.097857,0.097982,15679,2348160
Mar 26 2018,0.129163,0.136285,0.109046,0.116255,25727,2603450
Mar 25 2018,0.116740,0.154878,0.113232,0.126819,24914,2344770
Mar 24 2018,0.130258,0.140382,0.117691,0.118369,15080,2607240
Mar 23 2018,0.139130,0.140243,0.113384,0.128389,19106,2774770
Mar 22 2018,0.122451,0.143289,0.115604,0.139133,29305,2433370
Mar 21 2018,0.130319,0.140325,0.115268,0.122674,27502,2580150
Mar 20 2018,0.092129,0.132263,0.087819,0.130083,22889,1817630
Mar 19 2018,0.088509,0.094250,0.085775,0.091111,8938,1739940
Mar 18 2018,0.086510,0.091973,0.079465,0.088883,14540,1694500
Mar 17 2018,0.089132,0.094253,0.082984,0.085615,6515,1739580
Mar 16 2018,0.091207,0.100404,0.086383,0.092415,11024,1774040
Mar 15 2018,0.101799,0.102225,0.089139,0.091258,10998,1972780
Mar 14 2018,0.120110,0.122013,0.099056,0.101845,13826,2319040
Mar 13 2018,0.121685,0.145055,0.118855,0.120094,12662,2340700
Mar 12 2018,0.132781,0.143108,0.117310,0.121327,10971,2544730
Mar 11 2018,0.128937,0.140329,0.121879,0.133200,10500,2461720
Mar 10 2018,0.130425,0.153310,0.126416,0.139159,24072,2480750
Mar 09 2018,0.126391,0.141993,0.109974,0.130373,26113,2394930
Mar 08 2018,0.147897,0.178699,0.129566,0.129721,27347,2791770
Mar 07 2018,0.175586,0.188236,0.146300,0.148105,24747,3301890
Mar 06 2018,0.183556,0.209088,0.165475,0.175812,57118,3438600
Mar 05 2018,0.135291,0.218389,0.125627,0.183156,79215,2524690
