Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,7.45,8.07,7.39,7.54,13183400,770176000
Mar 30 2018,7.90,8.00,7.08,7.45,23652300,815689000
Mar 29 2018,9.65,9.67,7.82,7.94,30227100,996561000
Mar 28 2018,9.82,10.20,9.60,9.66,17676300,1013360000
Mar 27 2018,10.94,10.95,9.83,9.85,20375100,1129230000
Mar 26 2018,11.64,12.09,10.39,10.97,20994100,1201100000
Mar 25 2018,11.79,12.02,11.44,11.63,17661400,1216510000
Mar 24 2018,12.07,12.50,11.83,11.89,21880400,1244370000
Mar 23 2018,12.50,12.54,11.40,12.03,23560700,1288720000
Mar 22 2018,13.44,13.71,12.04,12.50,24653700,1385640000
Mar 21 2018,13.61,14.14,13.15,13.38,23682800,1401970000
Mar 20 2018,12.89,14.11,12.43,13.63,26259400,1328050000
Mar 19 2018,12.26,13.07,11.93,12.74,25454300,1261830000
Mar 18 2018,12.25,12.37,10.19,12.25,26947100,1260670000
Mar 17 2018,13.12,13.18,11.88,12.17,20557200,1349570000
Mar 16 2018,13.23,14.30,12.34,13.10,30103400,1360300000
Mar 15 2018,11.73,13.63,10.60,13.35,35374200,1205890000
Mar 14 2018,14.01,14.26,11.35,11.73,22923900,1440370000
Mar 13 2018,14.10,14.66,13.63,14.03,16983600,1449250000
Mar 12 2018,14.84,15.20,13.86,14.16,21335400,1524490000
Mar 11 2018,14.16,15.10,13.59,14.92,20241700,1453750000
Mar 10 2018,15.44,15.80,14.13,14.20,17287800,1584870000
Mar 09 2018,14.93,15.62,13.82,15.49,30244000,1532040000
Mar 08 2018,15.59,17.40,14.82,15.07,36030300,1599530000
Mar 07 2018,16.83,17.40,14.61,15.62,34286700,1725680000
Mar 06 2018,18.42,18.42,16.42,16.90,27948900,1888330000
Mar 05 2018,19.00,19.04,18.41,18.46,29052100,1946670000
Mar 04 2018,18.90,18.95,18.20,18.92,23813000,1936630000
Mar 03 2018,19.31,19.53,18.55,18.87,28552100,1977910000
Mar 02 2018,20.08,20.33,18.87,19.21,34726800,2056140000
Mar 01 2018,18.34,21.43,17.76,20.12,68475900,1877400000
Feb 28 2018,20.09,20.23,18.34,18.34,38836200,2055330000
Feb 27 2018,20.69,20.73,19.64,20.12,40475100,2115900000
Feb 26 2018,19.95,21.25,19.35,20.65,43196600,2039330000
Feb 25 2018,20.81,20.90,19.38,20.01,38564100,2127040000
Feb 24 2018,22.48,23.01,20.08,20.82,49191700,2297060000
Feb 23 2018,21.39,23.52,20.50,22.60,67264300,2184640000
Feb 22 2018,22.36,24.33,20.51,21.48,85276200,2283080000
Feb 21 2018,26.06,26.26,21.87,22.41,115332000,2658780000
Feb 20 2018,30.08,32.41,25.86,26.19,246763000,3068380000
Feb 19 2018,29.69,30.86,29.30,30.37,118805000,3510240000
Feb 18 2018,33.22,33.22,28.45,29.69,120072000,3925290000
Feb 17 2018,32.05,35.87,31.53,33.22,160432000,3786520000
Feb 16 2018,32.00,32.42,30.98,32.01,72607000,3779450000
Feb 15 2018,28.30,31.97,28.15,31.37,95799000,3340920000
Feb 14 2018,25.96,28.66,25.96,28.28,68051000,3064760000
Feb 13 2018,28.08,28.32,25.57,26.00,70524500,3313850000
Feb 12 2018,25.52,28.83,25.51,28.12,58563000,3010810000
Feb 11 2018,27.35,27.35,23.36,25.28,58193200,3225830000
Feb 10 2018,27.36,30.87,25.15,27.26,105683000,3225960000
Feb 09 2018,23.08,27.28,22.07,27.25,84338000,2720310000
Feb 08 2018,18.24,23.83,18.24,23.09,83927600,2148840000
Feb 07 2018,18.06,20.94,16.45,18.31,44932000,2126900000
Feb 06 2018,15.20,18.34,11.97,18.26,55712200,1790490000
