Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.167716,0.231574,0.167716,0.206167,512,151769
Mar 30 2018,0.172419,0.191560,0.160927,0.167690,71,155746
Mar 29 2018,0.210205,0.258514,0.168511,0.172849,631,189875
Mar 28 2018,0.180031,0.220899,0.178667,0.209959,344,162617
Mar 27 2018,0.216644,0.217338,0.179842,0.180072,405,195684
Mar 26 2018,0.216652,0.276109,0.208240,0.216972,457,195629
Mar 25 2018,0.210366,0.254213,0.208814,0.216818,456,189912
Mar 24 2018,0.213885,0.260496,0.209384,0.222613,105,193006
Mar 23 2018,0.198825,0.253882,0.193285,0.210815,634,179326
Mar 22 2018,0.248897,0.271790,0.183160,0.198830,1748,224373
Mar 21 2018,0.244602,0.278306,0.244247,0.249351,330,220389
Mar 20 2018,0.241106,0.280087,0.227521,0.244160,465,217137
Mar 19 2018,0.235880,0.272878,0.227338,0.238446,104,212323
Mar 18 2018,0.219325,0.259968,0.203303,0.236878,210,197321
Mar 17 2018,0.230364,0.266243,0.215529,0.219860,123,207147
Mar 16 2018,0.247818,0.262695,0.229387,0.229985,221,222727
Mar 15 2018,0.250890,0.256897,0.229465,0.247958,197,225422
Mar 14 2018,0.402570,0.411793,0.221181,0.251003,4009,361569
Mar 13 2018,0.401632,0.417236,0.390456,0.402515,14,360393
Mar 12 2018,0.421764,0.437143,0.399469,0.403951,16,378064
Mar 11 2018,0.411121,0.506940,0.397085,0.423097,11,368111
Mar 10 2018,0.416778,0.536040,0.410504,0.412544,453,372753
Mar 09 2018,0.334098,0.418813,0.301560,0.416598,356,298490
Mar 08 2018,0.353687,0.424012,0.333243,0.336227,170,315649
Mar 07 2018,0.364551,0.526927,0.323489,0.354189,530,324964
Mar 06 2018,0.456989,0.488209,0.361377,0.365024,142,406815
Mar 05 2018,0.389079,0.496858,0.386410,0.458256,293,346173
Mar 04 2018,0.385865,0.445418,0.353792,0.389364,589,342936
Mar 03 2018,0.492456,0.502259,0.382045,0.386532,575,437073
Mar 02 2018,0.429931,0.507217,0.356525,0.493059,819,381267
Mar 01 2018,0.398854,0.552694,0.395747,0.431038,970,353386
Feb 28 2018,0.501121,0.527341,0.308461,0.398267,1350,443566
Feb 27 2018,0.572709,0.574408,0.489987,0.501712,989,506397
Feb 26 2018,0.546432,0.661507,0.516127,0.571059,1991,482682
Feb 25 2018,0.514956,0.699844,0.505997,0.545733,6614,454400
Feb 24 2018,0.573997,0.596884,0.498574,0.515737,1315,505721
Feb 23 2018,0.523748,0.612894,0.510821,0.574723,1023,461069
Feb 22 2018,0.609147,0.654439,0.523340,0.524238,745,535808
Feb 21 2018,0.653024,0.695567,0.597986,0.609766,2205,573758
Feb 20 2018,0.772395,0.816170,0.589540,0.653839,16320,677701
Feb 19 2018,0.719035,0.798122,0.716816,0.771694,2087,630360
Feb 18 2018,0.679256,0.765423,0.625124,0.722355,3221,594948
Feb 17 2018,0.611712,0.745823,0.603841,0.677180,5165,535232
Feb 16 2018,0.740134,1.50,0.557498,0.623578,27329,646913
Feb 15 2018,0.659363,0.760480,0.651887,0.743310,1348,575621
Feb 14 2018,0.536375,0.702437,0.536375,0.700673,2061,467733
Feb 13 2018,0.715540,0.737926,0.490973,0.534565,3675,623394
Feb 12 2018,0.672908,0.761840,0.672908,0.714241,267,585602
Feb 11 2018,0.675856,0.735887,0.622165,0.668647,150,587514
